,날짜,기사제목,기사내용
0,2021.10.27. 오전 9:38,"수영구, '2021 대한민국 도시대상 국토교통부 장관상' 수상","부산 수영구(구청장 강성태)는 국토교통부에서 실시한 대한민국 도시대상 평가에서 대도시 종합 2위로 ‘2021 대한민국 도시대상 국토교통부 장관상’을 수상했다.대한민국 도시대상은 국토계획법에 근거하여 전국 기초지자체 229개 도시를 대상으로 △도시사회, △도시경제, △도시환경, △지원체계 등 전반적인 도시의 지속 가능성과 생활 기반 수준을 평가하는 상이다.구는 전년도 부산시 기초지자체 중 최초 ‘대통령 상’을 수상함에 이어 2021년 대도시 종합 2위, 국토교통부 장관상을 수상해 ‘7년 연속 도시대상 수상’이라는 업적 달성과 함께 살기좋은 도시, 수영구의 명성을 이어나가게 되었다.수영구는 코로나19로 인한 어려움에도 구민들 삶의 질 향상을 위해 생활 SOC 사업인 ▲어린이도서관 ▲노인·장애인복지관 건립 등을 지속적으로 추진했고 망미동·수영동 내에 관내 낙후된 지역을 활성화하는 문화관광형 ▲스마트시티 사업 ▲비콘그라운드 ▲도시재생 뉴딜사업 등을 통해 현재와 미래가 공존하는 도시 조성에 집중했다. 문화·관광분야에서는 ▲광안리 SUP존 특화 운영 ▲펭수X광안리 프로젝트 등으로 코로나 안심 관광지 조성을 위해 노력했다.이외에도 ▲수영나들길 조성 ▲비점오염저감 시설 설치 등 환경친화 정책을 추진해 지속 가능한 도시발전을 위해 다양한 정책을 펼쳤다는 점에서 우수한 평가를 받았다.강성태 수영구청장은 21일 개최된 온라인 시상식을 통해 “2021년 대한민국 도시 대상 평가에서도 대도시 종합 2위로 선정되어 매우 자랑스럽다. 작년 '대통령 상'에 이어 전 공무원들의 노력과 18만 구민들의 성원에 힘입어 올해에도 값진 상을 수상하게 되어 너무 기쁘다. 아름다운 도시 행복한 수영을 만들기를 위해 더욱 최선을 다하겠다”라고 말했다. "
1,2021.10.26. 오후 3:05,"[부산소식] 부산교통공사, 직원 재능기부 봉사  등","[부산=뉴시스] (사진=부산교통공사 제공) *재판매 및 DB 금지[부산=뉴시스] 제갈수만 기자 = 부산교통공사는 취약계층의 안전한 겨울을 위해 주거환경개선 봉사활동을 펼쳤다고 26일 밝혔다.공사는 금정구장애인복지관과의 연계로 주거환경개선이 필요한 지역 장애인 17가구를 선정하고, 공사 설비공사처 직원 15명이 참여해 전기 배선 정리 및 LED 전등 교체 작업 등을 진행하는 재능기부 방식의 주거환경 개선을 지원했다.공사는 사회적 거리두기 장기화로 가정에 머무는 시간이 길어지면서 주거환경이 열악한 취약계층에 대한 관심이 어느 때보다 필요하다고 보고 직원들이 가진 기술을 살려 지역사회에 실질적으로 도움이 되는 사회공헌 활동을 지속적으로 전개할 계획이다.[부산=뉴시스] (자료=해운대구 제공) *재판매 및 DB 금지◇해운대 찾아가는 음악회 ‘힐링&폴링 콘서트’해운대구는 코로나19 장기화에 따라 주민을 위로하고 응원하고자 ‘해운대 찾아가는 음악회-힐링&폴링 콘서트’를 개최한다고 26일 밝혔다.이번 음악회는 사회적거리두기로 위축된 문화예술 활동을 지원하고 주민에게 문화향유 기회를 제공하고자 기획됐다.10월 1일 송정역, 2일 달맞이광장에서 열린 ‘가을날의 클래식 콘서트’를 시작으로, 오는 29일에는 반여동 별바라기 공원, 30일 반여2배수지 공영주차장, 11월 20일 해운대구 문화복합센터에서 ‘클래식과 재즈가 있는 거리 음악회’가 진행된다.참가 신청은 해운대구청 홈페이지 ‘통합예약’에서 하면 되고, 현장에서 참여할 경우 마스크를 착용해 1m 이상 거리를 두고 공연을 관람하면 된다."
2,2021.10.28. 오전 9:11,부산지하철 고장·사고 절반이 전동차 관련…검수 강화해야,"2호선 출입문·제동장치, 3호선 추진 장치는 특별점검 권고부산도시철도 1호선 전동차 [부산교통공사 제공=연합뉴스 자료 사진. 재판매 및 DB 금지]    (부산=연합뉴스) 민영규 기자 = 부산지하철에서 발생한 고장과 사고의 절반 이상이 전동차 관련 장애인 것으로 나타났다.    부산시는 지난 9월 6일부터 14일까지 부산교통공사, 한국철도차량엔지니어링 등 외부 전문가와 함께 부산도시철도 안전 특별 합동점검을 했다고 28일 밝혔다.     이번 합동점검에서는 2017년부터 최근 5년간 부산도시철도에서 발생한 고장과 사고 130건의 유형을 분석했다.    그 결과 출입문, 신호장치, 제동장치, 추진장치 등 전동차 관련 장애가 전체의 51.6%인 73건으로 가장 큰 비중을 차지하는 것으로 나타났다.     부산시는 이에 따라 전동차 검수 관리를 강화할 것을 요청하고 특히 고장이 잦은 2호선 출입문과 제동장치, 3호선 추진장치에 대한 특별점검을 권고했다.     부산교통공사의 안전사고 조사단 전담인력 충원과 예방점검 확대도 요구했다.     또 지난 8월 신평역에서 발생한 트롤리 탈선 사고와 관련해 재발 방지를 위해 같은 기종의 트롤리 사용을 금지하고 관리기준을 마련할 것을 권고했다.     시는 이와 함께 피뢰기 고장에 대비한 예방, 대응 매뉴얼 개선을 요구했다. youngkyu@yna.co.kr"
3,2021.10.17. 오전 10:42,"부산연구개발특구, ICT 기반 장애인 교통서비스 '착한셔틀' 도입","연구개발특구재단, 부산시, SKT 등 협력장애인과 기업 채용 매칭, 착한 일자리 확대 추진18일 부산시청에서 열린 민관협업 THE 착한일자리 도약 업무 협약식(왼쪽부터 차정훈 한국장애인고용공단 이사, 조영태 부산시 사회복지국장, 여지영 SKT 부사장, 서동경 연구개발특구진흥재단 부산특구본부장)부산연구개발특구에 장애인 출퇴근 교통서비스 '착한셔틀'이 도입된다. 지자체와 지역 연구개발(R&D)혁신기관, 대기업이 손잡고 추진하는 사회적 가치 창출 일환이다.연구개발특구진흥재단(이사장 강병삼)은 18일 부산시청에서 부산시, SKT, 한국장애인고용공단과 '민관 협업 THE 착한일자리 도약' 업무협약을 체결하고 착한셔틀 운영, 장애인 고용 우수기업 지원, 장애인 채용 박람회 개최 등에 협력하기로 했다.'THE 착한일자리 도약'은 장애인 고용 및 지원과 특구 R&D사업을 연계해 착한 일자리를 확산하고, 이를 기반으로 특구의 가치를 한단계 끌어 올리자는 의미다.협약 4개 기관·기업은 민관 협력 ICT 기반 출퇴근 셔틀 플랫폼 '착한셔틀'을 부산특구에 구축해 내년 1월 시범 운영한다.'착한셔틀'은 중증장애인 출퇴근 안전과 효율적 시간 관리를 위해 자택에서 근무지까지 태워주는 셔틀버스다. 1인당 월 2만5000원 자부담으로 이용할 수 있다.부산시는 승하차 보조원 채용을 지원하고 SKT는 셔틀 플랫폼 운영을 총괄한다. 부산특구본부는 특구 내 기업과 장애인 수요를 발굴하고 노선과 정류장에 적용한다.연구개발특구진흥재단은 지난 6월 SKT, 쿠팡 등과 '착한셔틀 얼라이언스'를 결성했다. 이번 부산특구 착한셔틀 도입은 후속 사업의 일환이다.4개 기관·기업은 특구 R&D 우수기업과 장애인 연결, 장애인 채용 우수기업 지원 등 착한 일자리 창출에 협력하고 이를 위한 민관 합동 지원체계도 구축하기로 했다.18일~31일까지 2주간 민관협업 지역 상생프로젝트로 '2021 부산 장애인 온라인 채용박람회'를 개최한다.부산특구본부는 박람회에 노바인터내쇼날, 코렌스EM, KOC전기 등 특구내 장애인 우수 고용기업 4개를 추천하고, 채용 활동을 전폭 지원한다. 박람회는 특구 추천 기업을 포함해 50개 기업이 참가해 장애인 1000여명과 원격 채용 상담을 진행한다.부산특구본부는 특구 첨단기술기업의 장애인 채용 확대를 위해 고용 실적 우수기업을 별도 선정해 공공기술 이전, 기술 사업화 지원 혜택을 제공할 방침이다.서동경 부산특구 본부장은 “부산특구 착한셔틀 운영은 전국 5개 특구 가운데 첫 시도로 착한셔틀 전국 확산 계기가 될 것”이라며 “부산시와 협력해 연구개발특구에 착한 일자리 확산과 착한 도약의 롤 모델을 만들겠다”고 말했다."
4,2021.10.19. 오전 10:55,"장애인 통근 돕는 '착한셔틀', 더 안전해진다…최신 ICT 기술 도입","기사내용 요약부산시, 광역지자체 최초 착한셔틀 추진…업무협약 체결SKT, T맵·손모형 IoT 기기 등 활용해 효율성·안전성 높여지난 18일 부산시청에서 착한셔틀 시범사업을 골자로 하는 '민관 협업 더 착한일자리 도약' 업무협약이 체결되고 있다. 왼쪽부터 한국장애인고용공단 차정훈 고용촉진이사, 부산시 조영태 사회복지국장, SKT 여지영 오픈콜라보담당, 연구개발특구진흥재단 부산연구개발특구 서동경 본부장. (사진=SKT 제공) *재판매 및 DB 금지[서울=뉴시스]윤현성 기자 = 중증장애인 근로자의 출퇴근을 돕는 '착한셔틀'에 최신 ICT 기술이 도입돼 더 안전하고 편리한 서비스가 제공된다.SK텔레콤은 지난 18일 부산시청에서 부산시·한국장애인고용공단·연구개발특구진흥재단과 내년도 착한셔틀 시범사업 등을 골자로 하는 '민관 협업 더 착한 일자리 도약' 업무협약을 체결했다고 19일 밝혔다.이번 업무협약은 부산지역 장애인 근로자들의 안전하고 편리한 이동권 지원을 위한 협업에 초점을 뒀다. 중증장애인 근로자의 자택 앞에서 근무지까지 운행하는 '도어 투 도어'(Door to Door) 셔틀버스 서비스인 착한셔틀은 대중교통 이용이 어려운 장애인 근로자의 출퇴근 안전과 효율적인 시간관리를 지원한다. 지난해 성남시 시범사업을 거쳐 이번에 광역 지방자치단체 최초로 부산시에서 사업화를 추진하게 됐다.SKT는 T맵 데이터를 분석해 착한셔틀에 최적의 안전경로를 제공하는 기술을, 한국장애인고용공단은 위치확인 보조공학기기인 스마트지킴이를 각각 지원하기로 했다. 모두의셔틀은 실시간 차량 위치 및 좌석을 확인하고 탑승 예약을 할 수 있는 솔루션을 제공한다.이외에도 SKT는 셔틀 운행에 최적화된 자동 배차 엔진 TMS를 착한셔틀에 적용하고, 탑승객·승하차보조원·운전기사 전용 앱을 각각 제작해 실시간 정보 공유를 지원한다. 탑승객에 지급되는 손목형 IoT 기기 스마트지킴이를 활용해 이동 중 넘어짐·낙상을 감지하는 등 안전 조치도 강화했다.이번 부산시 착한셔틀 시범사업에서는 지역 주민들과 이용고객들이 직접 참여해 홍보 영상 제작과 크라우드 펀딩 등 민관협업 형태의 배리어프리 챌린지도 진행할 예정이다.여지영 SKT 오픈콜라보담당은 ""교통약자들도 마음 편히 일할 수 있는 사회에 기여하기 위해 ICT 기반의 착한셔틀 서비스를 지속 고도화하고, 서비스 확산을 위한 다양한 협업을 추진할 계획""이라고 했다．"
5,2021.10.18. 오후 5:38,부산연구개발특구 장애인 출퇴근 지원 '착한셔틀' 도입,"전국 최초 시범 추진…집에서 근무지까지 셔틀버스 지원18일부터 장애인 일자리 박람회 개최 …50개 기업 참가(부산=연합뉴스) 신정훈 기자 = 연구개발특구진흥재단 부산특구본부는 장애인을 위한 민관협업 지역 상생 프로젝트의 하나로 장애인 출퇴근 지원사업인 '착한셔틀'을 전국 최초로 부산지역에 시범 도입한다고 18일 밝혔다.    착한셔틀은 도움 없이는 대중교통 이용이 어려운 중증장애인 출퇴근 안전과 효율적인 시간 관리를 위해 자택 앞에서 근무지까지 셔틀버스를 지원하는 민관 협력 사업을 말한다.    시범사업 지원 대상은 부산연구개발특구 소재 기업 중증장애인 근로자이다.    부산특구본부와 장애인고용공단, SKT, 부산시, 이동의 자유, 모두의 셔틀 등이 다자협약을 통해 참여한다.[부산특구본부 제공]    부산특구본부는 기업수요 발굴과 연계, SK텔레콤은 총괄 지원, 부산시는 승하차 보조원 채용 지원, 장애인고용공단은 출퇴근 비용(월 5만원 한도) 지원을 담당한다.    부산특구본부는 또 18일부터 2주간 온라인으로 장애인 일자리 창출 및 지원을 위한 '2021 부산 장애인 채용 박람회'를 개최한다.부산 장애인 온라인 채용박람회 오프닝[부산특구본부 제공]    부산특구본부, 부산시 장애인 일자리종합지원센터, 부산경영자총협회, 장애인고용공단 부산본부가 합동으로 마련한 이번 박람회에는 50개 기업이 참여했다.    그동안 매년 오프라인으로 진행됐지만, 신종 코로나바이러스 감염증(코로나19) 확산으로 지난해에 이어 올해도 비대면 온라인으로 열린다. sjh@yna.co.kr"
6,2021.10.21. 오후 5:23,"부산시, ""남구, 보행 친화 도시 추진""","박형준 시장, 15분 도시 남구 조성 정책 방향 설명과 주민 소통 ◆…박형준 부산시장이 21일 오전 남구를 방문해, 남구의 현안을 살피고, 15분 도시 남구 비전을 제시했다.[사진=부산시 제공]부산시가 남구에 청년 갈맷길을 조성하는 등 15분 생활권, 보행 친화 도시 비전을 제시했다.   박형준 부산시장은 21일  ‘15분 도시 부산 비전 투어’의 그 아홉 번째 방문지로 남구를 방문해, 보행환경 개선을 통해 보행권익을 증진하는 15분 생활권 부산과 남구를 만들겠다고 포부를 밝혔다.   현재 부산시는 시민 모두가 15분 내 일상생활이 가능한 부산을 만들고 인공지능(AI)기술이 녹아든 도시 환경을 구축해 탄소중립 그린스마트 부산을 실현한다는 목표로 ‘15분 도시 부산’ 정책을 추진하고 있다.   이날 박 시장은 부경대 대연캠퍼스 내 ‘평화와 청년문화의 길’ 조성 예정 구간을 방문해 갈맷길을 걷고, 도심 갈맷길 조성 사업 추진을 통해 15분 생활권을 위한 보행친화도시 부산을 만들겠다는 비전을 밝혔다.   이후 부경대 대연캠퍼스에서 남구민을 만나 ‘15분 도시 부산’ 비전을 직접 설명하고 지역 실정에 맞는 15분 도시 조성을 위해 주민의 목소리를 담아내고자 ‘남구민과의 행복토크’ 시간을 가졌다.   이 자리에는 사회적 거리두기 단계를 준수해 박재범 남구청장, 15분 도시 공감정책단, 남구민 등 30명이 함께 했다. 방역수칙에 따라 현장에 자리하지 못한 주민 등 60여 명은 줌(ZOOM)을 통해 온라인으로 행복토크에 참여했다.   박 시장은 남구민과 만난 자리에서 “15분 도시 조성을 위해 중요한 사항은 바로 이동에 관한 것”이라며, “인공지능 스마트교통체계 도입, 퍼스널 모빌리티 확산 등으로 불필요한 교통체증을 해소하는 것도 필요하지만 시민 모두를 위해서 보행환경 개선을 통한 보행권익 증진이 무엇보다 우선해야 할 것”이라고 말했다.   이어 “기존 자연과 연계된 700리 갈맷길에 도심 속 300리 걷기 좋은 길을 추가해 누구나 걸어서 편리하고 쾌적하게 이동할 수 있는 환경을 만들 것이며, 이를 위해 신규 15개 노선을 중심으로 장애인, 노약자도 쉽고 편하게 걸을 수 있는 보행환경을 조성하고 노선별로 테마를 지정해 스토리가 있는 도보 관광이 가능하도록 조성할 것”이라고도 밝혔다.   덧붙여 “남구에는 지역의 역사와 특색을 반영해 청년, 평화, 미식, 산업을 테마로 도심갈맷길을 조성 추진 중이다. 특히, 오늘 제가 걸어봤던 ‘평화와 청년문화의 길’에는 증강현실(AR) 기반 스마트거리, 대학로 디자인 거리, 공원 내 스마트 공원길 등 도심길에 미래 기술을 도입하고 디자인 거리를 조성하는 등 청년과 지역민이 모두 편리하고 편안하게 이용할 수 있는 도심 갈맷길을 조성하겠다”라고 강조했다.   이어서 박 시장은 핵심 공약인 ‘15분 도시 부산’에 대해 직접 설명하고 참석한 구민들의 의견도 청취했다.   박 시장은 ‘15분 도시 부산’을 설명하면서 “이 정책은 도시에서 살아가는 부산시민들의 행복을 어떻게 실현하고 삶의 질을 향상할 수 있을까 하는 고민에서 시작됐다”고 소개했다. 그리고 “촘촘하게 구축한 생활 인프라를 통해 시민들이 대부분 생활을 근거리에서 할 수 있도록 해, 삶의 여유를 되찾고 나아가 지속 가능한 지구 환경조성을 위해 탄소중립, 그린 스마트 도시를 구현해가자는 것이 15분 도시 부산의 핵심 사항”이라고 전했다.   이어 “남구는 ‘다이나믹 부산’에 걸맞은 역동적인 젊은 도시다. 많은 대학이 있어 청년들이 모이고 부산항, 국제금융단지를 중심으로 활발한 경제활동이 이뤄지는 도시”라며, “남구의 도시 특색에 맞는 15분 도시 정책은 무엇일지 4개 생활권역(문현, 대현, 우암・감만, 용호)을 기준으로 꼼꼼히 분석해서 부족한 부분을 채우고 생활SOC간 기능이 연계될 수 있도록 추진하겠다”고 말했다.   마지막으로 “15분 도시의 성공적인 추진을 위해서는 시민들의 적극적인 관심과 지지가 필요하다”며, “15분 도시 정책에 시민 한분 한분의 행복을 담을 수 있도록 여러분께서는 각자의 생활권역에 더욱 관심을 두고 돌아봐 주시길 바란다”고 당부했다.   이날 남구 주민들은 박 시장에게 오륙도선 트램 조기착공, UN기념공원 경관지구 해제, 대연3동 용소부락지 내 소방도로 개설, 문현고가교 철거, 용호2동 복합청사 건립, 용당동 복합청사 건립, 부산국제금융센터 3단계 추진시 공공기관 추가 이전, 외대 부지 공영개발 추진 등 지역 현안을 건의했다.   한편, 박형준 부산시장은 지난 6월부터 부산시 각 구·군을 방문해 시민들을 만나 대화를 나누고 지역 현안을 청취하는 등 ‘15분 도시 부산’을 조성하는 아이디어를 얻고, 지역 숙원사업 및 부산시 장기 미해결과제 등을 시민과 함께 풀어나가기 위해 노력 중이다. 올해 연말까지 아직 방문하지 않은 7개 구·군을 찾아가 시민과의 소통, 협치를 이어갈 계획이다.		"
7,2021.10.16. 오후 5:28,"부산연구개발특구, ‘장애인채용+착한셔틀+기술사업화’ 추진 협약"," *재판매 및 DB 금지 [부산=뉴시스] 허상천 기자 = 부산연구개발특구본부(이하 ‘부산특구본부’)는 부산연구개발특구 추천기업을 비롯한 부산지역 장애인 채용을 희망하는 기업과 장애인의 일자리 및 출퇴근을 지원하는 민관합동 지원체계를 구축, 본격 추진한다고 16일 밝혔다.부산특구본부가 지난 6월 SK텔레콤·쿠팡 등과 체결한 ‘착한셔틀 얼라이언스’에 부산시의 ‘2021 부산 장애인 채용박람회’를 연계해 전국에서 첫 민관협업 지역 상생프로젝트를 도입키로 한 것이다. 착한 셔틀버스 운행 도움없이는 대중교통 이용이 어려운 중증장애인의 출퇴근 안전과 효율적인 시간관리를 위해 자택 앞에서 근무지까지 셔틀버스를 지원하는 민관 협력 사업이다. 부산특구 착한셔틀 시범사업은 ‘착한셔틀 얼라이언스’의 전국 확산을 위해 지난 6월 체결한 업무협약 후속으로 전국의 연구개발특구 중 부산연구개발특구 지역에 처음으로 도입될 예정이다.착한 사업화로 특구 장애인 우수 고용기업 지원 부산특구본부는 R&D역량이 우수한 첨단기술기업 등 장애인 우수 고용기업을 지속적으로 발굴, 특구기업을 대상으로 공공기술 연계 및 사업화 지원 등 기술사업화를 지원한다.이번에 부산특구본부에서 추천한 4개 기업 중 ㈜노바인터내쇼날은 지난 7월 고용노동부의 일자리 으뜸기업으로 선정되는 등 지역일자리 창출 및 장애인 우수 고용기업이다.착한 일자리 채용박람회 부산시는 위드 코로나19 시대를 맞아 비대면 취업전략을 통해 실질적인 장애인 취업 성과를 창출하기 위해 18일부터 2주간 2021 부산 장애인 온라인 채용박람회를 개최한다. 장애인 채용박람회는 부산특구본부·부산경영자총협회·한국장애인고용공단 부산본부와 합동으로 50개 기업이 참여하고, 일자리를 희망하는 부산지역 내 1000명 이상 참여할 것으로 예상하고 있다.기업의 장애인 고용 촉진과 장애인 일자리 나눔을 위해 매년 오프라인으로 진행하던 박람회를 작년부터 비대면 온라인 방식으로 진행해오고 있다.부산특구본부 서동경 본부장은 “부산특구가 착한셔틀의 전국적 확대를 위한 5개 특구 중 첫 시범추진 사례로, 지자체와의 협업을 바탕으로 장애인의 일자리 지원에서 교통 지원까지 민관협력 상생의 우수사례가 탄생했다”라며 “공공기술 사업화를 통한 지역경제 활성화와 함께 착한셔틀 시범사업을 추진해 부산시의 배리어 프리(Barrier Free} 정책과 발맞춰 특구 지역의 쾌적한 연구환경 조성에도 힘쓰겠다”고 말했다."
8,2021.10.20. 오전 2:05,"“IT로 장애인 생활 개선 도와요” KT·SKT, 교육콘텐츠 등 지원","KT, 직장예절 VR콘텐츠 선보여 SKT, 안전 이동 ‘착한셔틀’ 서비스   19일 서울 영등포구 한국장애인고용공단 서울남부발달장애인훈련센터에서 한 발달장애인이 가상현실(VR)기계를 쓰고 직장생활을 간접체험할 수 있는 KT의 교육콘텐츠를 보고 있다. KT 제공    이동통신사들이 장애인의 생활 개선을 위해 VR(가상현실)와 모빌리티 등 정보기술(IT)을 접목한 서비스 지원에 나서고 있다.  KT는 19일 발달장애인을 위한 VR 직장예절 교육 콘텐츠를 개발해 한국장애인고용공단 서울남부발달장애인훈련센터에서 시연회를 열었다.  발달장애인 VR 직장예절 교육은 발달장애인이 직장생활을 하면서 겪을 수 있는 일상과 함께 주변인과의 관계 형성에 도움이 될 만한 다양한 직장예절을 담고 있다. 이날 시연회에서는 출근을 앞두고 있는 발달장애인들이 VR기기를 쓰고 실제 직장과 같은 가상 환경 속에서 직장예절을 체험했다.  이선주 KT ESG경영추진실장 상무는 “장애인들이 우리 사회의 소중한 일원으로 자리 잡을 수 있도록 슬기로운 직장생활 지원할 것”이라고 밝혔다.  SK텔레콤도 전날 부산광역시와 ‘더 착한 일자리 도약’ 업무협약을 체결하고 부산에서 첫 ‘착한셔틀’ 서비스를 선보인다. 지난해 10월 처음 선보인 착한셔틀은 타인의 도움 없이 대중교통 이용이 어려운 장애인 근로자의 자택 앞에서 근무지까지 운행하는 셔틀버스 서비스다. SK텔레콤은 T맵 데이터를 분석해 최적의 안전경로를 제공하는 기술을, 한국장애인고용공단은 위치확인 보조공학기기인 스마트지킴이를 지원한다.  여지영 SK텔레콤 오픈콜라보담당은 “교통약자들도 마음 편히 일할 수 있는 사회에 기여하기 위해 착한셔틀 서비스를 지속 고도화할 계획”이라고 말했다."
9,2021.10.17. 오후 12:02,‘부산 장애인 채용박람회’ 18일 개막,"부산시는 18일부터 29일까지 ‘2021 부산 장애인 온라인 채용박람회’를 개최한다고 17일 밝혔다.이번 박람회는 코로나19 사태로 변화하는 채용 환경에 적극 대응하고, 다양한 취업 기회 제공을 통해 실질적인 장애인 취업 성과를 창출하기 위해 마련했다. 기업의 장애인 고용 촉진과 장애인 일자리 나눔을 위해 매년 대면 방식으로 진행하던 박람회는 지난해부터 온라인 방식으로 연다.박람회에는 시와 부산경영자총협회, 한국장애인고용공단 부산지역본부, 연구개발특구진흥재단, 50개 기업 등이 참여해 140여명을 신규 채용할 계획이다.올해는 온라인 환경에 취약한 장애인 구직자를 위해 비대면 화상 면접 체험과 일자리 상담, 동반 면접 지원 등 오프라인 서비스를 병행해 강화한 개인별 맞춤 서비스를 시행할 계획이다.구직을 희망하는 장애인은 홈페이지와 모바일로 접속하면 구직희망 기업 신청이 가능하다. 채용박람회 홈페이지를 방문하면 가상현실(VR)을 통한 면접 교육과 온라인 취업특강 등 변화된 채용환경에 대비한 비대면 상담 서비스도 이용할 수 있다.아울러 부산시는 장애인 채용박람회와 연계해 중증장애인 근로자의 이동권을 확보하는 ‘착한셔틀’ 사업을 시범 도입한다. 정보통신기술(ICT)에 기반한 도어 투 도어(문전) 방식의 착한셔틀은 누군가의 도움 없이는 대중교통 이용이 어려운 중증장애인의 출퇴근을 위해 자택에서 근무지까지 셔틀버스를 지원하는 민관 협력 사업이다.이와 관련해 부산시와 한국장애인고용공단·연구개발특구진흥재단·SK텔레콤 등은 18일 오후 2시 부산시청에서 ‘민관협업 THE 착한일자리 도약 업무협약’을 체결한다.박형준 부산시장은 “SK텔레콤·쿠팡·부산특구본부 등이 참여한 ‘착한셔틀 얼라이언스’와 협업해 장애인 구인구직에서부터 출퇴근 이동 지원까지 제공하는 전국 첫 민관협업 지역 상생 프로젝트가 탄생했다”면서 “경쟁 노동시장에서 직업 활동이 곤란한 중증장애인의 안정된 일자리 창출과 사회통합 기반을 조성 노력에 최선을 다하겠다”고 말했다.		"
