,날짜,기사제목,기사내용
0,2019.11.01. 오후 3:00,장애인 위한 '횡단보도 음성안내기' 가로막은 부산교통공사,"부산 동구 좌천동가구거리 횡단보도 양쪽 안내기 앞에 '수방함·제설함' 설치보행안전 위한 필수 장치 가로막아…'배려 없다' 빈축부산교통공사·부산 동구, 뒤늦게 ""다른 곳으로 옮기겠다""[부산CBS 송호재 기자]부산 동구 좌천동가구거리 횡단보도 양쪽 신호음성안내기 앞에 설치된 수방함과 제설함. (사진=부산 동구의회 김선경 의원 제공)부산교통공사와 부산 동구가 장애인을 위한 횡단보도 신호 음성 안내 장치 앞에 방제 물품을 넣어두는 보관함을 설치해 빈축을 사고 있다.부산 동구 좌천동가구거리에 있는 횡단보도. 신호를 기다리는 시민을 옆으로 노란색 대형 상자가 자리를 잡고 있다.이 상자는 부산교통공사가 설치한 '수방함'으로 홍수 등 자연재해에 대비하기 위한 각종 물품을 보관하는 곳이다.문제는 이 수방함이 설치된 장소가 시각장애인을 위한 '신호 음성안내기' 앞이라는 점이다.이 때문에 장애인은 물론 일반인조차도 안내기에 접근이 쉽지 않은 상황이다.횡단보도 반대편 음성안내기 앞에도 부산 동구가 '제설함'을 설치해 안내기 사용에 불편을 우려하는 목소리가 나왔다.교통 약자를 위한 음성 안내기는 버튼을 누르면 보행 신호 여부를 음성으로 알려주는 장치다.특히 시각장애인에게는 보행 안정을 확보하기 위해 필수적인 장치로 여겨진다.이 때문에 지역에서는 장애인을 위한 '배려'가 실종된 부적절한 행동이라는 빈축이 나왔다. 부산 동구의회 김선경 의원은 ""횡단보도 음성 안내기는 횡단보도를 건너는 시각장애인에게 '눈'이 되어주는 장치로 보행 안전과 직결되는 매주 중요한 장비""라며 ""이미 지난달 지역의 장애인이 민원을 제기했지만 관계 기관은 '시간이 걸린다'며 별다른 움직임을 보이지 않았다. 배려 없고, 생각 없는 행동""이라고 강하게 지적했다.이에 대해 부산교통공사는 ""해당 수방함에 대해 최근 민원이 들어온 것은 사실이다. 곧바로 수방함을 치우겠다""라고 말했다.부산 동구 역시 문제가 된 제설함에 대해 ""불편이 초래된다면 담당 부서와 상의해 옮기도록 하겠다""라고 말했다.▶ 확 달라진 노컷뉴스▶ 인싸들의 선택, 노컷뉴스 구독 서비스▶ 노컷이 못한 일, 돈컷은 한다songas@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지		"
1,2019.11.04. 오후 5:22,"정의당 광주시당, 휠체어 이용 ‘장애인 이동권 보장’ 촉구","[아시아경제 호남취재본부 윤자민 기자] “휠체어 이용 장애인이 탑승 가능한 고속버스 시범운행을 환영하며 ‘휠체어 이용 장애인’의 자유로운 이동권 보장을 촉구한다.”정의당 광주광역시당은 4일 성명서를 발표하고 이같이 밝혔다.이들은 “이동권은 사회접근권의 한 부분으로 장애인이 자유롭고 안전하게 보행을 하고 교통시설과 교통수단을 이용하여 자신이 원하는 목적지까지 자유롭게 갈 수 있는 권리를 의미한다”며 “장애인 이동권은 보도, 교통시설, 교통수단을 차별 없이 이용할 수 있는 것은 대한민국 국민이라면 당연한 권리인 것이다”고 주장했다.이어 “국토교통부가 지난 2018년에 발표한 저상버스 도입률 통계를 살펴보면  전국 평균 도입률은 22.8%, 서울특별시의 경우 43.6%이며 광주시의 도입률은 18%에 그치고 있다”면서 “지난 2017년부터 2021년까지 제3차 교통약자 이동편의 증진계획에 따르면 광역시도의 경우 운행하는 시내버스의 45%를 저상버스로 도입해야 함에도 불구하고 지켜지지 않고 있다”고 강조했다.시당은 가장 보편적인 대중교통 수단인 저상버스만의 문제가 아니라 고속·시외버스 이동권에 대한 차별은 더 심각하다고 언급했다.그들은 “매년 설과 추석이 되면 서울, 부산, 광주 등 전국각지에서 장애인들의 투쟁은 이어졌다”며 “마침내 지난달 28일 ‘휠체어’를 이용하는 장애인이 탑승할 수 있는 고속버스 시범운행이 시작되는 역사적인 날을 맞았다”고 역설했다.그러면서 “어렵게 시작된 이번 휠체어 이용 장애인이 탑승 가능한 고속·시외버스 운행이 단지 시범운행으로만 그치지 않아야 할 것”이라며 “장애인 이동권이 보장되도록 도입 노선 확대는 물론 근본적인 정책 수립과 예산 확보를 위한 정부차원의 노력이 있어야 할 것이다”고 강조했다.호남취재본부 윤자민 기자 yjm3070@gmail.com▶ 신강재강(身强財强) 해야 부자사주라고? 나는?▶ 초간단 퀴즈 풀고, 아이패드 받자!  ▶ 재미와 지식이 가득한 '과학을읽다'<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>		"
2,2019.11.26. 오후 4:56,"동래구, 장애인 전동보장구 충전기 22개 설치·운영","부산 동래구(구청장 김우룡)는 교통약자들의 이동권을 보장하고 사회참여를 위해 지난해부터 올해까지 총 22개'장애인 전동보장구 충전기'를 설치·운영하고 있다.장애인 전동보장구 충전기는 장애인과 어르신 등 교통약자들의 실질적인 이동권을 보장하고 장애인의 사회활동을 지원하기 위해 설치되었으며, 급속충전기는 1시간 충전 시 배터리의 50% 이상 충전이 가능하다.설치장소는 △동래구청 △동래구 보건소 △온천2동 주민센터 △사직2동 주민센터 △명장1동 행정복지센터 △동래문화회관 대극장 로비 △안락2동행정복지센터 △(사)동래구 장애인협회 △동래구장애인복지관 △동래종합사회복지관 △사직종합사회복지관 △교통시설 9개소(도시철도 온천장역, 사직역, 미남역, 수안역, 낙민역, 충렬사역, 명장역, 동해남부선 동래역, 안락역) △광혜병원 등으로 장애인의 이동이 많고 교통편의를 증진할 수 있는 공공시설이 우선 선정되었으며, 이용인원이 많은 의료기관에도 설치되어 중증장애인과 노인들의 안전한 이동권을 보장하고 있다.동래구 관계자는 ""장애인 전동보장구 충전기가 관내 22개 설치 운영중에 있으며, 이용자들의 삶의 질이 향상되고 안전한 이동권이 보장되기를 바란다""고 말했다.정순형 선임기자 junsh@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기"
3,2019.11.21. 오후 3:01,'매표소 앞 긴줄' 대부분 노인·장애인…철도파업 대전역 시민불편,"파업 이틀째인 21일 대전역 매표 창구가 붐비고 있다. 철도노조 파업에 자회사들도 동참한 가운데 이날 오전 코레일네트웍스 본사는 대전역 매표소에 대체 인력을 투입했다. 2019.11.21/뉴스1 © News1 주기철 기자(대전=뉴스1) 송애진 기자 = 철도파업 이틀째인 21일 대전역엔 열차 감축운행과 매표창구 일부 폐쇄 등에 따른 시민들의 불편 호소가 이어졌다.특히 노인이나 몸이 불편한 장애인들의 불편이 컸다. 장애인과 노약자, 임산부가 우선 이용할 수 있는 교통약자 우선 창구가 폐쇄됐기 때문이다.이날 대전역은 열차를 이용하기 위해 찾은 시민들로 북적였다. 오전 대전역 매표소 앞엔 40여명이 긴 줄을 서고 있었다.전동휠체어를 탄 이들이 줄을 서서 기다리는 모습도 보였다. 역 매표 업무를 담당하는 자회사 코레일네트웍스 직원들 800명이 파업에 동참하면서 대전역에서는 매표창구 4곳 중 2곳만 운영되고 있다.매표소 줄에 대기하고 있던 A씨(29)는 ""몸이 불편한 노인들이나 장애인들이 긴 줄을 서서 기다리는 걸 보니 안타까워 뒤에 있던 할머니가 이들에게 앞에 설수 있도록 양보하기도 했다""며 ""너무 안타깝다. 철도노조의 입장도 충분히 이해는 가지만 파업이 장기화되면 결국 시민들이 피해를 보지 않느냐""고 말했다.파업이 장기화할 경우 주말 이용객 불편이 클 것이라는 우려의 목소리도 크다. 또한 인력이 부족하다 보니 한국철도 측에서도 주로 모바일 앱인 코레일톡이나 ARS 전화를 통해 매표를 하고 있어 역시나 피해는 인터넷 이용이나 스마트폰 사용이 어려운 고객들에게 이어질 것으로 예상된다.전국철도노동조합 파업 이틀째인 21일 오전 대전역 매표소 앞에 파업에 따른 매표 창구 축소운영을 알리는 현수막이 걸려 있다. 2019.11.21/뉴스1 © News1 주기철 기자운행중지 열차 알림판을 보고 있던 시민 B씨(62·여)는 ""부산에 사는 딸 집을 가려고 하는데 눈도 침침하고 물어볼 사람도 없어 답답하다""며 ""고객센터에 전화를 해도 잘 받지도 않는데 나같이 핸드폰이나 컴퓨터를 만지기 힘든 사람들은 어떻게 하라는 건지 모르겠다""고 어려움을 토로했다.한국철도는 서울역 등 11개역 매표업무의 경우 대체인력으로 62개 창구 중 34개 창구를 운영하고, 여행센터 창구를 임시 운영해 현장 판매를 돕고 있다.대상역은 서울, 용산, 청량리, 영등포, 수원, 광명, 천안, 대전, 동대구, 대구, 부산 등 총 11개다.철도고객센터는 긴급 상담을 제외하고는 24시간 ARS로 운영한다.광명역 도심공항터미널 공항버스와 출국 수속 서비스는 파업 기간 운영이 중지된다.한국철도 관계자는 ""승차권 구입은 홈페이지나 모바일 앱 코레일톡, 자동발매기를 우선 이용해달라""며 ""문의 사항 발생 시 홈페이지나 역을 이용해 달라""고 당부했다.또한 ""가용 인력을 최대한 동원하지만 고객 서비스에 부족한 부분이 발생할 수밖에 없는 점 넓은 이해 부탁한다""고 말했다.thd21tprl@nate.com▶ [ 크립토허브 ] ▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
4,2019.11.27. 오전 6:07,"[부산소식]동래구, 동래방문의해 선포식 개최 등","			[부산=뉴시스] 하경민 기자 = 부산 동래구는 '2020년 동래 방문의 해'를 맞아 오는 12월 20일 오후 5시 호텔농심 야외마당에서 선포식을 개최한다고 27일 밝혔다.선포식은 오후 4시 배우 변우민 사인회 등 부대행사를 시작으로 김준호·손심심의 팔도아리랑 공연 등 식전 행사를 마치고 선포선언에 이어 동래구 홍보대사 변우민과 야구인 김용철, 쌍둥이 걸그룹 하트 소개, 2020 동래방문의 해 비전발표, 선포식 퍼포먼스 등의 순으로 진행될 예정이다.구는 2020 동래방문의 해를 맞아 동래관광 홍보 동영상 제작, 동래방문의 해 BI(로고) 제작, 미남교차로 등에 환영문구 설치, 홍보배지 달기, 초대문구 카드 부착, 스티커 배부, 현수막·고지서 등 각종 홍보물에 방문의 해 로고 삽입 등 다양한 홍보활동을 추진할 계획이다. ◇동래구, 장애인 전동보장구 충전기 22개 설치부산 동래구는 교통약자들의 이동권을 보장하고 사회참여를 위해 지난해부터 올해까지 총 22개의 장애인 전동보장구 충전기를 설치·운영하고 있다고 27일 밝혔다. 장애인 전동보장구 충전기는 장애인과 어르신 등 교통약자들의 실질적인 이동권을 보장하고 장애인의 사회활동을 지원하기 위해 설치됐으며, 급속충전기는 1시간 충전 시 배터리의 50% 이상 충전이 가능하다. 설치 장소는 동래구청과 보건소, 주민센터 등 총 22곳이다.◇중구, 지역산업맞춤형 일자리창출 평가 최고등급부산 중구는 원도심 취업취약계층 호텔 멀티태스킹 룸메이드 양성과정사업이 '2019년 지역산업맞춤형 일자리창출사업' 평가결과 최고등급인 'S등급'을 받았다고 27일밝혔다. 이 사업은 경력단절여성, 신중년여성, 다문화가정여성 등 취업취약계층을 대상으로 호텔 룸메이드 교육을 통해 지역 호텔에 룸메이드 취업을 지원하는 것이다.구는 내년에도 보조금을 지원받아 이 사업을 계속 추진할 계획이다.◎공감언론 뉴시스 yulnetphoto@newsis.com▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다▶ 뉴시스 채널 구독하고 에어팟 프로 받아가세요▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
5,2019.11.07. 오전 9:12,"[밀양소식]시 장애인복지관, LG 사랑 품앗이 선정 등"," 【밀양=뉴시스】안지율 기자 = 경남 밀양시 장애인복지관이 LG 복지재단의 2019년 소외계층지원사업 ‘LG 사랑 품앗이’에 선정돼 공기청정기 5대를 지원받았다. (사진=장애인복지관 제공) 2019.11.07. photo@newsis.com  【밀양=뉴시스】안지율 기자 = 경남 밀양시 장애인복지관은 LG 복지재단이 지원하는 2019년 소외계층지원사업 ‘LG 사랑 품앗이’에 선정돼 공기청정기 5대를 지원받았다고 7일 밝혔다.LG 사랑 품앗이 캠페인은 LG전자가 LG 복지재단과 협력해 사회적 약자인 장애인과 다문화가정, 어린이, 노인 등을 지원하고자 1988년부터 매년 진행하는 공헌 활동이다. 이번 지원은 기관 차원에서 미세먼지로 인한 건강피해는 대응능력이 취약한 집단(장애인·영유아·노인)에서 더 클 수 있다는 점을 고려한 예방조치를 강화할 필요가 있다고 판단해 공기청정기에 대한 지원을 신청하여 전달받게 되었다. 장애인복지관은 앞으로도 지역 내 장애인의 쾌적한 이용 환경을 조성하고자 시설 전반에 관한 관심과 투자를 지속하겠다고 전했다.◇나노융합 국가산단 홍보관 운영 밀양시는 7일부터 8일까지 창원컨벤션센터(CECO)에서 열리는 제6회 나노피아 산업전(나노피아 2019)에 나노융합국가산업단지 기업유치 홍보관을 운영한다. 이번 나노피아 2019의 국가산업단지 홍보관은 나노융합 클러스터(국가산업단지, 연구단지)와 교육 환경(한국나노마이스터고, 한국폴리텍대학, 부산대학교 나노과학기술대학), 인프라(교통·인력·교육 등) 환경 등을 국내외 나노융합산업 기업과 연구기관 관계자들에게 소개할 예정이다. 또 2일간 홍보관을 찾은 방문객들이 나노융합산업 관련 퀴즈에 대한 정답을 맞히면 룰렛 돌리기를 통해 밀양 특산물(사과, 양갱, 한천 젤리 등)을 제공할 예정이다.나노피아 2019는 경남도와 시가 주최하는 나노 관련 산업전으로 기존 학술행사 위주에서 전시회와 수출상담회 등 기업지원 기능을 강화해 나노융합국가산업단지의 성공적인 조성과 나노 기업의 집적화를 통한 경남 제조업의 경쟁력 강화를 도모할 예정이다.alk9935@newsis.com▶ K-Artprice 모바일 오픈! 미술작품 가격을 공개합니다▶ 네이버에서 뉴시스 채널 구독하기▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 <저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		"
6,2019.11.12. 오후 6:53,취임 1년 추연길 부산시설공단 이사장 “러 선박 충돌사고 광안대교 피해 복구 2개월 앞당겨 보람”,"추연길 부산시설공단 이사장은 메모용 수첩 없이는 일상생활이 힘들다. 1년 365일 빼곡한 일정과 미팅, 회의로 눈코뜰새가 없어서다. 웬만한 부산의 기간시설은 공단이 대부분 관리·운영하고 있어 현장을 뛰어다니느라 주말도 없다.“러시아 선박의 광안대교 충돌사고 때 최소 4개월이 소요되는 현장의 시민 불편을 최소화하기 위해 2개월 만에 신속하게 복구했고, 안전진단 전문기관으로 인증 등록을 완료한 게 가장 기억에 남고 보람도 느꼈습니다.”올해 초 공단 조직 개편 안전 최우선장애인 교통수단 ‘두리발’ 불편 해소“도심공원 비수기 즐길거리 만들 것”추 이사장은 올해 초 이를 예견이라도 한듯 공단 조직을 안전혁신본부, 기반시설본부, 행복복지본부로 개편하고 시민안전실을 신설해 안전에 방점을 둔 바 있다.지난 4월 추 이사장은 공단으로 이관된 특별교통수단 두리발 차량을 직접 운전하며 장애인 불편사항을 눈과 귀로 보고 들었다. 이어 공단 팀장급 이상 간부와 주요 직원들의 운전·동승 체험과 탑승 장애인의 불편사항을 듣기 위한 서비스 현장평가로까지 이어졌다. “복지매니저 명칭 도입, 서비스 강화를 위한 특별교육 시행과 35곳의 지정차고제와 집중배차제 도입 등 운영방식 개선으로 많은 변화가 눈에 띕니다.”공단은 부산의 대표적 도심공원에 즐길거리로 업그레이드된 물놀이장을 조성해 큰 호응을 얻었고, 올 겨울에는 눈썰매장도 설치해 시민들을 사로잡을 계획이다. 또 올 하반기 새롭게 맡게 된 부산-유라시아 플랫폼도 볼거리와 즐길거리를 많이 기획·유치해 다함께 어울리고 소통하는 열린공간으로 발돋움하고 있다.‘안전한 부산, 시민이 행복한 부산’이라는 슬로건을 내걸고 지난해 11월 현장경영을 외치며 취임 일성을 밝혔던 추 이사장이 여전히 현장을 선호하는 것은 바로 현장에 답이 있기 때문이다. “공단의 가장 큰 임무인 주요 교량·터널·도로 등을 안전하게 관리하고, 주요 공원과 각종 지하도 상가, 장사시설 등을 시민들이 불편없이 이용할 수 있도록 끊임없이 연구하고 개선책을 찾아 나가겠습니다.”이러한 노력으로 2019 지방공기업 경영평가 고객만족도 최우수기관과 2019 국가생산성대상 공공부문 금상, 노일일자리·사회활동지원 우수기관 보건복지부 장관상 등을 수상했고, SK핸드볼코리아리그 통합우승을 달성하는 등 대외적으로도 좋은 평가를 받고 있다.추 이사장은 여전히 24시간이 모자라 주말도 반납한 채 동에 번쩍, 서에 번쩍 바쁜 일상을 보내고 있다. 향후 공단이 어떻게, 얼마나 더 발전해 나갈지는 추 이사장의 수첩 속에 힌트가 있을지도 모른다.변현철 기자 byunhc@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기"
7,2019.11.13. 오전 8:29,"내일 수능날, 교통지원·항공기 통제…특별대책 총가동","서울 장애인 콜택시 운영…순찰차 등, 수험생 이동 도와[앵커]이제 내일(14일)이 수능입니다. 수험생분들, 또 학부모분들, 지금 얼마나 떨리실까요. 참 어김없이 올해도 수능한파가 예보돼 있습니다. 정부의 지원책도 마련돼 있습니다. 보도국 연결해서 알아봅니다.이재승 기자, 어떤 대책인가요?[기자]먼저 경찰이 내일 특별교통관리 대책을 내놨습니다.수능시험장 주변으로 경찰관 등이 배치돼 교통정리를 하고, 순찰차와 오토바이 등이 수험생 이동을 돕습니다.서울에선 장애인 전용 콜택시가 운영되고, 부산김해 경전철은 수험생들이 무료로 이용할 수 있도록 했습니다.시험 당일 시험장 200ｍ 전방부터는 승용차량 출입이 통제되는데요, 수험생들은 200ｍ 앞에서는 차에서 내려서 걸어가야 한다는 점 유의해야 합니다.또, 시험이 치러질 때 소음을 유발하지 않도록 다양한 조치가 시행됩니다.코레일이 ""시험장 주변 모든 열차가 서행""하도록 했고 항공기 이착륙과 군사훈련 등도 통제됩니다.시험이 끝난 뒤에는 수험생을 위한 여러 가지 이벤트가 진행되는데요.안양시는 한달간 빙상장 등 공공체육시설을 수험생에게 무료로 개방합니다.국립전주박물관은 오는 20일부터 '수험생 문화교실'을 열고 댄스공연과 마술쇼 관람, 동영상 만들기 강좌를 엽니다.[앵커]증권사들이 지난해 내놓은 주가 전망이 올해 많이 달랐다고요?[기자]■ 올해 코스피 2400 간다더니…주가 전망 '헛된 꿈'지난해말 자기자본 3조원 이상의 증권사 6곳이 제시한 올해 코스피 등락 범위는 1,908에서 2,380이었습니다.그런데 올해 어제까지 코스피는 종가기준으로 1,909에서 2,248사이에서 움직였습니다.올해 실제 지수가 저점은 예상치에 부합했지만 고점은 크게 못 미친 것입니다.특히 일본의 수출규제가 대두된 7월 한 달간 지수가 크게 하락했습니다.이후 코스피는 10월까지 좀처럼 힘을 쓰지 못한 채 이달 들어서야 겨우 2,100선을 넘어섰습니다.결국 올해 코스피는 2,400은커녕 2,300도 넘보지 못하고 있는 상황입니다.이처럼 증권사 전망치가 빗나간 건 ""작년 말까지만 해도 미·중 무역 분쟁이 올해 상반기에 마무리될 것으로 전망됐지만 실제로는 그렇지 못했기 때문입니다.게다가 유럽 경기 둔화와 홍콩 시위 이슈 등의 문제가 오히려 더 부각된 것으로 풀이됩니다.■ 멕시코 도착 볼리비아 모랄레스…""투쟁 계속"" 끝으로 대선 부정 논란 속에 물러난 모랄레스 전 볼리비아 대통령이 망명지인 멕시코에 도착했다는 소식입니다.모랄레스는 푸른색 반소매 티셔츠를 입은 채 다소 초췌한 모습으로 멕시코시티 국제공항에 내렸는데요, 도착 직후 자신의 목숨을 구해줬다며 멕시코 정부와 오브라도르 대통령에게 감사 인사를 했습니다.이어 자신이 지난달 대선에서 승리했음에도 쿠데타로 축출됐다는 주장을 고수했습니다.그러면서 ""살아 있는 한 정치를 계속하며 투쟁을 이어가겠다""고 강조했습니다.이재승 기자 (lee.jaeseung@jtbc.co.kr)▶ JTBC 뉴스 제보하기 ▶ 놓친 '뉴스룸' 다시보기▶ 확 달라진 'JTBC 뉴스APP' 이슈·라이브까지 한눈에!Copyright by JTBC(http://jtbc.joins.com) and JTBC Content Hub Co., Ltd. All Rights Reserved. 무단 전재 및 재배포 금지"
8,2019.11.12. 오전 5:30,"[오늘의 주요일정] 부산(12일, 화)","			(부산=뉴스1) 박기범 기자 = ◇부산시-오거돈 시장15:30 자성고가교 철거 및 평면도로 정비공사 준공식 (성남초)-변성완 행정부시장10:00 제282회 정례회제1차 본회의 (시의회)14:00 동아시아 철도공동체 활성화와 부산의 역할 세미나 (부산역)◇동래구  -김우룡 구청장09:50 관리주체교육 (동래문화회관)13:50 입주자대표회의 교육 (동래문화회관)19:30 이동구청장실 (온천반도보라스카이뷰)◇남구  -박재범 구청장08:00 무가선 저상트램 오송시험선 견학(한국철도기술연구원)14:00 치매걱정없는 행복한 남구를 위한 사회안전망 구축 업무협약식 (대회의실)15:30 도로교통공단 부산광역시지부 교통안전용품 전달식 (구청장실)◇북구  -정명희 구청장10:00 장애인 편의시설 우수업소 현판전달 (집무실)10:30 대천천네트워크 (중회의실)14:00 지식산업센터 내 더스토리 카페 개소식 (지식산업센터)15:00 2019 북부문화예술제 (학생문화예술회관)16:00 클래식 인문학 직원교육 (한국폴리텍대학)◇부산진구  -서은숙 구청장11:00 도서토론회 '북-런치' (행정자료실)14:00 희망세상 부산진구 신바람 노래교실 (대강당)17:00 제16호 부산진구문예 '성지곡의 햇살' 출판기념식 및 제9회 '부산진구 문화예술인상' 시상식 (청소년예술학교 소극장)◇연제구  -이성문 구청장  ~14 해외출장 (라오스 봉사활동)◇금정구-정미영 구청장10:00 금정구 도시농업 수료식 및 팜 파티 (노포동 평생학습관)11:00 금정구 노사민정협의회 (3층 중회의실)15:00 금정구 생활문화센터 기본 및 실시설계용역 2차 보고회 (3층 중회의실)◇해운대구  -홍순헌 구청장  18:30 해운대예술사진작가회 사진전 (해운대문화회관)pkb@news1.kr▶ [ 크립토허브 ] ▶ [ 해피펫 ]▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
9,2019.11.08. 오전 11:00,9일 부산시민공원에서 “함께 걸어요”,"			국토교통부(장관 김현미)는 보행교통 개선의 중요성을 알리고, 편리하고 안전한 보행환경 확산을 위해 11월 9일(토) 부산시민공원(부산광역시)에서 “제10회 보행자의 날 행사”를 개최한다. 「지속가능 교통물류 발전법」에 따라 시행하는 ‘보행자의 날 행사’는 보행교통 개선의 중요성에 대한 범국민적인 의식을 고취하기 위해 2010년부터 개최되어 올해로 10회를 맞이했다.* 사람의 두 다리를 연상케 하는 11월 11일을 보행자의 날로 지정하였으며, 올해는 시민들이 행사에 쉽게 참여할 수 있도록 11.9(토)에 행사를 시행제10회 행사를 맞이하여 올해는 보행환경개선을 적극 추진하고 있는 부산광역시에서 보행자의 날 행사를 개최하게 된다. 부산시는 지난 9월 보행권리장전 선포와 함께 보행환경개선에 단계적으로 110억원을 투입할 계획을 발표했으며, 장애인보호구역 확대, 보도 시공담당 공무원 실명제 등도 시행할 계획이다. 또한, 부산시는 안전속도 5030*을 전국 광역단체 중 첫 도입한 이후, 올해 11월 11일부터 부산 전역 도로(간선도로, 이면도로 등 3808km)에 안전속도 5030을 적용한다.* 보행자 등의 안전을 위해 도심부 도로 속도를 제한하는 정책(상한 50km, 30km)올해 행사는 ‘모두가 편리하고 안전한 보행’를 주제로 안전속도5030, 이동편의시설 설치* 등 국민의 편리하고 안전한 보행을 위한 정책을 소개하고, 시민들과 함께 걸으며 걷기행사를 진행한다.* 교통약자의 편리하고 안전한 이동을 위해 보도 등에 턱낮추기 시공, 볼라드·점자블록 설치 등걷기행사는 50km 속도제한 구역인 동평로(부산시민공원북측)에서 시작하여 30km 속도제한구역인 시민공원로를 거쳐 부산시민공원을 끝으로 마치게 된다. 또한, 시민들의 참여를 높이고자 보행안전 퀴즈·걷기행사 참가자에 대해 경품 추첨을 진행하고 교통안전 가상현실(VR) 체험·안전띠체험과 교통약자체험 등 다양한 프로그램을 마련했으며, 이를 통해 보행안전 상식을 공유하고, 운전자 및 교통약자 등 다양한 입장에서 보행환경을 이해함으로써 편리하고 안전한 보행환경에 대한 범국민적 공감대를 형성할 수 있을 것으로 기대된다. 국토교통부 윤영중 교통안전복지과장은 “걷기를 생활화하는 것은 개인의 건강뿐 아니라 국가차원의 기후변화 대응 및 지속가능한 교통체계 마련에 큰 도움이 되는 것”이라면서, “국민 모두가 편리하고 안전한 보행을 할 수 있도록 보행환경 개선에 최선을 다할 것”이라고 강조했다."
