,날짜,기사제목,기사내용
0,2017.03.24. 오전 9:03,"부산시, 시각장애인이 편하게 걸을 수 있는 길 만든다","			【부산=뉴시스】허상천 기자 = 부산은 시각장애인들이 편하게 걸을 수 있는 거리를 만든다.  부산시는 시각장애인들이 걷는데 불편한 거리환경을 개선하고 안전한 보행을 돕기 위해 올해 ‘시각장애인용 음향신호기’를 확대 설치할 것이라고 24일 밝혔다. 이에 따라 시는 시내 주요교차로 및 상가밀집지역, 유동인구가 많은 곳을 중심으로 횡단보도 346곳에 음향신호기를 추가로 설치하고 고장난 음향신호기 30대를 교체할 계획이다. 부산은 보행등이 있는 횡단보도와 건널목 8846곳 중 시각장애인들을 위한 음향신호기가 설치된 곳은 1704곳으로 보급률 19.2%에 그치고 있다. 이 같은 보급률은 서울 47.5%, 대구 22%, 인천20.9%, 광주 19.5%에 이어 7대 광역시 중 하위권이다. 음향신호기는 보행신호등이 있는 횡단보도에 설치해 버튼이나 리모컨을 작동시키면 음성안내를 함으로써 시각장애인 등이 안전하게 건널 수 있도록 유도하는 장치다. 그동안 횡단보도 보행등에 설치된 시각장애인용 음향신호기는 고장상태를 알 수 없어서 자체점검을 하거나 이용자들이 고장신고를 할 경우 정비 함으로써 제 역할을 하지 못한다는 지적을 받아 왔다. 이를 개선하기 위해 부산시가 2013년 5월 일제점검에 나서 시각장애인용 음향신호기 확대와 원격관리의 필요성을 인식하고 2014년 자체 통신망을 이용, 전국 최초로 원격관리 할 수 있는 음향신호기를 도입·운영하기 시작했다, 또 시는 교통정보서비스센터 노변기지국 장비 노후 및 통신장애 요인 등 문제점을 개선해 지난해부터는 4세대 이동통신 기술인 LTE를 이용한 원격관리 시스템을 구축했다. 이 덕분에 신호운영실에서 음향신호기의 고장상태를 24시간 모니터링 함으로써 실시간으로 시각장애인 등 보행약자의 안전을 살필 수 있게 됐다. 서병수 부산시장은 ""앞으로 매년 지속적인 예산투자로 횡단보도 보행등 대비 보급률을 높여 교통 약자 등을 위한 보행환경을 개선하는데 적극 노력을 기울이겠다""고 밝혔다. heraid@newsis.com뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
1,2017.03.29. 오전 9:54,"부산 등 6개 지자체 ""도시철도 무임손실, 국비 지원하라""","[부산CBS 강동수 기자]부산시가 연간 1000억 원대에 달하는 도시철도 무임 손실의 국비 지원을 이끌어내기 위해 6개 지자체간 공조에 나선다.부산시는 도시철도를 운영하는 서울과 대구, 인천, 대전, 광주 등 6개 광역지자체와 '전국도시철도 운영 지자체 협의회'를 구성하고, 무임수송 손실에 대한 국비 지원을 요구하는 공동 대응에 들어간다고 밝혔다.협의회는 지난 9일 서울에서 첫 모임을 갖고 정부 지원을 요구하는 건의문 초안을 작성했으며, 오는 4월 4일에는 2차 모임을 갖고 건의문을 가다듬는다. 이어 대선이 끝난 뒤인 5월 중순쯤 각 지자체장이 참석해 기자회견을 열고 국회에 건의문을 전달할 계획이다. 협의회는 또, 공익서비스를 제공하는 원인자가 운임을 부담하도록 도시철도법을 개정해, 65세 이상 노인과 장애인·국가유공자 등에 대한 도시철도 무임수송은 관련법을 관장하는 정부과 비용을 지원하도록 하는 방안도 추진한다.정부의 노인과 장애인·국가유공자의 교통복지를 위해 부산 도시철도가 떠안은 무임손실은 지난 2011년 842억 원에서 2012년 892억 원, 2013년 948억 원, 2014년 1065억 원, 2015년 1082억 원으로 해마다 늘어나고 있으며, 이에 따른 부산시의 재정부담도 가중되고 있다.angeldsk@cbs.co.kr저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지 "
2,2017.03.22. 오후 4:47,"부산지하철 1호선 연장 다대구간, 4월20일 개통","부산지하철 1호선 신평~다대 구간에 투입될 새 전동차 (부산교통공사 제공) 2017.3.22/뉴스1 © News1(부산ㆍ경남=뉴스1) 박기범 기자 = 부산도시철도 1호선 연장 다대구간이 다음달 20일 오후 4시 정식 개통한다.부산교통공사는 4월 20일 오후 2시 다대포해수욕장역에서 서병수 부산시장 등 600여명이 참석하는 가운데 개통식을 가진다. 다대구간은 총사업비 9590억을 들여 총 7.98km(정거장 6개소, 회차시설 1개소)를 연장했다. 지난 2008년 6월 기본계획 승인을 거쳐 2009년 11월 착공, 2016년 12월 완공을 마쳤다.공사는 개통에 앞서 지난해 12월16일부터 3월17일까지 약 3개월 간 시설물 검증시험과 영업시운전을 통해 영업준비 및 안전취약지점에 대한 완전 점검을 마쳤으며, 국토부와 한국교통안전공단의 안전 적합 판정 및 인가를 거쳐 개통하게 됐다. 이번 다대구간 개통으로 1호선은 34개역 32.5km에서 40개역 40.48km로 늘어났으며, 전역사 스크린도어 및 엘리베이터(34대), 에스컬레이터(135대)를 설치하고 장애인 유도블록, 점자판과 장애인용 화장실 등 추가 구비해 고객 서비스를 업그레이드 했다.이외에도 스마트 신형 전동차 투입 및 전역사 불연재 마감, 화재감지장치, 스프링클러 완벽 구비로 화재 위험을 차단했고, 세계 최초로 철도통합무선통신망(LTE-R)을 도시철도에 구축해 기관사가 비상상황에 신속히 대처할 수 있도록 했다.박종흠 부산교통공사 사장은 “공사기간 불편을 감내해주신 시민 여러분과 다대구간 개통을 위해 힘써온 시공사 및 공사 임직원 여러분께 감사드린다”며 ""이번 다대구간 개통이 서부산권 발전의 기폭제가 되길 기원한다”고 전했다. 한편, 공사는 개통에 앞서 다음달 5~14일 매일 오전 9시부터 오후 6시까지 10일간 다대구간을 시민에 개방하는 시승식을 가진다.pkb@▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
3,2017.03.28. 오후 1:52,"교통안전공단, 부산서 반찬배달 봉사활동","			 교통안전공단은 28일 부산시 해운대구 일대에서 장산 재가노인지원 서비스센터와 함께 독거노인 반찬배달 봉사활동을 전개했다고 밝혔다. 이번 봉사활동에는 공단 오영태 이사장을 비롯해 임직원 20여명이 참여했다.  오 이사장은 임직원들과 함께 독거노인 가구를 방문해 밑반찬과 생활용품을 전달하고 독거노인의 복지 향상을 위해 소정의 후원금을 장산 재가노인지원 서비스센터 측에 전달했다.         28일 교통안전공단 오영태 이사장(운데)이 부산 해운대구에서 임직원들과 함께 ‘반찬배달 봉사활동’을 하고 ‘장산 재가노인지원 서비스센터’에 후원금을 전달한 후 기념촬영을 하고 있다.    공단은 매월 1회 이상 지역 소외계층 지원을 위한 봉사활동을 진행하고 있다. 1월에는 광주광역시 어울림장애인자립생활센터와 경기도 시흥시 엘림양로원을 방문해 배식지원과 시설청소 등의 봉사활동을 전개했다. 또 지난 16일에는 영등포역 광장에서 밥사랑 열린 공동체와 함께 노숙인들에게 무료급식을 제공하기도 했다.  공단은 이러한 소외계층 지원 이외에도 자연보호활동, 1사1촌 자매결연을 통한 지역사회 지원 등 다양한 사회공헌활동을 진행하고 있다.  공단 오영태 이사장은 ""우리나라는 고령사회로 진입하는 단계로 복지와 안전 등 사회 전 분야에서 고령자에 대한 관심과 지원이 필요하다""면서 ""앞으로도 독거노인 등 고령자에 대한 지속적인 관심과 안전 활동을 꾸준히 전개하여 행복하고 사랑이 넘치는 사회를 만들 수 있도록 노력할 것""이라고 밝혔다.   cynical73@fnnews.com 김병덕 기자   ▶ 세상의 모든 골 때리는 이야기 'fn파스'▶ 속보이는 연예뉴스 fn스타  ※ 저작권자 ⓒ  파이낸셜뉴스. 무단 전재-재배포 금지		"
4,2017.03.21. 오후 12:13,국민 4명 중 1명이 교통약자... 대구·광주·경북·제주는 교통복지 하위권,"			국민 4명 중 1명이 고령자·장애인·임산부·어린이 등 교통약자인 것으로 조사됐다. 대구·울산·광주광역시와 경상북·제주·전북은 교통복지지표 평가에서 하위권을 차지했다.국토교통부는 2016년 교통약자 이동편의 실태조사 결과를 21일 발표했다. 2015년 말 기준 국내 교통약자 인구는 전체 인구의 25.7%인 1323만명으로 나타나, 1년 전보다 18만명 늘었다.교통약자 구성에도 고령화의 영향이 뚜렷했다. 65세 이상 고령자는 전체 51.2%로 가장 큰 비중 차지했다. 1년 전과 비교했을 때 늘어나는 속도도 고령자가 3.9%로 가장 빨랐다. 어린이는 1.6%, 임산부는 0.7% 늘었고 장애인은 5.9% 감소했다.교통수단·여객시설·보행환경 등 이동편의시설 기준 적합설치율은 72.5%로 집계됐다. 적합설치율은 장애인전용화장실, 휠체어 승강설비 등 교통약자 이동편의 증진법 상 세부항목 기준의 적합도를 조사한 수치다. 특별·광역시 7곳의 적합설치율은 74.5%로 1년 전보다 1.3% 늘었다. 세종시를 포함한 10곳 도의 적합설치율은 68.3%로 1년 전보다 0.3% 느는 데 그쳤다.교통수단별로는 항공기(98.7%)가 가장 높고, 노후선박이 많은 여객선(17.6%)이 가장 낮았다. 시설은 도시철도·광역철도 역사(83.6%)가 가장 높았고, 민간 부문인 여객자동차터미널(54.4%), 관리대상 수가 많은 버스정류장(39.4%) 등이 하위권을 차지했다.교통약자가 살기 좋은 곳은 7대 특별·광역시는 서울·부산·대전이, 10대 도에서는 경기·세종·충북이 나란히 상위권을 차지했다. 반면 울산·광주·대구광역시와 전북·제주·경북은 1년 전에 이어 하위권을 차지했다. 평가에 활용된 교통복지지표는 이동편의시설 기준적합율, 보행자 사고율, 저상버스 보급률 등을 기준으로 산정된다.국토부는 “지방 소규모·낙후된 여객자동차터미널, 버스정류장 시설개선이 시급한 상황”이라며 “교통약자 이동권 보장을 위해 지속적인 점검을 펼칠 것”이라고 밝혔다.<조형국 기자 situation@kyunghyang.com>▶ [경향비즈 바로가기], 경향비즈 SNS [페이스북] ▶ [인기 무료만화 보기][©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지]"
5,2017.03.14. 오전 11:24,[부산소식] 부산교통공사 홈페이지 접근성 우수,"			(부산=연합뉴스) 부산교통공사는 미래창조과학부가 지정하는 웹 접근성 품질인증마크를 2년 연속 획득했다고 14일 밝혔다.     이 마크는 장애인과 노인 등 누구나 편리하게 홈페이지를 이용할 수 있다는 뜻이다.    부산교통공사 홈페이지는 시각 장애인을 위해 글, 이미지 확대기능과 화면 낭독 프로그램을 설치했다.     또 키보드만으로 회원가입, 노선 검색, 승차권 예약, 글쓰기 등을 할 수 있다. 최신 유행 트렌드 총집결 #흥(클릭!)"
6,2017.03.06. 오후 4:07,"부산교통공사, 다대구간 개통대비 장애인 이용자 점검","부산지하철 1호선 신평~다대 구간에 투입될 새 전동차 (부산교통공사 제공) 2017.3.6/뉴스1 © News1(부산ㆍ경남=뉴스1) 박기범 기자 = 부산교통공사는 6일과 7일 양일간 개통을 앞둔 부산지하철 1호선 다대구간에서 (사)부산장애인총연합회와 합동으로 장애인 이용자 점검을 실시한다. 공사는 이번 점검을 통해 다대구간 신규 6개 역사에 설치된 장애인 이동로와 시각장애인용점자판, 엘리베이터 음성유도기, 장애인 화장실 등 장애인 이용시설의 적정 설치여부를 점검한다.박종흠 부산교통공사 사장은 ""개통 전 장애인 이용시설에 대한 집중 점검을 통해 불편사항을 적극 개선하겠다""며 ""앞으로도 장애인 고객들은 물론 모든 고객들이 편리하고 안전하게 도시철도를 이용할 수 있도록 최선의 노력을 다하겠다""고 전했다.부산지하철 1호선 연장 다대구간은 오는 17일까지 영업시운전 및 역사 내 안점점검과 영업준비를 마치고 올 4월 개통할 예정이다.pkb@▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
7,2017.03.13. 오전 10:45,모퉁이 등 교통사고 유발지역 불법주정차 과태료 2배,"김영춘 의원(민주당·부산진갑) © News1 DB김영춘 의원 도로교통법 개정안 발의(부산ㆍ경남=뉴스1) 박기범 기자 = 교통사고 발생 가능성이 높은 도로 모퉁이나, 대중교통 정류지, 소방시설 주변에 불법주정차 할 경우 과태료가 2배 이상 부과된다.더불어민주당 김영춘 의원(부산진갑)은 주정차특별금지구역 지정과 처벌 강화를 골자로 하는 '도로교통법 일부개정법률안'을 발의했다고 13일 밝혔다. '주정차특별금지법'으로 불리는 이번 개정안은 도로 모퉁이나 대중교통 정류지, 소방 시설 주변은 '주정차특별금지구역'으로 지정되고, 만약 이 구역에서 주정차 위반을 할 경우 범칙금 및 과태료가 일반 주정차 위반보다 2배 이상 가중부과 된다.도로의 모통이와 대중교통 정류지에서의 불법주정차는 운전자와 보행자의 시야를 방해해 심각한 교통사고를 유발하고, 소방시설 주변은 화재발생 시 대응에 미치는 악영향이 크다. 김 의원에 따르면 미국, 프랑스 등 선진국에서는 주정차 구역에 따라 위반행위에 대한 처벌 금액이 차등부과 되고 있다.현재 우리나라는 어린이·노인·장애인 보호구역 내 주정차 위반은 강하게 처벌하고 있지만 그 외의 도로에서는 사고의 위험성과 관계없이 일률적으로 승용차 4만원, 승합차 5만원이 부과된다.이번 개정안에는 지방자치단체가 주정차특별금지구역에 주정차에 따른 과태료와 범칙금의 금액을 명기한 안내 표지판을 반드시 설치하도록 해 운전자들에게 경각심 높이도록 했다. 또 해당 구역의 주정차금지표지 설치 및 관리에 필요한 비용은 '주차장 특별회계'에서 사용할 수 있도록 근거를 마련토록 했다. 김 의원은 ""도로의 특성을 반영해서 불법주정차의 위험과 피해가 큰 곳은 더 엄격하게 단속해야 한다""며 ""이 법안을 통해 우리 모두의 공공자산인 도로를 국민 모두가 더 안전하고 편리하게 이용하는 선진교통안전문화가 정착되길 바란다""고 밝혔다.pkb@▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
8,2017.03.14. 오후 11:01,휠체어 막는 사상구 '교통 약자 정비사업',"부산 사상구 모라주공아파트에 설치된 교통 약자를 위한 덱로드 끝부분에 가파른 계단이 있어 휠체어 장애인들이 불편을 겪고 있다.     부산 사상구가 교통 약자를 위해 시행하고 있는 도시정비사업에 휠체어 장애인을 위한 배려가 미흡해 '반쪽짜리'라는 비난이 일고 있다. 덱로드(무장애길) 일부에 휠체어로는 지나갈 수 없는 계단이 설치돼 있는가 하면, 인도의 좌우 경사가 심해 휠체어 장애인들이 통행에 불편을 겪고 있는 것이다.사상구 모라동은 노인과 장애인 등 교통 약자가 많아 2011년 전국 최초로 '교통안전 시범도시'에 선정됐다. 사상구청은 교통안전 시범도시 조성 사업의 일환으로 모라동 모라주공아파트 1단지와 3단지를 연결하는 길이 166m의 덱로드를 설치했다.장애인 덱로드에 계단 설치 근무 시간 이후 이용 제한도 언덕에 가드레일 설치 불구 보도블록 경사로 '큰 불편'그러나 휠체어 장애인들은 이 덱로드를 마음 놓고 이용하지 못하는 실정이다. 덱로드 끝부분에 휠체어로는 지나다닐 수 없는 가파른 계단이 설치돼 있기 때문이다.휠체어 장애인들은 덱로드 중간에 위치한 사상구 장애인근로작업장과 연결된 통로를 이용해 덱로드를 빠져나와야만 한다. 장애인근로작업장은 평일 오전 9시부터 오후 6시까지만 운영하기 때문에 공휴일을 비롯한 나머지 시간에는 휠체어 장애인들이 이 덱로드를 이용할 수 없다. 휠체어 장애인들은 평일 근무시간에만 이 덱로드를 이용할 수 있는 셈이다.이에 대해 사상구청 관계자는 ""덱로드 끝부분의 경사가 너무 가팔라 덱로드 대신 불가피하게 계단을 만들었다""며 ""계단이 있기 때문에 오토바이와 자전거가 덱로드를 지나다닐 수 없다는 이점도 있다""고 해명했다.사상구 장애인자립생활센터 노경수 소장은 백양터널과 신모라교차로 사이에 위치한 인도에도 휠체어 장애인을 위한 배려가 부족하다고 지적했다. 사상구청은 '마의 도로'라고 불릴 정도로 가파른 이 구간에 교통안전 시범도시 조성의 일환으로 교통사고 충격을 완화하는 가드레일을 설치했지만, 정작 휠체어 장애인 등 교통 약자를 위한 보도정비 사업은 전무했다는 것이다.노 소장은 ""언덕으로 인한 경사는 어쩔 수 없다 하더라도 보도블럭의 좌우 경사가 심해 이 길을 지나다 여러 차례 휠체어로 가드레일을 들이 받았다""며 ""교통안전 도시 조성을 논의할 때 이 부분을 건의했지만 반영되지 않았다""고 말했다. 이에 대해 사상구청 관계자는 ""자체적으로 협의를 거쳐 덱로드와 보도블럭 관련 문제점을 조속히 개선하겠다""고 밝혔다. 글·사진=안준영 기자 jyoung@busan.com"
9,2017.03.30. 오후 8:13,'스포원' 시민들의 사랑 받는 레포츠 공원,"최근 스포원을 찾은 가족 단위 나들이객들이 자전거를 타면서 즐거워하고 있다.  스포원 제공     부산 동북지역의 유일한 시민 레저·휴식 공간 역할을 해온 스포원(이사장 김병곤)이 올해 종합레포츠 공기업으로 도약한다. 스포원은 30일 ""올 상반기에 16억 원으로 경륜장 정문을 넓히고 커플존·패밀리존 조성을 통해 가족과 연인들이 쉽게 이용할 수 있는 공간을 조성한다. 2단계로 정문 빈 공간에 2030세대와 가족을 위한 신개념 체험 놀이공간을 조성해 복합 레저스포츠 공간으로 자리잡을 계획이다""고 밝혔다.경륜장 환경 개선·특화 공간 조성 사감위 건전화 평가 전국 첫 S등급 찾아가는 사회공헌사업 지속 전개스포원은 또 기존의 낡은 시설을 밝고 건강한 이미지로 탈바꿈하기 위해 경륜장 환경개선을 위한 디자인 개선 용역을 실시하고 있고, 특화된 복합문화체험공간을 단계별로 조성해 나간다는 방침을 세웠다. 김병곤 이사장은 ""스포원이 동북지역에서 시민들이 레저와 휴식을 동시에 즐길 수 있는 유일한 공간이다. 커플존·패밀리존·신개념 체험 놀이공간 등 조성과 효율적 관리로 시민들이 계속 찾아오고 싶은 종합레포츠 공간으로 만들겠다""고 밝혔다. 지난해 3월 취임한 김 이사장은 '변화와 혁신으로 100년 기업 토대 마련'을 경영 목표로, '고객중심 열정경영''지속성장 책임경영''행복나눔 가치경영' 을 경영 방침으로 정했다. 이를 위해 △고객서비스 혁신 △경륜장 환경개선 △쾌적한 공원조성 △경영기반 개선 △성과주의 조직운영 △나눔문화 확산 등을 핵심사업으로 추진해오고 있다. 이런 노력의 결과로 2016년 행자부 주관 경영평가에서 '나' 등급을 달성했다. 특히, 사행산업통합감독위원회 주관 건전화 평가에서 전국 최초 S등급(2년 연속 전국 최우수)을 획득하는 놀라운 성과를 거뒀다. 스포원은 2002년 부산아시안게임 사이클링장, 농구장(실내체육관), 테니스장(16면)등을 경륜장과 생활체육시설로 변경해 관리·운영하고 있다. 스포원은 여기에 풋살장, 축구장, 배드민턴장 등을 보강했고, 2008년에는 실내체육에 수영장, 휘트니스, 실내골프장을 갖춘 스포츠센터를 개장했다. 특히 2014년에는 부산에서 유일한 실내 테니스장 6면을 조성했다.스포원은 가족공원, 숲길 등 3여 평의 조경지에 40만 주 가량 심어 숲과 같은 주변 환경을 조성했다. 전국 최대 규모(600여 평)의 탄생의신비관, 어린이교통나라, 고령자 유사체험관인 해피시니어 등도 시민들이 직접 체험할 수 있는 시설이다. 스포원은 2003년부터 2016년까지 14년간 경륜·경정사업으로 4조 1572억 원의 매출을 올렸다. 이를 통해 레저세 등 지방세 3280억 원, 공단운영금 2984억 원 등 지금까지 6264억 원의 지방세를 납부했다. 이는 금정체육공원조성과 경륜장 전환공사비 1705억 원의 4배 가까이 달하는 수준이다. 찾아가는 사회공헌사업도 꾸준히 전개하고 있다. 해마다 장애인 어울림한마당, 장애인 사이클대회 등을 실시했고, 직원 중심의 '나누리봉사단'이 매월 지역 내 재가 독거노인과 결손가정 등을 방문해 반찬만들기, 재가노인 무료급식 및 배식, 청소년 가장돕기 등 봉사활동을 펼치고 있다. 김 이사장은 ""앞으로 스포원이 시민들의 건강과 여가를 모두 책임지겠다는 자세를 가지고 복합문화공간 확충 등 쾌적하고 안전한 이용자 중심의 공원으로 관리·운영하는데 더욱 노력 하겠다""고 밝혔다. 김수진 기자 kscii@    		"
