,날짜,기사제목,기사내용
0,2022.06.28. 오후 4:01,"교통·숙박 4개 기업, 장애인 무료 여행 프로그램 운영","'초록여행' 홈페이지의 장애인 힐링 여행 포스터.한화호텔앤드리조트, 제주항공, 기아, 코레일이 취약계층의 이동권을 돕는 ㈔그린라이트와 22일 ‘장애인 여행 활성화를 위한 업무협약’을 체결했다. 장애인에게 장거리 여행의 기회를 확대하기 위한 협업이다. 이들 기업과 기관은 9월부터 매달 32명(장애인 8가구)을 대상으로 교통, 관광, 숙박 등 원스톱 서비스가 포함된 국내 관광지(제주·강릉·부산) 무료 여행 프로그램을 운영한다. 한화리조트는 설악 쏘라노·용인 베잔송·해운대·제주 숙박 이용권을, 제주항공은 매월 12명(장애인 3가구)에게 제주도 왕복 항공권을 지원한다. 기아는 ‘초록여행’을 통해 장애인 전용 차량을 무상 대여하고, 그린라이트는 초록여행 운영 전반을 관리한다. 코레일은 매월 20명(장애인 5가구)에게 강릉과 부산행 철도 이용권을 제공한다. 7월부터 초록여행 홈페이지(greentrip.kr)에서 참가 신청을 받아 장애 유형과 사연 등을 심사해 대상자를 선정한다. "
1,2022.06.22. 오후 3:14,[부산소식] 공공기관 노동이사 협의회 출범,"			(부산=연합뉴스) 부산시 공공기관 노동이사 협의회는 22일 오후 부산시청에서 출범식을 하고 본격 활동에 들어갔다.     부산에는 현재 부산교통공사를 비롯한 8개 공공기관에 노동이사 11명이 선임된 상태다.     협의회는 출범식에 앞서 세미나를 개최하고 노동이사제 활성화 방안을 모색했다. 부산시설공단, 이웃돕기 성금 160만원 전달    (부산=연합뉴스) 부산시설공단은 장애인 특별교통수단 '두리발'에 설치한 모금함에 모인 돈과 직원들이 보탠 성금 등 160만원을 부산사회복지공동모금회에 전달했다고 22일 밝혔다.    공단은 지난해 3월에도 같은 방식으로 조성한 성금 140만원을 기부했다."
2,2022.06.23. 오후 10:18,"기아, 교통·숙박시설과 손잡고 장애인 여행 활성화 나서","핵심요약코레일·제주항공·한화호텔앤드리조트·(사)그린라이트와 MOU9월부터 장애인 가정 8곳 대상…제주·강릉·부산 등 무상여행다음 달부터 초록여행 홈페이지 통해 사전예약…대상자 선정이덕현(왼쪽부터) 기아 경영전략실장, 김경원 제주항공 커머셜전략실장, 원종철 코레일 미래전략실장, 이상혁 한화호텔앤드리조트 HR그룹장, 김춘만 사단법인 그린라이트 이사가 '초록여행' 장애인 전용 차량 앞에서 기념촬영을 하는 모습. 기아 제공기아가 교통·숙박 등 이종 산업과 손잡고 장애인 여행권 확대에 나선다.기아는 지난 22일 서울 양재동 본사에서 제주항공, 한국철도공사(코레일), 한화호텔앤드리조트, 사단법인 그린라이트와 '장애인 여행 활성화를 위한 업무협약(MOU)'을 체결했다고 밝혔다.기아는 이번 업무협약으로 자사의 대표적인 국내 사회공헌 사업인 '초록여행'을 통한 장애인 여행 지원을 대폭 확대한다.기아는 업무협약에 참여한 기업 및 기관과 함께 오는 9월부터 매월 32명(장애인 가정 8가구)을 대상으로 이동, 관광, 숙박 등 '원스탑 서비스'가 포함된 국내 인기 관광지(제주, 강릉, 부산 등)로의 무상 여행 프로그램을 운영할 계획이다.구체적으로 ▲'초록여행' 장애인 전용 차량 무상대여 ▲제주 왕복 항공권(제주항공) ▲강릉·부산행 왕복 철도 이용권(코레일) ▲숙박 이용권(한화리조트 설악 쏘라노, 용인 베잔송, 해운대, 제주) 등이 지원된다.기아는 오는 7월부터 '초록여행' 홈페이지에서 사전 예약 접수를 받고 장애유형, 사연 등을 심사해 대상자를 선정할 계획이다.※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스"
3,2022.06.23. 오후 3:03,"한화호텔앤드리조트, 기아 제주항공 등과 장애인 여행 활성화 협약","애인 가정에 국내 여행 숙박 교통편 무상 제공숙박(한화) 차량(기아) 항공(제주항공) 철도(코레일)2015년도부터 진행 ‘객실 나눔 캠페인’ 연장선 추진한화호텔앤드리조트는 22일 기아, 제주항공, 한국철도공사(코레일), 사단법인 그린라이트와 장애인 여행 활성화 업무협약(MOU)을 체결했다. 한화호텔앤드리조트는 기아와 함께 그린라이트가 추진하는 장애인 여행 활성화 프로그램 ‘초록여행’에 동참한다. ‘초록여행’ 프로그램은 9월부터 매월 32명(장애인 가정 8개 가구)에게 국내 인기 관광지의 숙박과 교통편을 무상으로 제공한다. 협약에 참여한 기업들은 각각 한화리조트 설악 쏘라노, 용인 베잔송, 해운대, 제주 숙박 이용권(한화호텔앤드리조트), 장애인 전용 차량(기아), 제주 왕복 항공권(제주항공), 강릉/부산 철도 이용권(코레일) 등을 지원한다. 7월부터 초록여행 홈페이지에서 사전예약 접수가 가능하다.. 한화호텔앤드리조트는 2015년부터 1000여 개의 사회복지기관을 대상으로 주중 유휴 객실을 이용하는 ‘즐거운 에너지 나눔’ 캠페인을 진행해 왔다. 여행에 대해 경제적, 심리적 부담을 가진 사회취약계층에게 8000여 개의 객실을 제공해 삶의 질을 높이려 노력했다.  김형조 한화호텔앤드리조트 대표이사는 “레저 서비스를 선도하는 기업으로서 취약 계층을 위한 여행 활성화를 도모하는 것은 큰 의미가 있다”라며 “앞으로도 이종 산업과의 협업을 통해 여행 기회가 부족한 사람들을 위한 다양한 활동을 추진할 것”이라고 말했다.스포츠동아 김재범 기자 oldfield@donga.com"
4,2022.06.15. 오전 9:18,"부산시, 시각장애인 택시이용 카드 결제시 음성 안내 등 시민 제안 사업 7건 선정","부산시청 전경 © News1 DB(부산=뉴스1) 박채오 기자 = 부산시는 시민제안심사위원회를 통해 내게 힘이 되는 시정 우수 제안 7건을 선정했다고 15일 밝혔다.시는 시정 우수 제안 선정을 위해 지난해 12월부터 지난 5월까지 시민들이 제안한 의견 총 376건 중 소관부서별 내부검토를 거쳐 30건을 뽑아 시민제안심사위원회의 심의를 거쳤다.이를 통해 Δ부산시립낙동강생물전시관 설립 Δ부산시 유튜브 채널에 층견소음(반려동물로 인한 층간소음) 예방교육 영상 게시 Δ장애인 주차요금 감면기준 개선 Δ부산시 교통약자 택시이용 편익 방안 Δ스마트 원격 수도 검침 현황 안내 Δ동산삼거리 버스정류소 명칭변경 Δ부산 시민공원 지도에 자원봉사 캠프 표시 제안 등 총 7건을 최종 선정했다.부산시립낙동강생물전시관 설립은 낙동강에 서식 중인 각종 어류와 생물자원에 대한 전시 및 교육공간, 안내센터 설립을 제안한 내용이다. 교통약자 택시 이용 편익방안은 교통약자 중 특히 시각장애인을 위해 택시 이용 후 카드 결제 시 카드 리더기에서 요금을 음성으로 안내하는 내용을 담고 있다.이번에 선정된 우수제안은 소관부서에서 실시 시기, 예산, 추진방법 등을 구체화한 실행계획을 만들어 시정에 반영할 예정이다.		"
5,2022.06.09. 오후 4:20,"부산진구, 장애인 대상 전동보장구 안전교실 운영",부산진구(구청장 서은숙)는 지난 8일 삶장애인자립생활센터(양정동)에서 전동휠체어 및 전동스쿠터 사용자를 대상으로 ‘전동보장구 사용자 안전교실’을 개최했다고 9일 밝혔다.이날 교육은 도로교통공단 전문강사를 초빙해 전동보장구 이용 안전수칙과 사고처리요령을 알려주고 2022년 의료급여 장애인 보장구 지원사업에 대해 안내했다.구 관계자는 “전동보조기기 이용자들의 안전사고 발생 예방에 도움이 되길 바란다”고 말했다.
6,2022.06.03. 오전 3:04,"부산교통공사 건설본부, 부패 척결 및 조직문화 확산 위한 워크숍 개최 外",			부산교통공사(사장 한문희) 건설본부는 지난달 31일 부패 척결 및 조직문화 확산을 위한 워크숍을 개최했다.동의과학대(총장 김영도)는 최근 와이제이와이푸드(대표 최용진)와 베이커리 전문인력 양성을 위한 산학협력 협약을 했다.부산시교육연수원(원장 이미선)은 지난달 31일 국립부산국악원(원장 이정엽)과 국악 체험 연수를 위한 업무협약을 체결했다.부산가톨릭대(총장 홍경완) 물리치료학과는 최근 경남 의령군에서 ‘농촌사랑 자원봉사활동’을 진행했다.부산 영도구는 최근 장애인 평생학습도시 운영사업 실무자와 강사를 대상으로 ‘영도구 장애인 평생학습  관계자 워크숍’을 개최했다.동서대(총장 장제국) 교목실은 최근 학원복음화센터에서 ‘건학이념실천 장학생 장학금 수여식’을 개최했다.부산 동래구 안락2동 적십자봉사회(회장 성임순)는 최근 지역 간선도로변 등에서 환경정비 작업을 했다.
7,2022.06.09. 오전 7:00,장애인 콜택시에 안내견 못태운다? 황당한 승차거부,"부산시 36억 지원 자비콜 불친절 사례 빈번""승객 대응 매뉴얼 구축해야""부산 장애인 콜택시 ‘자비콜’이 시각장애인 안내견 승차를 거부하는 등 불친절한 운영으로 논란이다.시각장애인 안내견. 국제신문DB최근 전맹 시각장애인 A(24) 씨는 자비콜 때문에 힘든 시간을 보냈다. 지난 4월 부산대 인근에서 자비콜을 불렀지만, 택시 기사가 안내견을 보고 ‘이렇게 큰 개는 못 태운다’며 탑승을 거부한 것이다. 곧이어 도착한 두 번째 택시도 ‘이렇게 큰 개를 데려오면 어쩌느냐’며 떨떠름한 기색을 내비쳤다. 그러나 약속 시간에 늦었던 터라 불편한 마음으로 탑승할 수밖에 없었다. A 씨는 “서면으로 이동하는 내내 불편했다. 안내견도 바닥에 납작 엎드리며 불안해 했다”고 말했다.9일 부산시에 따르면 자비콜은 장애인 당사자 부담이 35%, 시 부담이 65%로 운영된다. 최대 탑승 횟수는 한 달에 50회(지원액 한도 월 22만 원)이다. 시는 장애인 이동권 보장을 위해 자비콜에 연간 36억 원의 예산을 투입한다. 하지만 장애계는 자비콜의 불친절 사례가 한 두번이 아니라고 성토했다. 전맹 시각장애인 B 씨도 “시각장애인은 처음에 요청한 위치에 정확하게 내려주는 게 중요한데 길 건너에 내려줘서 한참 길을 헤맸다”고 말했다. 시각장애인 C 씨도 “기사가 내려서 탑승을 도와줘야 하는데 길 건너에서 경적으로 위치만 알려줘 당황했다. 장애인에 대한 배려가 아쉬웠다”고 지적했다.장애인 콜택시지만 시에는 장애인 승객 대응 매뉴얼조차 없다. 별도의 교육도 진행하지 않고 자비콜 측에 자체적으로 교육을 하라는 공문을 보낼 뿐이다. 부산시 관계자는 “많지 않지만 매년 관련 민원이 접수되고 있다. 코로나19로 2년간 대면교육이 어려웠는데 앞으로 철저히 교육하고 여객법에 어긋나는 서비스를 제공할 때 강력히 제재하겠다”고 말했다.부산시각장애인복지연합회 김복명 회장은 “안내견은 시각장애인의 또 다른 눈이자 안전 보행을 위한 지킴이다. 교통약자를 위한 서비스인 자비콜이 오히려 안내견 탑승을 꺼려 유감”이라며 “시는 재발 방지를 위해 장애인 이동권을 보장하고 장애인 이용자 대응 매뉴얼을 구축해 교육해야 한다”고 말했다.		"
8,2022.06.29. 오후 5:41,"시행 1년 부산 자치경찰위, 생활안전 등 4개 분과 치안시책 추진","정용환 위원장 ""실질적인 인사권과 재원확보 필요""부산시 자치경찰[부산시 제공](부산=연합뉴스) 김재홍 기자 = 부산시 자치경찰위원회 자치경찰제 전면시행 1주년을 앞둔 29일 그동안 자치경찰제에 대한 성과와 과제를 밝혔다.    자경위는 ▲ 제도운영 ▲ 생활안전 ▲ 여성·청소년 ▲ 교통 등 4개 분과의 전문가 자문단을 구성해 다양한 치안시책 발굴에 나섰고, 지역공동체 구성원들이 치안문제를 스스로 발굴해 해법을 찾는 '치안리빙랩'도 만들었다.     최근에는 '납품도매업 차량의 주정차 허용시간 연장시행'을 자경위 심의 안건으로 상정해 부산경찰청 도로교통 고시로 추진했다.     자경위는 주요 치안 시책으로 ▲ 아동·장애인 등 성폭력·학대근절 활동 ▲ 스토킹 피해자 보호 협의체 구성 ▲ 부산형 가정폭력 대응 모델인 '행복한가(家) 희망드림 프로젝트' 추진, ▲ 횡단보도와 어린이 보호구역 내 사고 예방을 위한 안전시설 보강 등을 추진하고 있다.     현재 자치경찰 사무는 국가경찰 사무와 분리돼 있으나 업무를 담당하는 경찰관은 국가경찰 신분을 유지하고 있다.     이와 관련해 자경위 정용환 위원장은 ""자경위에 부여된 권한을 책임 있게 행사하기 위해서는 실질적인 인사권의 확보가 필요하다""고 말했다.     이어 ""시민 밀접형 치안시책을 내실 있게 추진하려면 자치경찰 특별회계 신설, 자치경찰 교부세 신설, 과태료·범칙금 등 지방이양 등의 재원확보도 필요하다""고 덧붙였다.     자치경찰제는 지방분권 이념에 따라 지방자치단체에 경찰권을 부여, 경찰의 설치·유지·운영에 관한 책임을 담당하게 해 '지역 맞춤형' 치안 서비스를 실현하자는 취지로 도입됐다.     지난해 7월 1일 '주민에 의한 민주적 통제'를 기치로 첫발을 뗐으나 인사와 재정권에서 뚜렷한 한계를 노출한 데 이어 지휘권자만 늘었다는 내부 지적도 나오고 있다.  pitbull@yna.co.kr"
9,2022.06.21. 오전 11:37,"“심야 킥보드, 90%가 헬멧안써...인도주행 허용해야”...법따로 현실따로 교통법규 [박현갑의 뉴스아이]","보행자 “자전거, 오토바이 때문에 짜증 나요”자전거족, “차량 위협 불안”...조건부 인도주행 필요차량과 충돌한 전동 킥보드 관련 사진. 부산경찰청‘두 바퀴 운전족’이 늘고 있다. 일상화된 배달문화로 늘어난 배달 오토바이에다 레저용과 친환경 근거리 이동수단으로 각광받는 자전거는 물론 전동 킥보드, 전기 자전거 등 개인형 이동장치(PM) 이용자들이다.그런데 교통법규를 지키는 경우는 드물다. 자전거도로가 있는데도 불구하고 인도에서 자전거나 전동 킥보드를 타는가 하면 이륜차들은 차로를 제멋대로 오가며 곡예운전과 난폭운전을 일삼는다. 자신의 생명이나 신체를 훼손하고 보행자들도 불안하게 하는 위험한 운전이다.‘국민이 안심하는 생활안전 확보’는 윤석열 정부의 110대 국정과제 중 69번 과제다. 2020년 3081명이던 교통사고 사망자를 7년 안에 절반 수준으로 낮추기 위해 보행자를 최우선으로 하는 방향으로 교통체계를 개선하고, 이륜차·화물차 등 사고 취약 요인 관리를 강화한다는 게 골자다.보행, 자전거, 자동차 등 이동 형태별로 국민이 안심하는 생활안전을 확보하려면 어떻게 하는 게 바람직한지 살펴본다.보행자, “자전거, 오토바이 때문에 짜증 나요”지하철로 출퇴근하는 직장인 A씨는 주중의 출퇴근길은 물론 휴일에도 집 주변 인도를 제멋대로 오가는 자전거나 PM 때문에 마음이 편치 않다. 보행자가 많지 않은데도 불쑥불쑥 나타나는 자전거나 전동 킥보드 때문에 걷다가 몸을 피하기 일쑤다. 인도나 지하철역 입구, 버스 정류소, 점자블록 위나 횡단보도 주변에 널부러진 전동 킥보드도 통행에 방해요인이다. 자치구나 경찰에 민원을 제기해도 해결되지 않는다.도로교통법상 자전거나 전동 킥보드는 차로 분류돼 인도 이용은 불법이다. 이 법 13조 2항은 자전거 등의 운전자는 자전거도로가 설치되지 아니한 곳에서는 도로 우측 가장자리에 붙어서 통행해야 한다고 돼 있다.다만 어린이나 노약자, 그 밖에 행안부령으로 정하는 신체장애인이 자전거를 이용하는 경우는 보도 통행이 가능하다. 또 횡단보도를 이용해 도로를 오갈 때에는 자전거 등에서 내려 자전거 등을 끌거나 들고 보행해야 한다. 자전거를 타고 횡단할 수 있는 경우는 자전거 횡단도로가 따로 있는 경우다.그런데 현실과 법은 동떨어져 있다. 자전거나 킥보드를 타고 인도로 다니는 사람들이 허다하다. 횡단보도를 건널 때도 타고 가는 게 대부분이다. 모두 법률로 금지된 행위다.하지만 단속 등 제재는 거의 없다. 공유 킥보드는 서울에서 10시간 이상 불법 주정차 구역에 방치하는 경우에 한해 견인조치한다. 이로 인해 A씨처럼 보행자들은 인도에서조차 교통약자가 되고 있다.자전거도로가 있으나 인도에서 자전거를 타고 다니는 시민들이 대부분이다.자전거족, “우리도 차량 위협에 불안해요”보행자들로부터 눈총을 받는 자전거 운전자나 PM족들도 불만이다. 도로를 이용할 때 승용차의 위협 운전을 감내해야 함은 물론 자전거 우선도로에서도 우선 통행은 일반차량의 몫이지 자전거 운전자의 권리가 아니다.자전거 동호회 활동을 10년 이상 했다는 한 라이더는 “자전거도로가 없는 경우 도로 가장자리에 붙어서 타게 되는데 시내에서 자전거를 타는 건 솔직히 불편하다. 버스 등 대형차가 저희를 무시하는 듯 뒤에서 경적을 울려대기도 한다”고 말했다.서울 강북권의 자전거 동호회 ‘로피단’의 김민정씨도 “자전거 우선도로인데도 일반 운전자들이 느리게 간다며 욕하거나 위협운전을 한다”면서 “버스 등이 옆으로 빠른 속도로 휙 지나가면 자전거가 그쪽으로 쑥 빨려 들어가는 ‘와류 현상’이 생겨 무서울 때도 있다”고 고충을 토로했다.자동차 운전자, “전동 킥보드 때문에 운전 힘들어요”버스나 택시 등 영업용 차량 운전자나 자가용 운전자들도 불만이다. 4륜차 운전자들은 ‘두바퀴족’이 보이면 온몸의 신경을 곧추세운다. 특히 최근 부쩍 늘어난 공유 킥보드는 요주의 대상이다. 헬멧을 쓰지 않는 사람이 많아 충돌 때 안전사고 위험이 높아서다.차선을 이리저리 오가는 곡예운전에 중앙선 침범도 서슴지 않는 오토바이도 골칫거리다. 부산에서 개인택시를 운전하는 김두순씨는 “배달 오토바이나 일부 킥보드 등은 제한속도가 30㎞ 이하인 초등학교 앞 도로에서도 40~50㎞로 제멋대로 달리지만 단속은 제대로 이뤄지지 않는다”고 지적했다.고양에서 서울로 운행하는 버스운송업체인 명성운수의 상해업무 담당자는 “기사들을 대상으로 자전거나 킥보드 등이 보이면 멀찌감치 떨어져 운전하라고 교육한다”면서 “갑자기 끼어드는 자전거 등으로 인해 접촉사고는 나지 않더라도 버스를 급정거하다 승객들이 앞으로 쏠리면서 넘어져 부상하는 경우가 왕왕 있다. 차에 블랙박스가 있지만 번호판 인식이 안 돼 우리가 다 책임져야 한다”고 말했다.전국택시운송사업조합연합회 보상팀 박상규 과장도 “택시 손님이 내리려고 차에서 문을 열다 보도와 차도 사이로 빠져나가려는 오토바이가 들이받아 오토바이 운전자가 다치는 경우가 적지 않다”고 말했다.주차할 수 없는 점자보도블록위에 따릉이가 놓여 있다.자전거, PM 인도주행 조건부 허용 필요도로와 인도는 운전자와 보행자 등 모든 시민의 공유 공간이다. 그리고 이 공간은 이용자들이 정해진 이용규칙을 지킬 때 제 기능을 발휘한다.두바퀴족은 안전모 착용 등 안전한 교통이용 문화 정착에 동참해야 한다. 도로교통공단이 최근 5년(2017~2021년)간 자전거 교통사고를 분석한 결과 자전거 운전자가 안전모를 착용하지 않은 상태에서 일으킨 사고가 전체 자전거 교통사고의 50.9%를 차지했다. 서울시의 오세우 자전거정책과장은 “자전거 문화가 정착되려면 한 세대는 더 가야 할 것 같다”고 말했다.도로 인프라 확충과 함께 교통법규 정비도 필요하다. 특히 자전거나 PM의 허울뿐인 인도 주행 금지는 현실에 맞게 허용하는 방향으로 개선할 필요가 있다.시속 25㎞로 속도가 제한된 전동 킥보드를 차로 간주해 4륜차와 함께 도로를 주행하도록 하는 현행 법규는 PM 운전자에게 위험한 일이다. 자전거도로 외 도로 주행은 금지하고 제한속도를 10㎞로 대폭 낮춰 인도 주행도 허용하는 게 전체 교통사고를 줄이며 국민의 생명과 신체를 보호하는 방안이 될 수 있다.오토바이와 PM 대여업에 대한 관리감독 강화도 필요하다. 자유업종에서 등록제로 전환하고 이용자 보호를 위해 보험가입도 의무화해야 한다.신희철 한국교통연구원 글로벌교통협력센터장은 “시민들이 지키지 않는 허울뿐인 도로교통법이 교통안전 확보에 어떤 의미가 있는지 고민할 때”라면서 “PM이나 자전거는 속도제한을 전제로 인도 주행을 허용하는 게 바람직하다”고 말했다.서울의 한 경찰서 교통안전계장은 “밤 11시 전후 단속해 보면 전동 킥보드 음주운전이 두대중 한대고 90%는 헬멧 미착용”이라면서 “자전거 등은 인도주행 사고보다 도로주행 사고가 운전자에게 더 위험한 만큼 도로주행과 인도주행을 병행하는 쪽으로 개선이 필요하다”고 지적했다.이신해 서울연구원 선임연구위원도 “명동에 사람이 많으면 차량이 못 들어가듯 자전거도로에 자전거나 킥보드 등이 많이 다니면 일반 차량의 진입은 사라질 것”이라면서도 “속도가 다르면 분리운행하는 게 맞다”고 말했다.“라이더 보호법 제정하라” - 27일 서울 송파구 쿠팡 본사 앞에서 배달노동자 노조 라이더유니온 노조원들이 ‘안전배달료·대행자 등록제·AI 협상권 등을 포함한 라이더보호법 제정’을 촉구하며 라이더 대행진을 하고 있다.안주영 전문기자배달 오토바이 운전 자격도 보완해야배달용 이륜차 운전면허제도 개선도 필요하다.원동기 면허증과 보통 운전면허증 소지자라면 면허증 보유기간에 관계없이 누구라도 오토바이를 몰 수 있다. 이런 구조에서 건당 배달료를 받는 구조이다 보니 라이더들로서는 배달수입을 늘리려고 급차로변경 등 난폭운전을 하는 사례가 적지 않다.완전월급제가 아닌 택시 운전자들이 상대적으로 불친절하고 난폭운전을 많이 하는 것과 같은 이치이다. 박정훈 라이더유니온 위원장은 “오토바이를 타 보지 않은 사람이 합법적으로 오토바이 운전을 할 수 있고, 영업용 이륜차 운전에 대해서도 별도 교육이 없는 상태”라면서 “면허를 발급받고 운전교육을 이수한 사람 등에 한해 라이더 자격을 부여하는 등 제도 보완이 필요하다”고 지적했다.국토교통부 장구중 교통안전정책과장은 “자유업이던 배달업에 대해 올해부터 인증제를 시행 중”이라면서 “아직 인증받은 업체는 없으나 인증제 성과 분석을 거쳐 등록제로 전환하는 방안도 검토 중”이라고 밝혔다. 이와 함께 국토부는 배달 오토바이의 상습적인 법규 위반 단속을 위해 후면 번호판 크기를 자동차 번호판처럼 키우는 방안도 검토 중이다.		"
