,날짜,기사제목,기사내용
0,2017.08.21. 오전 8:05,"취업동스쿨, '부산교통공사 NCS 필기시험 인강' 오픈","			취업동스쿨이 2017년 하반기 부산교통공사 신입사원 채용에 대비하는 인터넷 강의를 오픈했다고 21일 밝혔다.이번에 개설된 취업동스쿨의 ‘2017 부산교통공사 NCS 직업기초능력평가 [운영직 외]‘는 류준상, 김지영 강사의 인강으로 문제풀이를 통해 실전처럼 연습이 가능하도록 제작했다. 강의와 교재는 9월 3일 예정인 부산교통공사 필기시험을 준비 할 수 있도록 직업기초능력평가, 일반상식, 면접 등의 내용으로 구성되어 있다.한편, 부산교통공사는 공개경쟁 78명, 경력경쟁 19명 등 총 97명의 신입사원을 채용할 예정이다. 학력과 연령 제한이 없는 공개경쟁에서는 ▲운영직 38명 ▲토목직 5명 ▲기계직 5명 ▲전기직 24명 ▲신호직 6명 등 총 78명을 채용하며 이 중 11명은 장애인을 선발할 계획이다. 경력경쟁시험은 철도안전법에 의한 ‘제2종 전기차량 운전면허 보유자’를 대상으로 ▲운영직 10명 ▲운전직 9명 등 19명을 채용한다. 공사는 이번 채용에서 블라인드 채용을 전면 도입하고 채용과정에서 지원자의 직무능력을 집중 검증할 예정이다. 특히 이번 채용부터는 응시자격, 가산점 사항 등을 제외하고 가족관계나 학력 등의 인적사항은 일체 요구하지 않을 계획이다.원서제출은 이달 23일까지 이며, 9월 3일 필기시험 이후 합격자를 대상으로 서류접수, 인성검사, 면접시험 등을 거쳐 10월 26일 최종 합격자를 발표할 계획이다. 부산교통공사 채용과 관련된 정보는 채용 홈페이지를 통해 확인이 가능하다.강인귀 기자 deux1004@mt.co.kr<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>		"
1,2017.08.29. 오전 9:00,"평창올림픽行 셔틀버스, 장애인 등 교통약자에 제공","			[머니투데이 세종=박경담 기자] [[2018년 예산안]]장애인, 노약자, 임산부 등 교통약자가 평창동계올림픽 및 패럴림픽 관람을 할 수 있도록 대회 기간 동안 평창·강릉행 셔틀버스가 운영된다. 정부가 29일 정부서울청사에서 국무회의를 열고 의결한 '2018년 예산안'에 따르면 평창올림픽 셔틀버스는 대회 기간인 내년 2월 8일부터 3월 19일까지 40일 동안 운영된다. 출발 거점은 서울, 부산, 대구, 인천, 광주, 대전 등 6곳이다. 정부는 티켓을 구매한 교통약자에게 셔틀버스 탑승 우선권을 부여할 예정이다. 다만 운영 상황에 따라 변동이 가능하다고 했다. 구체적인 내용은 운영계획 확정 후 평창조직위원회 홈페이지에 공지할 계획이다. TOM칼럼-깊이있는 투자정보▶무료 만화 즐기고~ 선물타자!▶ 빵빵한 차&레이싱걸▶ 세종=박경담 기자 damdam@mt.co.kr<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>		"
2,2017.08.11. 오전 9:41,"부산교통공사, 신입사원 97명 채용…블라인드 채용 전면 도입","부산교통공사 전경 2017.8.11/뉴스1 © News117~23일 원서접수(부산ㆍ경남=뉴스1) 박기범 기자 = 부산교통공사가 올해 신입사원 97명을 채용한다. 부산교통공사는 정부의 청년 일자리 창출 정책에 동참하기 위해 공개경쟁 78명, 경력경쟁 19명 등 총 97명의 신입사원을 채용한다고 11일 밝혔다. 학력과 연령 제한이 없는 공개경쟁에서는 Δ운영직 38명 Δ토목직 5명 Δ기계직 5명 Δ전기직 24명 Δ신호직 6명 등 총 78명을 채용하며 이중 11명은 장애인을 선발할 계획이다. 장애인은 지난해와 달리 토익·토플·텝스 등 공인영어능력시험 성적 없이도 지원이 가능하며 신체검사도 ‘공무원 채용 신체검사 규정’에 따라 진행돼 장애인의 응시 기회가 더욱 확대될 예정이다. 경력경쟁시험은 철도안전법에 의한 ‘제2종 전기차량 운전면허 보유자’를 대상으로 Δ운영직 10명 Δ운전직 9명 등 19명을 채용한다. 공사는 이번 채용에서 블라인드 채용을 전면 도입하고 채용과정에서 지원자의 직무능력을 집중 검증할 예정이다. 공사는 이전에도 서류전형 없이 필기합격자를 대상으로만 학력·자격 등의 간단한 인적사항을 받아왔으며 이번 채용부터는 응시자격, 가산점 사항 등을 제외하고 가족관계나 학력 등의 인적사항은 일체 요구하지 않을 계획이다. 원서제출은 오는 17일부터 23일까지 이며, 9월 3일 필기시험 이후 합격자를 대상으로 서류접수, 인성검사, 면접시험 등을 거쳐 10월 26일 최종 합격자를 발표할 계획이다. 자세한 내용은 공사 홈페이지 공지사항을 참조하면 된다. 박종흠 부산교통공사 사장은 ""직무능력 중심의 공정한 채용을 통해 부산도시철도의 안전운행과 고객서비스 향상에 기여할 우수한 인재를 선발할 계획""이라며 ""미래의 부산교통공사를 이끌어갈 열정 있고 창의적인 인재들의 적극적인 지원을 기대한다""고 전했다.pkb@▶ 놓치면 후회! 최신 만화 보기 / 2017년 나의 운세 보기▶ 생생한 Real-Time 영상뉴스, 눈TV(바로가기!)▶ 여러분의 제보를 기다립니다. 제보하기(클릭!)[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
3,2017.08.24. 오후 2:18,부산교통공사 신입사원 공채 최고 경쟁률 216대 1,"			(부산=연합뉴스) 오수희 기자 = 부산교통공사는 신입사원 채용 원서 접수를 마감한 결과 97명 채용에 모두 4천709명이 지원해 평균 48.5대 1의 경쟁률을 기록했다고 24일 밝혔다.    장애인을 제외한 공개경쟁시험 경쟁률은 64.2대 1의 경쟁률을 보였다. 67명 채용에 4천304명이 원서를 냈다.부산교통공사[부산교통공사 제공]    3명을 뽑는 기계직에는 649명이 지원해 216.3대 1의 최고 경쟁률을 보였다.    도시철도 운전면허 소지자를 선발하는 경력경쟁시험에는 19명 채용에 322명이 지원해 16.9대 1의 경쟁률을 기록했다.    부산교통공사는 9월 3일 필기시험을 시작으로 같은 달 19일 인성검사, 9월 26일∼10월 20일 두 차례 면접시험을 거쳐 10월 26일 최종합격자를 발표한다.  osh9981@yna.co.kr최신 유행 트렌드 총집결(클릭!)"
4,2017.08.13. 오전 7:20,"부산교통공사, 광복절 맞아 독립유공자에 도시철도 이용 예우 ","			【부산=뉴시스】제갈수만 기자 = 부산교통공사가 제 72주년 광복절을 맞아 독립유공자 및 동반가족, 유족에게 도시철도를 무료로 이용할 수 있다. 부산교통공사는 광복절을 맞아 독립유공자 및 동반가족, 유족에게 오는 14일부터 16일까지 도시철도를 무료로 이용할 수 있는 우대권을 제공한다고 13일 밝혔다. 독립유공자와 동반가족 및 유족들은 도시철도 역사 내 고객센터(역무실)를 방문해 우대권을 제공받을 수 있으며, 시내버스 및 철도(새마을 이하) 등의 대중교통 또한 무료로 이용할수 있다. 한편 공사는 '국가유공자 등 예우 및 지원에 관한 법률'등에 근거해 매년 광복절 및 3·1절 그리고 현충일에 독립(국가)유공자와 동반가족 및 유족에 도시철도 우대권을 제공하고 있으며, 상시적으로 경로우대자(만65세이상), 장애인(1-3급 경우 보호자 1인 포함), 국가유공자(1-7급), 독립유공자, 5·18민주유공자에 무임 우대권을 제공하고 있다. 부산교통공사 관계자는 ""광복절은 우리 민족이 일제 강점기를 벗어나 해방을 맞은 아주 뜻깊은 날""이라며 ""국가적 기념을 맞이해 독립유공자 및 가족분들에 예우를 할 수 있어 매우 뜻깊게 생각한다""고 전했다. jgsm@newsis.com뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
5,2017.08.13. 오후 11:02,"부산교통공사 신입사원, 블라인드 채용","97명 선발, 17일부터 접수 부산교통공사가 신입사원 97명을 '블라인드' 방식으로 뽑는다.부산교통공사는 공개 경쟁 78명, 경력 경쟁 19명 등 총 97명의 사원을 채용하기 위해 오는 17일부터 23일까지 원서를 접수한다고 13일 밝혔다.공개 경쟁에는 운영직 38명, 토목직 5명, 기계직 5명, 전기직 24명, 신호직 6명 등 총 78명이며 11명은 장애인을 선발할 계획이다. 장애인은 공인영어능력시험 성적이 없어도 지원할 수 있다. 공사는 이번 채용부터 가족관계나 학력 등 인적 사항을 일체 요구하지 않고 직무 능력을 집중적으로 검증하는 블라인드 방식을 도입한다고 설명했다. 다음 달 3일 필기시험 이후 합격자를 대상으로 인성검사와 면접 시험을 진행하며 10월 26일 최종 합격자를 발표한다. 박세익 기자 run@    		"
6,2017.08.10. 오후 9:20,[열린마당] 교차로 교통약자 위한 보행시간 연동제 필요,"			교통약자란 여러 가지 원인에 의해 교통제약을 가진 사람을 일컫는 말로 보행자, 자전거 이용자, 비장애인에 대한 장애인, 젊고 건강한 사람에 대한 고령자, 부녀자, 어린이 등이 이에 속한다고 볼 수 있다.전국의 교통약자 규모는 매년 늘어나는 추세라고 한다. 그러나 이동 장애가 있는 이들의 사회 참여를 위한 이동권은 확보돼 있지 않고, 경제적으로 자립할 수 있는 기본적 체계조차도 마련돼 있지 않다. 더구나 지체장애인, 시각장애인, 고령자 등 교통약자는 이동장애 요소가 많을 것으로 생각된다.따라서 교통약자의 이용이 많은 교차로의 경우 교통약자의 보행속도를 고려한 보행시간 연동 시스템이 필요하다고 생각된다. 특히, 시각장애인의 경우 이동편의증진법의 시행으로 장애인 유도시설은 종종 찾아볼 수 있으나 음성시설은 아직도 미미하다. 보도블록의 턱은 지체장애인을 위해 대부분 낮아진 상황이지만, 장애인의 입장에서는 여전히 불편한 점이 존재한다.선진국에서는 교통약자가 일반인과 다름없이 활동하도록 이용하기 편리한 교통시설을 마련하고 있을 뿐만 아니라 교통정책의 기본 방향이 교통약자를 위하도록 설정돼 있다. 우리도 교통약자의 이동편의를 증진할 수 있는 시설 계획 및 설치와 관련된 매뉴얼이 필요하다고 하겠다. 서은진·부산 사하구 괴정동ⓒ 세상을 보는 눈, 글로벌 미디어 세계일보"
7,2017.08.10. 오후 11:01,부산교통공사 신입사원 블라인드 채용으로 선발,"			      부산교통공사가 신입사원 97명을 '블라인드 채용' 방식으로 뽑는다.부산교통공사는 공개 경쟁 78명, 경력 경쟁 19명 등 총 97명의 사원을 채용하기 위해 오는 17일부터 23일까지 원서를 접수한다고 11일 밝혔다.공개 경쟁에는 운영직 38명, 토목직 5명, 기계직 5명, 전기직 24명, 신호직 6명 등 총 78명이며 11명은 장애인을 선발할 계획이다. 10월 26일 최종 합격자를 발표한다.박세익 기자 run@    		"
8,2017.08.30. 오후 4:51,부산시 내년도 투자국비 정부안 3조842억원 반영,"			 【부산=뉴시스】허상천 기자 = 부산시는 2018년도 투자국비 정부안 규모는 3조842억원 규모라고 30일 밝혔다. 이는 올해 정부안 3조1280억원에 비해 438억원 줄었지만 올 연말 대규모 새 정부 도시재생뉴딜 사업 공모가 추진될 예정인 점을 감안하면 내년도 부산시의 최종 국비확보 규모는 더 늘어날 전망이다.  올해는 새 정부 출범 이후 국비확보 관련 여건이 변화되면서 부산시 뿐만 아니라 다른 광역지차체가 내년도 국비확보에 어려움을 겪었다.  새 정부의 국정과제 추진 재원확보, 대통령 공약 실현을 위한 정부 중심의 복지·일자리 재원배분, SOC 사업 20% 축소, 고강도 사업구조조정 등 여러 요인이 한꺼번에 영향을 미치면서 지자체 국비확보에 상당한 걸림돌로 작용했기 때문이다. 이 같은 여건에도 부산시는 내년도 살림에 반드시 필요한 예산은 차질 없이 확보한 것으로 알려지고 있다. SOC 사업 전반에 관한 정부의 예산축소 방침에도 부산시가 추진 중인 혼잡도로, 도시철도 사업 등을 정부 예산에 반영시켜 사업을 차질없이 추진할 수 있게됐다. 아울러 신성장 동력산업 등 지역경제, 일자리 관련 사업 투자재원 신규 확보 역시 어려운 여건에서 거둔 의미 있는 성과로 보고 있다. 한편 이번 정부 제출안에는 지역경제, 일자리, 신성장 산업,  R&D 분야를 비롯한 시민안전, 문화관광, 환경 분야 등 역점적으로 추진하고 있는 사업을 고르게 확보한 것으로 나타났다.   ◇일자리·R&D·신성장산업 분야  신발과 조선, 기계산업 등 뿌리산업 고도화를 위한 신발지능형 공장 구축(10억원), 중소형 고속선박 설계 지원 센터 구축(4억원), 미래지능형 자동차 부품 기술개발 역량 확보를 위한 ‘자동차 첨단부품 융합기술 다변화’(3억원), 로봇을 활용한 중소기업의 생산성 향상 등을 위한 ‘인공지능로봇 활용 기업 경쟁력 고도화 사업’(3억원), 고령자 및 장애인 신체기능 회복을 위한 헬스케어 분야 ‘차세대 재활복지 의료기기 육성사업’(6억원) 등  4차산업과 연계한 신성장 동력산업을 신규로 다수 확보했다. ◇ SOC 분야  2018년에 완료되는 산성터널(접속도로 포함)건설(338억원)을 확보해 동·서부산권 지역을 연결하는 외부순환도로망 구축과 우회로를 건설해 만덕로 등 주요 간선도로의 심각한 교통난을 해소할 수 있을 것으로 기대된다. 또 김해신공항 기본설계비(64억원)를 확보해 공항건설을 본격 추진할 수 있게 됐다. ◇ 해양·항만 분야 부산항 신항 건설은 정부 SOC 감축에도 1500억원이 반영된 것을 비롯해 방파제 보강 축조 공사비(398억원)도 반영돼 해양·항만 분야의 기반 시설 조성을 이어갈 수 있게 됐다.  해양산업 관련 기업의 유휴항만시설 활용을 위한 ‘해양산업클러스터    육성 사업’(6억원)도 추진해 해양산업 육성의 기반을 마련할 계획이다. ◇시민안전 분야  재난 사전 예방 등 안전관련 사업 육성을 위헤 재난안전산업 지원센터 구축(10억원), 해상사고 대응능력 제고를 위한 선박해양안전센터 조성사업(3억원), 상습침수지 6곳 정비 사업(309억원), 국립생태안전 체험센터 건립(102억원), 재난안전 R&D 실증사업 유치(27억원) 등이 반영돼 시민안전을 위한 사업도 차질 없이 추진할 수 있을 것으로 기대된다. ◇ 문화·관광 분야  한·중·일 문화교류사업 발전 및 활성화를 위한 2018년 동아시아 문화도시 추진사업비(3억원)를 신규 확보하고 내달에 문을 열 아세안문화원 운영비(19억원) 확보, 한류를 활용한 세계적인 문화축제인 One-Asia 페스티벌 사업비(7억원) 등을 확보해 도시 브랜드를 높일 수 있게됐다. ◇ 환경 분야  현 정부의 대선 공약이자 부산시 공약 사항이기도 한 낙동강 하굿둑 개방의 청신호가 될  낙동강 하굿둑 개발 연구용역비 (1억5000만원)을 반영함으로써 사람과 생태계가 공존하는 낙동강 생태계 복원에 큰 밑거름이 될 것으로 기대된다. 또 노후한 분뇨처리시설현대화 사업비(5억원)을 반영해 본격 추진할 전망이다. 이 밖에도 하천정비사업 8건(211억3000만원), 하수관로 신설확충 사업비(347억원) 등을 확보해 재해예방과 주민복지향상에 기여하고 전자동차 보급 사업(145억원), 운행경유차 저공해화 사업(64억5000만원) 등 도심의 대기오염주범인 자동차 배출가스 저감 정책도 지속 추진하게 됐다. ◇ 농림·수산․식품 분야  세계수산대학 유치 지원 사업비(10억원)도 확보해 FAO 세계수산대학 설립을 위한 시범프로그램 운영 지원과 2019년 FAO 총회 최종결정을 위한 대비에 박차를 가할 수 있게 됐다. 수산물 위생관리 수준 개선과 유통구조개선을 위한 부산공동어시장 현대화 사업(127억원)을 추진해 부산 수산업 유통산업의 현대화 및 경쟁력을 강화할 수 있게 됐다. ◇ 교육 분야  지식과 문화의 지역 간 정보격차 해소를 위한 국회도서관 자료보존관 건립비(63억원)와 학교 다목적 강당 건립 사업(189억원) 등 학생들의 다양한 교육활동과 지역사회의 문화·체육공간을 조성해 나갈 계획이다. 부산시는 금년도 핵심 사업 중 예타 등 사전절차가 완료되지 않아 정부안에 반영되지 못한 부산진해자유구역(BJFEZ) 북측 진입도로와 북항재개발 충장로 지하차도 건설 등을 비롯해 도시철도 노후시설 개선 사업 등 주요 미반영 사업에 대해서는 국회 예산 심의 과정에서 추가 반영 될 수 있도록 적극 추진할 계획이라고 밝혔다. 부산시 관계자는 “내년도 정부 예산안이 복지사업 중심으로 편성돼 이번 정부 제출안에 대한 국회 심사과정에서 국비지원액을 추가로 확보하는 것이 쉽지는 않을 것으로 예상된다”고 밝히고 “오는 11월1일 국회 예산심의 이전까지 정부안 미반영 사업에 대한 대응논리를 개발해 지역 출신 국회의원들과 긴밀하게 공조해 정부 설득을 추진해 나갈 계획”이라고 말했다. 국회에서 본격 심의가 시작되면 서병수 시장을 비롯한 전 간부들이 지역 국회의원의 예산심의활동을 전방위적으로 지원하고 부시장과 기획관리실장 중심으로 ‘국비확보 추진 전담반’을 편성해 국회에 상주하며 국회의원실과 밀착 대응해 나간다는 전략도 짜고 있다.  heraid@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
9,2017.08.31. 오후 5:42,[인사] 교육부 / 국세청 / 식품의약품안전처 등,"			■교육부 △공로연수 파견 일반직 고위공무원 김선호 △교육부 부이사관 최성유 △정년퇴직 교장 박주열 △한국선진학교 〃 우이구 △국립특수교육원장 장학관 김은숙 △교육과정운영과장 〃 권영민 △방과후학교지원과장 〃 박희동 △특수교육정책과장 〃 이한우 △교육부 서기관 김영진 송근현 △군산대학교 〃 이강복 △외교부 〃 강종부 박상신 △명예퇴직 기술서기관 박용석 △동북아교육대책팀장 장학관 박종은 △세종특별자치시교육청 〃 소은주 △서울특별시교육청 〃 박중재 이화 △중앙교육연수원 〃 김연석 △대학정책실 행정사무관 권지은 △교육부 〃 김수진 △교육부(고용노동부 공공부문 정규직화 추진단 파견) 행정사무관 김운후 △명예퇴직 공업사무관 오재석 △〃 전산사무관 조성환 △대변인실 교육연구관 김영재 △감사관실 〃 송낙현 △운영지원과 〃 강전훈 △학교정책실 〃 고현석 김한승 곽윤철 △지방교육지원국 〃 정은영 △평생직업교육국 〃 김일환 △교육부(충남대학교 파견) 교육연구관 이진우 김수구 △국립특수교육원 〃 이대해 강병호 △한국교원대학교 〃 양미숙 △한국복지대학교 〃 이미선 △충청북도교육청 〃 오경자 △정년퇴직 교감 정경순 △한국우진학교 〃 조양숙 △한국경진학교 〃 강성종 △명예퇴직 교감 남순옥 △학교정책실 교육연구사 김명진 심순희 △지방교육지원국 〃 강혜영 △인사혁신처 행정주사 최재문 △기획조정실 행정주사보 권용혁 △학교정책실 〃 정유미 △대학정책실 행정서기보 심규문 ■국세청 ◇고위공무원 승진 △중부지방국세청 조사2국장 문희철 △〃 조사4국장 김동일 △부산지방국세청 징세송무국장 권순박 △〃 조사1국장 최상로 ◇부이사관 전보 △서울지방국세청 징세관 최재봉 △〃 납세자보호담당관 이청룡 △중부지방국세청 납세자보호1담당관 이동운 △광주지방국세청 조사1국장 신희철 ◇과장급 전보 △서울지방국세청 감사관 현석 △〃 조사3국 조사관리과장 이판식■식품의약품안전처 ◇과장급 전보 △처장실 장민수△위해사범중앙조사단장 우영택 △운영지원과장 홍헌우 △소비자위해예방국 소비자위해예방정책과장 옥기석 △식품안전정책국 건강기능식품정책과장 강대진 △의약품안전국 의약품관리과장 김유미 △의약품안전국 의약품허가특허관리과장 이호동 △불량식품근절추진단 총괄기획팀장 김일■특허청 ◇과장급 전보 △규제개혁법무담당관 정인식 △특허심판원 심판관 조지훈■정보통신정책연구원(KISDI) ◇승진 △ICT(정보통신기술)전략연구실 디지털사회정책그룹장 이원태■서울성모병원 △홍보실장 정낙균 △수련교육부장 인용 △PI실장 박시내 △감염관리실장 이동건 △IRB사무국장 최범순 △외래부장 배시현 △입원부장 이인규 △진료부장 허수영 △연구부장 이지열 △심·뇌·혈관센터장 윤상섭 △안센터장 양석우 △BMT센터장 김동욱 △세포치료센터장 박경호 △진료협력센터장 최환석 △인체유래물은행장 박경신 △내과 임상과장 박성환 △소화기내과 임상분과장 이인석 △내분비내과 임상분과장 조재형 △혈액내과 임상분과장 김희제 △감염내과 임상분과장 이동건 △신장내과 임상분과장 박철휘 △류마티스내과 임상분과장 김완욱 △정신건강의학과 임상과장 김대진 △정형외과 임상과장 안재훈 △신경외과 임상과장 손병철 △흉부외과 임상과장 송현 △산부인과 임상과장 김미란 △안과 임상과장 △양석우 △이비인후과 임상과장 김수환 △영상의학과 임상과장 안국진 △재활의학과 임상과장 이종인 ■단국대 △취창업지원처 처장 정연승 △죽전·천안캠퍼스 인권센터 센터장 이종구 △조직재생공학연구원 원장 김해원■서울대 △공과대학장 및 공학전문대학원장 차국헌 △공과대학 교무부학장 최성현 △공과대학 학생부학장 신상준 △환경대학원 부원장 김경민 △박물관장 남동신 △사범대학 부설고등학교장 이은숙 ■중앙대 △교학부총장 류중석 △행정부총장 조성일 △대학원장 이희수 △글로벌인적자원개발대학원장 송해덕 △인권센터장 김경희■머니투데이 ◆스타뉴스 ◇연예국 △연예국장 김수진 △영화 대중문화 유닛장 전형화 △가요 방송 뉴미디어 유닛장 문완식 △스포츠 유닛장 길혜성 △산업 비즈부장 채준■조선비즈 ◇차장승진 △위비경영연구소 설성인 △경제정책부 이재원·정원석 △부동산부 온혜선■조선일보 ◇보직 △이사대우 재경국장 박수명 △재무전략팀장 윤세영■충북도 ◇5급 승진 △공보관실 김병태 △총무과 김원묵 △전략산업과 박경애 △경제자유구역청 박은숙 △회계과 손태진 △의회사무처 오세화 △문화예술산업과 오현경 △원예유통식품과 윤기홍 △노인장애인과 이철순 △예산담당관실 정동영 △균형발전과 정영수 △투자유치과 최원문 △세정과 김윤미 △정보통신과 김태용 △교통물류과 강중식 △경제정책과 정용각 △산림녹지과 배면수 △축산과 박희영 △보건정책과 임헌표 △환경정책과 정택주 △농업정책과 길종호 △도로과 김영수 △균형발전과 장병로 ◇농업연구관 승진 △농업기술원 김민자 △〃 안기수 △〃 이윤상■전남도 △의회사무처 정책담당관 최우식 △기획조정실 법무통계담당관 최병만[매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]		"
