,날짜,기사제목,기사내용
0,2019.05.17. 오후 1:04,"부산교통공사, 시각장애인 도시철도 화재상황 대피훈련",【부산=뉴시스】 제갈수만 기자 =부산교통공사(사장 이종국)가 지난 16일 오후 도시철도 3호선 숙등역에서 시각장애인 등 50명이 참여한 가운데 ‘시각장애인과 함께하는 긴급상황 대피훈련’을 실시했다. 2019.05.17 (사진=부산교통공사 제공)phote@newsis.com<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>		
1,2019.05.24. 오후 3:33,"부산재활요양병원 센텀이루다, '장애인의 날' 맞아 특별한 나들이","부산재활요양병원인 ‘센텀이루다재활요양병원’의 환자와 보호자, 병원관계자들이 나들이하고 있는 모습. 제공 | 센텀이루다재활요양병원[스포츠서울 김진욱 기자] 부산 해운대 부산재활요양병원 ‘센텀이루다재활요양병원’은 지난 20일 제 39회 장애인의 날을 맞아 ‘따뜻한 동행으로 꽃피는 행복’이라는 슬로건 아래 환자, 보호자들과 함께 뜻깊은 나들이를 떠났다.센텀이루다 재활요양병원에서 진행중인 ‘치매환자 토탈 케어 솔루션’의 일환으로 진행된 이번 행사는 이호성 원장을 비롯해 사회복지사 및 전직원들이 아이디어를 모으고 긴 기간동안 준비로 이뤄졌다. 병원 관계자는 “환자, 보호자들에게 위로와 기쁨이 될 수 있어서 기뻤다. 또 병원직원들은 간접적인 장애체험을 통해 장애인들을 더 이해하고 배려하는 시간이 되었다”고 소감을 밝혔다.센텀이루다재활요양병원은 병원에서 도보로 이동할 수 있는 거리내에 해운대의 유명한 관광코스가 위치해 있어 올림픽공원, 영화의 전당, 요트경기장, 마린시티, 벡스코, 시립미술관 등을 나들이 장소로 활용했다. 나들이가 본격적으로 시작된 후, 정해진 코스를 휠체어를 탄 환자, 보호자들은 함께 이동하면서 마트 이용하기, 정해진 금액만큼 쇼핑하기, 전시회 관람, 대중교통 이용하기 등의 다양한 게임과 미션을 수행했다. 평소 비장애인들이 걸을 때는 전혀 불편함이 없던 길은 불규칙한 지면, 긴 횡단보도, 오르막길과 내리막길 등 부산재활요양병원 센텀이루다 직원들은 병원 밖의 환경이 환자들에게는 너무나 불편하고 위험한 요소들이 많다는 것을 체험했다. 병원 관계자는 “이번 행사를 통해 우리에게는 어려움이 될 수 없는 것이 환자에게는 어려움이 될 수 있고, 우리에게 일상인 것들이 환자에게 특별함이 될 수 있다는 것을 체감할 수 있었다”고 말했다. 이호성 원장은 “병원 직원들과 환자분들 모두 서로에게 따뜻한 동행을 선물로 준 뜻깊은 행사였다”며 “앞으로도 장애인들과 함께 진정한 동행을 이뤄가는 부산재활요양병원이 되겠다”고 소감을 밝혔다.김진욱 기자 action@sportsseoul.com▶스포츠서울 공식 페이스북▶팟캐스트 '스포츠서울 야구 X파일'▶스포츠서울 공식 유튜브 채널[기사제보 news@sportsseoul.com]  Copyright ⓒ 스포츠서울&sportsseoul.com"
2,2019.05.14. 오전 9:42,"부산시, 장애인 특별교통수단 휠체어·비휠체어 구분 운영","부산시청 전경 © News1 여주연 기자(부산=뉴스1) 박기범 기자 = 부산시는 장애인등급제 개편에 따라 교통약자 특별교통수단(두리발) 증차 추진과 함께 휠체어·비휠체어 이용대상자를 구분해 운영한다고 14일 밝혔다.오는 7월 시행되는 장애인등급제 개편(현재 6단계⇒2단계로 단축)으로 특별교통수단 이용대상자가 현재 5800여명에서 1만1000여명으로 증가하기 때문이다.시는 교통약자 특별교통수단인 두리발 차량은 올해 21억원을 투입해 30대를 증차하고, 노후차량 20대를 교체하는 등 2022년까지 총 63억원을 투입해 103대 증차 및 48대 교체를 계획하고 있다.시는 휠체어를 이용하지 않는 시각, 신장, 지적장애인 등을 위해 현재 1000여대가 운영 중에 있는 장애인콜택시(자비콜)와도 올해 3년 연장 계약을 체결하는 등 비휠체어 장애인들의 이동권 보장 강화에도 노력하고 있다.시 관계자는 ""올해 4월1일부터 두리발의 위탁운영기관을 기존 개인택시조합에서 시설물 관리운영 전문기관인 부산시설공단으로 변경해 공공성·안전성·책임성을 한층 강화하고 체계적 관리로 교통약자의 이동편의 증진을 위해 최선의 노력을 하고 있다""고 말했다.pkb@news1.kr▶ [ 해피펫 ]  [ KFF포럼 2019 ] ▶ 네이버 메인에서 [뉴스1] 구독하기![© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
3,2019.05.06. 오후 2:40,장애인 콜택시 전국 1400여 대 늘어,휠체어 탑승이 가능한 장애인 콜택시.장애인 콜택시(특별교통수단)를 이용할 수 있는 대상이 확대되고 장애인 콜택시도 1400여대 가량 늘어난다. 현재 부산은 장애인 콜택시 등 특별교통수단이 법정대수는 184대지만 운행대수는 128대여서 도입비율이 전국에서 가장 낮다. 이번 조치로 부산의 장애인 콜택시 운행대수가 많이 늘어날지 주목된다.국토부 ‘교통약자 증진법’ 개정안 전국 최저 도입 부산 증가폭 관심국토교통부는 오는 7월 장애등급제 개편에 맞춰 ‘교통약자의 이동편의 증진법 시행규칙’ 개정안을 마련해 입법예고한다고 6일 밝혔다. 새 장애등급제는 현재 1∼6급으로 나누는 등급을 △장애 정도가 심한 장애인과 △장애 정도가 심하지 않은 장애인으로 나누게 된다.이에 따라 장애인 콜택시 등 특별교통수단 이용 대상자도 ‘1급 또는 2급 장애인’에서 ‘장애의 정도가 심한 장애인 중 보행상 장애가 있는 경우‘로 정하게 됐다. 보행상 장애 여부 판단은 보건복지부 기준에 따르고 기존에 1·2급 장애인은 종전대로 이용대상자에 포함된다. 국토부 측은 “이번 시행규칙 개정으로 휠체어 탑승설비를 갖춘 특별교통수단 이용대상자가 기존보다 약 1.3배 늘어날 것”이라고 전망했다.또 특별교통수단의 법정 운행 대수를 200명 당 1대에서 150명당 1대로 개정해 전국의 법정 운행대수는 현재보다 1400여대가 추가돼 4600여대로 늘어난다. 국토부 관계자는 “개정안이 시행되면 장애인 콜택시 이용자도 늘지만 콜택시도 대폭 증가하게 돼 이용자들의 불편이 다소 해소될 것으로 기대한다”라고 말했다. 김덕준 기자 casiopea@busan.com
4,2019.05.27. 오후 2:01,요양시설 대신 지역이 돌보자…부산형 통합돌봄 시범사업,"			노인·장애인·정신질환자 등 취약계층 살던 곳 통합 지원지역사회 통합돌봄[보건복지부 제공]    (부산=연합뉴스) 조정호 기자 = 노인, 장애인, 정신질환자 등 돌봄이 필요한 취약계층을 요양시설이나 병원이 아닌 우리가 사는 지역에서 잘 돌보자는 취지의 통합돌봄이 부산에서도 시작된다.    부산복지개발원은 부산시와 협약을 체결하고 지역사회 통합돌봄 생태계 조성을 위한 부산형 커뮤니티 케어 조성 사업을 본격적으로 추진한다고 27일 밝혔다.     현재 보건복지부, 행정안전부, 국토교통부 등 범정부 차원에서 추진하는 지역사회 통합돌봄 부산형 버전이다.    커뮤니티 케어(Community Care)로도 불리는 지역사회 통합돌봄은 돌봄이 필요한 국민이 요양시설·병원이 아닌 사는 집이나 지역에서 필요한 복지서비스를 받으며 살아갈 수 있도록 주거, 보건의료, 요양 등 서비스를 통합적으로 지원하는 정책을 말한다.    최일선 행정기구인 읍면동을 중심으로 케어 안내 창구를 설치한다. 여기에 복지, 보건·의료, 주거, 독립생활 지원 등 다양한 자원과 기관을 연계해 통합적인 복지서비스를 제공한다.    지난 3월 행정부시장 직속으로 부산형 커뮤니티 케어 추진단을 구성한 시는 자치구 2곳을 부산형 커뮤니티 케어 시범사업 지역으로 선정했다.    시는 부산사회복지공동모금회와 협의해 복지부 선도사업 지역으로 선정된 부산진구, 북구를 비롯해 부산형 시범사업 지역(공모 예정)을 대상으로 지원주택 기획사업과 민관협력사업 등에 모두 7억원을 지원할 예정이다.     부산복지개발원은 ""지난해 부산시 고령화율이 16.5%로 전국 특·광역시 중 최고 수준이고 2022년이면 20%가 넘는 초고령사회로 진입한다""며 ""살던 곳에서 다양한 서비스를 통합적으로 받을 수 있는 케어 시스템을 마련하고, 복지 시설과 병원 중심인 비효율적 돌봄체계를 개선하는 것이 시급하다""고 밝혔다. ccho@yna.co.kr▶네이버 홈에서 [연합뉴스] 채널 구독하기▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상"
5,2019.05.16. 오전 8:56,"부산시, 교통약자 보행불편사항 제도개선 나서","보행권 확보 위한 안전감찰 결과 발표27건 시정 조치, 악습근절·권고·제도개선 사항 6건 발굴부산시가 교통약자의 보행권을 확보하려고 안전감찰을 벌였다. 학교 주변 어린이보호구역에 보행로가 없는 도로 통행 모습./사진제공=부산시[서울경제] 부산시는 교통약자의 보행권을 확보하려고 시민단체와 함께 안전감찰을 벌인 결과, 보행불편사항 27건을 시정 조치하고 악습근절·권고·제도개선 사항 6건을 발굴했다고 16일 밝혔다. 이번 감찰은 대형 사업장이나 시설보다는 주거가 밀집한 생활도로변을 대상으로 어린이·노인·장애인·임산부 등에 불편을 주는 시설물, 교통약자 보호구역 관리·운영, 불법주정차, 점자블록 등과 같이 일상생활 속에서 교통약자의 피부에 와 닿는 보행 불편사항을 점검했다.감찰 결과 교통약자 보호구역 내 통합관리 소홀 등 총 27건의 시정조치와 장애인들의 보행권 확보를 위한 장애인 점자블록 설치기준 단일화 등 3건의 권고사항, 어린이 보호구역에 대한 운전자의 경각심을 높이기 위한 보호구역 시점 인지방안 등의 제도 개선사항을 발굴했다. 또 도로상에 설치된 각종 교통시설물이 오히려 보행에 장애와 혼선을 주는 경우도 있는 것을 확인하고 시설물 설치 전 생활도로의 기능과 성격을 규명, 어떤  방향으로 설치할 것인가를 도시환경과 도시정책 분야와 연계해 검토할 필요성이 있음을 확인했다.특히 이번 감찰에 참여한 시민단체와 전문가는 보도의 유효 폭 확보와 보도 특성에 맞는 수종의 가로수 식재, 지속적인 보행환경 조성과 관리를 전담하는 부서의 신설 등 의견을 제시했다. 생활도로는 시민들의 체감만족도가 고려돼야 하므로 보행정책에 대한 미래가치를 시민과 공유하는 과정이 필요하다고 강조했다.부산시는 이번 감찰결과를 토대로 보행안전이 우려되는 사항은 조속히 시정하고 스쿨존 내 주거지 전용주차장 미설치와 같이 ‘제도상 사각지대’는 법 취지에 맞는 기준을 마련하도록 했다. 이웃 간 불법 주정차 방지를 위한 도로변의 무분별한 시선유도봉 설치와 같은 ‘관리의 사각지대’는 관리·감독을 강화하도록 관련 부서와 지자체에 통보했다. 류제성 부산시 감사관은 “생활도로의 보행권 확보는 지역 문화수준의 잣대며 교통약자의 생존권 문제”라며 “단발성이 아닌 장기적이고 다양한 관점으로 꾸준한 안전감찰을 시행해 보행권 확보 정책이 뿌리내릴 수 있도록 노력하겠다”고 말했다./부산=조원진기자 bscity@sedaily.com[서울경제 바로가기]▶ 텔레그램으로 서울경제 구독하기  | ▶ 네이버TV로 서울경제썸 구독하기▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지		"
6,2019.05.09. 오후 9:36,"인천항 크루즈터미널, 교통약자 편의시설 개선 나선다","			장애인 등 교통약자들의 원활한 터미널 이용 위한 보완공사 실시지난 4월 26일 개장한 국내 최대 크루즈 터미널인 ‘인천항 크루즈 터미널’ 승객들. 부산일DB 인천항만공사(IPA, 사장 남봉현)는 인천항 크루즈터미널에 추가적으로 교통약자를 위해 각종 시설을 상반기 내에 보완할 예정이라고 9일 밝혔다.현재 인천항 크루즈터미널에는 교통약자(장애인,노약자 등)들의 시설 이용에 지장이 없도록 장애인 화장실을 비롯하여 점자표지판, 음성안내기, 점자블록, 장애인 배려석 등 각종 편의시설들이 마련되어 있다.이에 더 나아가 IPA는 법적 의무 설치대상 시설에 그치지 않고 이와 별개로 교통약자들의 실제 사용 편의 증진을 위해 점자블럭 보강, 안내시설 추가설치 등 각종 시설 보완에 나설 계획이다.이번 시설보완공사가 완료되어 교통약자들에게 보다 친화적인 이용환경이 조성되면 터미널 이용객의 증가와 더불어 시설이용자들의 만족도가 증가될 것으로 기대된다.인천항만공사 관계자는 “인천항 크루즈터미널은 설계단계부터 교통약자들의 편의를 위해 많은 노력을 기울였으나 보다 더 나은 시설 이용 환경 제공을 위해 올 상반기 내에 시설보완공사를 완료하여 장애인 등 교통약자를 비롯한 모든 이용객들이 크루즈터미널 이용에 불편함을 겪지 않도록 만전을 기하겠다”고 말했다. 송현수 기자 songh@busan.com"
7,2019.05.07. 오전 9:11,"부산시, 중증장애인 생산품 구매 확대","장애인 기능경기대회[연합뉴스 자료사진](부산=연합뉴스) 박창수 기자 = 부산시는 7일 중증장애인 생산품 우선구매를 확대할 계획이라고 밝혔다.    중증장애인 직업 재활 및 일자리 창출을 위해 마련된 중증장애인 생산품 우선구매 특별법 시행령에 따르면 공공기관은 총 구매금액(공사 제외) 100분의 1 이상을 해당 제품으로 우선 구매해야 한다.    시는 지난해 총 구매액 1천346억원 가운데 1.01%인 13억6천만원어치를 중증장애인 생산품으로 구매했다.    기초단체 중에는 동래구가 총 구매액의 3.88%인 3억2천만원어치를 구매했고, 지방 공기업 중에서는 부산교통공사가 총 구매액의 9.19%인 119억원을 구매했다.    시는 산하 공기업과 함께 올해 중증장애인 생산품 구매율을 높이기로 하고 지난달부터 관련 제품 홍보 활동을 강화하고 있다.    오는 6월에는 공공기관 구매·계약 및 중증장애인 생산품 우선구매 담당자를 대상으로 교육을 진행하고, 시청에 관련 제품 홍보 부스도 운영할 계획이다.  pcs@yna.co.kr▶네이버 홈에서 [연합뉴스] 채널 구독하기▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상"
8,2019.05.07. 오후 4:18,"[지방정가 브리핑] 민주당 부산시당 ""황교안 대표 국회로 돌아가라""","			김창관 대전서구의회 의장, 장애인 단체 감사패 받아 황교안, 자갈치시장 상인과 함께(부산=연합뉴스) 조정호 기자 = 자유한국당 황교안 대표가 7일 오전 부산 중구 자갈치시장에서 '국민 속으로 민생투쟁 대장정' 기자회견을 하고 나서 밝은 표정으로 시장 상인들과 인사하고 있다. 2019.5.7 ccho@yna.co.kr▲ 더불어민주당 부산시당은 7일 자유한국당 황교안 대표 부산 방문과 관련해 논평을 내고 ""망한 정권의 총리 황 대표는 이제 자신의 대권 놀음에 민생 경제까지 망치려 한다""며 ""정부의 발목을 잡는 일로 당내 입지를 다지려는 저급한 정치를 중단하고 즉시 국회로 돌아가라""고 비판.    민주당 부산시당은 ""민생은 안중에도 없는 자유한국당의 거리 데모가 도를 넘어도 한참 넘었다""며 ""언제까지 철 지난 색깔론, 거짓말, 막말로 얼룩진 거리의 파티를 즐길 것인가. 참으로 한심한 제1야당""이라고 비난.    ▲ 화천군의회가 7일 제248회 임시회를 열고 춘천∼속초 동서고속화철도추진 특별위원회를 구성을 추진.     위원장 등 특위 구성은 16일에 있을 예정.     앞서 지난달 29일 춘천과 속초를 잇는 동서고속화철도는 환경부의 전략환경영향평가 협의가 완료돼 사업추진에 속도가 붙은 상태.     화천군의회는 철도가 지나는 노선이 있는 만큼 2026년까지 조속한 사업추진을 위해 특별위원회를 구성.    강원도는 동서고속화철도가 미시령터널 하부를 통과하는 노선으로 협의가 끝남에 따라 관련 부처 등과 긴밀히 협조해 조기 착수에 나설 방침.    강원도는 이달 중 국토교통부 기본계획 고시가 완료되면 올 하반기 기본설계 용역에 착수할 계획.    미시령터널 하부 통과안 기준 사업비는 2조1천438억원 규모로 노선 길이는 93.737km. 감사패 받는 김창관 대전서구의회 의장(대전=연합뉴스) 김창관 대전서구의회 의장(왼쪽)이 7일 오전 ㈔대전시지체장애인협회 서구지회 회의실에서 권준석 서구지회장으로부터 감사패를 받고 있다. 김 의장은 장애인 복지 증진과 자원봉사활동 활성화에 기여한 공로로 감사패를 받았다. 2019.5.7 [대전서구의회 제공]    ▲ 김창관 대전 서구의회 의장은 7일 오전 ㈔대전지체장인협회 서구지회로부터 장애인 복지 증진과 자원봉사 활동 활성화에 기여한 공로로 감사패를 수상. 3선인 김 의장은 장애인 단체에 대한 의회 차원의 지원을 했다고 구 의회는 설명.    ▲ 경북 포항시의회가 7일 제261회 임시회를 열어 열흘간 일정에 돌입. 2019년도 제1회 추가경정 예산안을 비롯해 포항시 지속가능발전 기본 조례안, 지진피해 주택에 대한 포항시 시세 감면 동의안, 포항시 읍·면 지역 빈집 정비 및 관리에 관한 조례안 등 10여건의 조례안을 심의할 예정. 10일부터 나흘간 예산결산특별위원회가 추경예산안을 심사하고 15일 상임위원회별로 조례안을 심사한 뒤 16일 제2차 본회의에서 의결할 계획.포항시 의회[연합뉴스 자료사진]▲ 경북도의회 예산결산특별위원회가 오는 9일 제308회 임시회 제2차 본회의에서 올해 제1회 추경예산안을 확정할 계획.    도의회는 지난 3일 경북도지사와 도교육감이 제출한 올해 첫 추가경정 세입·세출예산안 및 기금운용계획안을 심사한 뒤 계수조정소위원회를 거쳐 최종 의결.    의회는 경북도 소관 8천185억원, 도교육청 소관 3천72억원 등 총 1조1257억원을 심의해 125억원을 삭감.경북도의회[연합뉴스 자료사진](전국종합 = 연합뉴스)▶네이버 홈에서 [연합뉴스] 채널 구독하기▶뭐 하고 놀까? #흥  ▶쇼미더뉴스! 오늘 많이 본 뉴스영상"
9,2019.05.05. 오후 7:02,[독자광장] 장애인 비하 표현 삼가자,			얼마 전에 장애인의 날(4월 20일)이 지났다. 장애인을 예우해 주는 측면에서 장애인들을 ‘장애우’로 부르기도 하고 장애인 아닌 사람을 ‘비장애인’으로 부르기도 한다.비장애인인 우리도 언제 어디서 교통사고 따위로 심신이 다치거나 갖가지 질환으로 장애인이 될 수도 있다. 그런데 우리는 무심결에 장애인을 비하하는 말들을 수시로 한다. 언론에서도 자주 기사 이름에 넣기도 한다. ‘꿀 먹은 벙어리’니 ‘눈먼 돈’이니 ‘외눈박이 방송’이니 ‘외팔이’니 ‘절름발이 정책’이니 ‘장님 코끼리 만지듯’이니 하는 말들이 그런 예다.우리 모두는 예비 장애인이라는 생각을 갖고 장애인에 대한 인식을 바꿔야 한다.이옥출·부산 사하구 하신중앙로
