,날짜,기사제목,기사내용
0,2015.05.19. 오후 10:37,['미사용 충전금 환원' 토론회] 교통카드 독점권 주고도 권리 행사 못 하는 부산시,"'교통카드 미사용 충전금 사회 환원과 공익적 사용을 위한 원탁 토론회'가 19일 부산시의회 중회의실에서 열렸다. 강원태 기자 wkang@     부산은 교통카드 사업자에게 '호갱'인가?19일 부산시의회 중회의실에서 열린 '교통카드 미사용 충전금 사회 환원과 공익적 사용을 위한 원탁 토론회'에 참여한 토론자들과 관람객들은 이런 생각을 지울 수 없었다.서울선 지분 35% 기부채납 수익 2%는 기금으로 내놔 광주는 충전금 엄격 관리 부산은 지분·충전금 나몰라라공공교통네트워크 나상윤 정책위원장이 소개한 서울과 광주의 사례가 부산과 상당한 차이를 보였기 때문이다.서울시는 한국스마트카드㈜의 지분 36.16%를 가진 최대 주주다. 2003년 민간 사업자인 LG CNS 컨소시엄이 교통카드 사업을 위한 특수목적법인(SPC)을 만들면서 서울시에 지분 35%를 기부채납한 것이다. 여기다 수익이 발생할 경우 수익의 2%를 대중교통발전기금으로 서울시에 내놓기로 약속하기도 했다.여기서 한 걸음 더 나아가 2013년 서울시는 한국스마트카드와 사업시행협약을 새로 맺으면서 미사용 충전금의 사용권을 서울시나 시가 지정하는 제3자에게 귀속되도록 규정을 바꿨다. 서울시는 미사용 충전금으로 한국스마트카드 산하에 스마트복지재단을 만들어 지난해부터 대중교통 활성화를 위한 사업에 쓰고 있다.광주광역시도 2010년 교통카드 사업자와 SPC를 설립하면서 지분 30%를 기부채납 받았다. 광주시와 함께 법인을 만든 기업은 부산에서도 교통카드 시장을 독점하고 있는 롯데 계열사였다. 광주시는 미사용 충전금을 아예 시 산하 기금으로 만들어 엄격하게 공공적 용도로 관리·사용하고 있다. 준공영제로 인한 손실을 일부 보전하고, 대중교통 활성화와 장애인·노인 등 교통 약자를 위한 사업 용도로 쓰고 있는 것이다.이에 비해 부산은 교통카드 사업권을 민간인 ㈜마이비가 틀어 쥐고 있다. 부산시는 2007년 부산교통공사를 통해 간접 지배하고 있던 부산하나로카드를 마이비에 넘기며 독점권을 보장해 주면서도 서울이나 광주처럼 별도 법인 설립과 지분 기부채납 요구를 하지 않았다. 2005년 맺은 사업시행협약에도 미사용 충전금에 대한 아무런 규정이 없고, 오는 7월 협약 개정에 대한 태도도 미온적이다.토론회에 참석한 장재구 부산시 버스운영정보팀장은 ""전자금융거래법에는 미사용 충전금에 대한 시효가 없고, 금융위원회 유권해석에 따르면 5년이 지난 채권은 기존 관리자인 교통카드사에 귀속된다고 볼 수 있어 조심스럽다""며 ""7월 협약 개정 때 '미사용 충전금의 사회적 환원에 사업자는 최대한 협력한다'는 정도의 조항을 넣도록 협의하고 있다""고 밝혔다.전진영 부산시의회 의원(새정치민주연합 비례대표)은 ""미사용 충전금이 시민의 돈이라는 점을 시나 카드사업자도 명확히 인식하고 공공적 용도로 사용하는 데 대해 명확한 규정이 이뤄져야 한다""고 지적했다.양미숙 부산참여자치시민연대 사무처장은 ""지분 기부채납도 받지 않았으면 최소한 미사용 충전금과 그 이자에 대한 공공적 활용 정도는 당연히 부산시가 권리를 주장해야 하는데 너무 소극적인 것 같다""고 꼬집었다.나 위원장은 ""7월 협약을 새로 맺을 때 기존 사업자가 별도 SPC설립과 기부채납, 미사용 충전금 사회 환원 등에 의지가 없다면 부산시가 공개 입찰에 붙여 시의 요구에 부응하는 사업자와 계약을 맺어도 아무 문제가 없다""고 말했다. 이호진 기자 issue@busan.com"
1,2015.05.15. 오전 8:55,음주·휴대전화 조작…교통사고 잇따라,"			<앵커 멘트> 술을 마신 운전자에 이어 휴대전화를 보던 운전자까지 잇따라 교통사고를 냈습니다. 전동휠체어를 탄 장애인이 승강기로 돌진해 숨지는 사건도 일어났습니다. 밤 사이 사건사고 소식 변진석 기자입니다. <리포트> 트레일러 뒤 쪽에 박혀있는 택배차량, 소방관들의 구조작업이 이어집니다. 오늘 새벽 0시쯤 부산 송정동 교차로에서 42살 윤모씨가 몰던 택배차량이 멈춰있던 트레일러를 들이받아 윤씨가 크게 다쳤습니다. 경찰은 윤씨가 혈중 알콜 농도 0.134%의 만취상태로 운전을 하다  사고를 낸 것으로 보고 있습니다.  불에 타버린 자동차에서 연기가 계속 솟아오릅니다. 남해 제2고속도로 부산방향 가락나들목 인근에서 49살 박모씨가 운전하던 승용차가 앞서가던 트레일러를 추돌해 화재가 발생했습니다. 경찰은 박씨가  휴대전화를 조작하며 운전하다 사고를 낸 것으로 보고 있습니다. 계단 사이 통로에 소방관들이 물을 퍼붓습니다. 어젯밤 10시 반쯤 서울 동대문구 장안동의 4층 건물 계단에 놓여있던 섬유 원사 더미에서 불이 나 3명이 대피했습니다. 소방 당국은 재봉 작업장에서 사용하는 실타래에서 불이 시작된 것으로 보고 정확한 화재 원인을 조사하고 있습니다. 어젯밤 9시 반쯤 서울 노원구 중계동의 한 아파트 15층에서, 장애인 54살 오모씨가 전동휠체어를 타고 승강기 문으로 돌진했습니다. 승강기 통로 안으로 떨어진 오씨는 9층에 있던 승강기에 부딪쳐 숨졌으나, 승강기에 타고 있던 2명은 무사했습니다. 오씨는 사고 직전 부인에게 '미안하다'는 내용의 휴대전화 문자메시지를 남겼다고 경찰은 밝혔습니다. KBS 뉴스 변진석입니다.변진석기자 (jinsang81@kbs.co.kr)▶ [취재후] 방송에서 못한 현장 이야기▶ KBS뉴스 SNS [트위터][페이스북][카카오][저작권자ⓒ KBS 무단복제-재배포 금지]		"
2,2015.05.30. 오전 5:01,"[기고] 공익신고 의식, 교통선진국의 기본조건","""국민이 부르면 通하는 교통경찰성숙한 시민의식 도움 받아한발 앞선 봉사로 안전 지킬 것""강신명 < 경찰청장 >교통경찰에 대한 시민들의 기대 수준은 날로 높아지고 있다. ‘OO교차로는 정체가 심하다’, ‘××에는 횡단보도가 없어 위험하다’는 등 교통불편에 대한 민원도 하루가 다르게 늘고 있다. 길 위에 넘치는 차량의 질서위반에 대한 단속 요청도 적지 않다.경찰은 그동안 경미한 위반행위에 계도 수준의 단속을 했다. 그러나 끼어들기 위반, 꼬리물기, 이륜차 인도주행 등 고질적 교통법규 위반행위는 작년에 이어 올해에도 중점 단속하고 있다. 중요한 것은 법규준수의 습관화다. 경찰의 단속으로 어쩔 수 없이 위반행위를 자제하던 운전자라 하더라도 법규준수가 습관이 된다면 교통질서 정착에 도움이 될 것이다.경찰의 교통단속만으로 온전한 교통질서 확립을 기대하기에는 갈 길이 멀다. 경찰이 단속의 강도를 높였음에도 불구하고 국내 교통사고 건수는 2005년 21만4171건에서 2014년 22만3552건으로 4.4%가량 늘었다. 이는 자동차 등록대수가 늘어난 영향이 크지만, 더 체계화된 단속이 필요하다는 방증이기도 하다.지난달 6일 부산 사하구에선 생후 7개월 된 아이가 중태에 빠졌는데 퇴근시간대 극심한 교통체증으로 이송에 어려움을 겪던 중 인근에 있던 ‘교통불편 신속대응팀’(교통 사이드카)이 8분 만에 병원으로 옮겨 생명을 구한 일이 있다. 교통불편 신속대응팀은 올 2월부터 교통불편 신고에 즉시 출동해 교통정체를 해소하는, 일종의 교통경찰 기동팀으로 ‘국민이 부르면 통(通)합니다’를 캐치프레이즈로 활동 중이다. 교통정체는 단순히 차가 밀리는 문제를 떠나 운전자들의 짜증과 피로를 유발, 2차 사고를 야기하는 위험성을 안고 있다. 신속대응팀 도입으로 경찰은 불안정한 도로 상태를 신속히 해소해 교통 안전도와 국민 만족도를 동시에 높일 수 있을 것으로 기대하고 있다.교통규제를 개선하는 일에도 적극적으로 나서고 있다. 음식점·공원 주변에서 안심하고 주차할 수 있게 주차허용시간을 표시하는 ‘안심주차’를 제도화했으며, 오고가는 차량이 전혀 없음에도 좌회전 신호를 기다리게 해 운전자의 시간을 빼앗던 것을 ‘비보호 겸용 좌회전 신호 확대’를 통해 개선했다. 또 횡단보도를 추가 설치하는 업무도 활발히 진행하고 있다. 나아가 경찰관이 없는 곳에서 교통법규를 위반하는 ‘얌체차량’을 쉽게 신고할 수 있도록 하는 ‘공익신고제도’도 활성화했다. 블랙박스뿐 아니라 스마트폰으로도 영상을 녹화해 신고할 수 있는 시스템을 만드는 등 보완해 나가고 있는 단계다. 독일에서는 ‘동네주민이 교통경찰보다 더 무섭다’는 얘기가 있다. ‘장애인 주차구역에 비장애인 차량이 주차돼 있으면 바로 신고하겠다’는 주민이 3명 중 1명이라는 설문 결과가 있을 정도로 신고의식이 투철한 것이 독일이다. 평소엔 웃는 낯으로 대하는 다정한 이웃이라도 공공질서를 해칠 때에는 좌시하지 않는 성숙한 시민의식이 공익신고제도를 통해 한국에도 확산되기를 기대한다. 어떤 나라가 선진국인지는 교통질서 수준을 보면 알 수 있다고 한다. 한국을 교통 선진국의 반열에 안착시키기 위해 경찰은 교통법규를 지키지 않은 사람을 엄중히 단속하고 국민의 입장에서 공감받는 정책을 꾸준히 개발하고 시행해 나갈 것이다.공무원은 한자로는 ‘공복(公僕)’, 영어로는 ‘퍼블릭 서번트(public servant)’라 한다. 경찰 공무원은 단순히 법에 따라 집행만 하면 된다는 소극적인 태도에서 벗어나야 하는 시대가 왔다. 주인인 국민의 요구에 귀 기울여 여러가지 정책을 추진한다면 ‘교통안전과 원활한 소통 확보’라는 교통정책의 목표를 더 수월하게 달성할 수 있을 것이라 믿는다. 국민이 부르면 통(通)하는 교통경찰이 되도록 우리 경찰 모두가 노력해야 한다.강신명 < 경찰청장 >[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한국경제신문, 무단 전재 및 재배포 금지		"
3,2015.05.28. 오후 5:47,"부산교통공사,신입사원 94명 공채 공고","			부산교통공사가 안전·편리·품격의 선진 도시철도를 이끌어 갈 능력과 도전정신을 갖춘 인재 94명을 공개 채용한다.  부산교통공사(사장 박종흠)는 공개경쟁 72명, 경력경쟁 22명 등 총 94명을 채용키로 하고 29일 공사 홈페이지(www.humetro.busan.kr) 등을 통해 공고할 계획이라고 28일 밝혔다.  학력 등 자격과 연령 제한 없이 시행되는 공개경쟁을 통해서는 운영직 32명, 토목직 8명, 건축직 3명, 기계직 7명, 전기직 13명, 신호직 2명, 통신직 7명 등 총 72명이 채용되며 이 중 6명은 장애인을 대상으로 구분해 선발할 계획이다.  경력경쟁은 운영·운전직 19명, 기계직 1명, 전기직 2명 등 총 22명을 선발한다. 경력경쟁 응시자는 철도안전법에 의한 제2종 전기차량 운전면허를 보유하고 있어야 한다.  공개경쟁에 지원하기 위해서는 만 20세 이상으로 올해 1월 1일부터 면접시험 최종일까지 주민등록지가 부산·울산·경남 지역으로 되어 있거나, 올해 1월 1일 이전까지 부산·울산·경남 지역에 주민등록상 주소지를 두고 있었던 기간을 모두 합산해 3년 이상이면 가능하며 경력경쟁 응시자는 지역제한 없이 지원할 수 있다. 공사는 6월 9일부터 15일까지 총 7일간의 원서접수 후 필기시험, 서류접수, 인적성검사, 면접시험 등의 전형을 거쳐 8월 18일 최종 합격자를 발표할 계획이다. 필기시험은 6월 28일 실시하며 인적성검사는 7월 17일, 면접시험은 7월 27일부터 8월 11일까지 1, 2차에 나눠 진행할 예정이다. 한편 이번 신입사원 채용은 지원기회는 넓히되, 지원자에 대한 검증절차는 대폭 강화한다. 수험생이 부담해야 했던 1만원의 응시수수료를 면제해 지원자의 부담을 줄여 응시기회를 확대하고, 한 차례 시행했던 면접시험을 1차 실무진 면접과 2차 경영진 면접으로 분리, 단계별로 시행하는 것으로 개선한다. 공사는 이를 통해 지원자의 인성과 가치관, 직무능력 등을 더욱 철저히 검증해 공사의 인재상에 맞는 창의와 도전정신으로 무장한 신입사원을 선발할 계획이다.  박종흠 부산교통공사 사장은 “이번 채용을 통해 학력이나 배경과 관계없이 능력을 갖춘 참신한 인재를 채용할 예정”이라며 “부산교통공사의 미래를 이끌어 나갈 열정적이고 창의적인 지원자들의 많은 참여를 기대한다”고 말했다.부산=윤봉학 기자 bhyoon@kmib.co.krGoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지[뉴스 미란다 원칙] 취재원과 독자에게는 국민일보에 자유로이 접근할 권리와 반론·정정·추후 보도를 청구할 권리가 있습니다. 고충처리인(gochung@kmib.co.kr)/전화:02-781-9711"
4,2015.05.26. 오후 3:21,"도로교통공단, 강서 장애인 운전지원센터 운영","			도로교통공단이 5월28일 강서운전면허시험장에 중증장애인의 운전면허 취득을 지원하는 ‘강서 장애인운전지원센터’를 개소한다. 중증장애인 운전지원센터는 ‘국정과제?장애인의 권익향상 및 편의증진’이라는 정부3.0 추진사업의 일환이다. 중증장애인(1~3급)을 대상으로 운전면허취득을 위한 무료교육지원, 운전면허취득관련 정보제공 등 국내 최초¤유일의 원스톱 서비스를 제공한다. 중증장애인 운전지원센터는 경찰청, 도로교통공단, 국립재활원의 업무협약으로 탄생했다. 사회적 교통약자인 중증장애인의 운전면허취득 지원과 활성화를 위해 2013년 부산남부면허시험장을 시작으로 2014년 전남·용인면허시험장에 문을 열었다. 2015년 4월 말 기준으로 총 337명의 중증장애인의 운전면허취득을 지원했다. 도로교통공단은 ‘장애인의 교통이동권 확보’를 위한 사회적 책임 실천으로 2016년 대전권, 2017년 대구권역에 중증장애인 운전면허지원센터를 확대 추진할 예정이다.양형모 기자 ranbi@donga.com▶ 동아닷컴 연예팀 공식 페이스북/ 동아닷컴 스타 화보·스타 인터뷰- Copyrights ⓒ 스포츠동아 무단 전재 및 재배포 금지 -		"
5,2015.05.27. 오전 6:00,강서면허시험장에 장애인운전지원센터 문 열어,"			    (서울=연합뉴스) 구정모 기자 = 경찰청과 도로교통공단은 28일 강서 면허시험장에 '장애인운전지원센터'를 개소한다고 27일 밝혔다.     장애인운전지원센터는 장애인을 위한 교육 강사와 특수 제작 차량 등을 갖추고 있어 1∼3급 중증 장애인이 이곳에서 운전교육을 받을 수 있을 뿐 아니라 운전면허도 취득할 수 있다.     학과교육 2시간, 기능교육 4시간, 도로주행교육 12시간 등 운전교육이 무료다.     장애인운전지원센터는 현재 부산남부, 전남, 용인 등 전국에 3곳 설치됐다. 이곳에서 모두 597명이 교육을 받고 이 중 337명이 운전면허를 땄다.     경찰청은 2017년까지 대전과 대구에 장애인운전지원센터를 추가로 개설할 예정이다.     전체 인구의 58%가 운전면허를 소지하고 있으나 등록 장애인의 경우 운전면허 소지 비율이 5.6%에 불과하다.  pseudojm@yna.co.kr▶ [현장영상] 투피스가 비키니로…점점 작아지는 수영복▶ [오늘의 핫 화보] 깜찍한 '카우걸'로 돌아온 카라<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
6,2015.05.20. 오후 6:20,"<부산소식> 부경대 총학, 축제 수익금 전액 기부","			    (부산=연합뉴스) 부경대 총학생회는 지난 19일부터 3일간 여는 봄 축제 때 프리마켓을 운영해 수익금을 전액 불우이웃에게 전달할 계획이라고 20일 밝혔다.    부경대 총학은 또 20일 주변 지역 장애인 30여 명에게 점심을 대접하고 교직원과 학생에게서 쌀을 기부받아 저소득층에 전달하기로 했다.    부경대, 내달 1일부터 기업 역량강화 연수     (부산=연합뉴스) 부경대는 오는 6월 1일부터 부산, 울산, 경남지역 기업과 공공기관을 대상으로 역량 강화를 위한 연수사업을 시작한다.     부경대는 이를 위해 용당캠퍼스 3공학관에 인적자원개발부와 글로벌사업부, 전담 강의실 등을 갖췄다.     부산시교육청 올해 금연사업에 67억원 투입    (부산=연합뉴스) 부산시교육청은 올해 금연사업을 위해 부산시 31억원, 부산시교육청 25억원, 지역금연지원센터 11억원 등 모두 67억원을 투입한다고 20일 밝혔다.     부산시교육청 등은 부산시민 금연사업과 학생 흡연예방의 원활한 추진을 위한 협약을 체결하고 유기적인 협조체제를 구축했다.     최영현 동의대 교수, 생화학분자생물학회 공로상    (부산=연합뉴스) 동의대는 항노화연구소 소장인 최영현 한의학과 교수가 최근 생화학분자생물학회 국제학술대회에서 학술지 공로상을 받았다고 20일 밝혔다.     최 교수는 이번 학술대회에서 생화학과 응용분야 논문 6편을 발표해 높은 평가를 받았다.     최 교수는 이에 앞서 지난 1월 부산에서 유일하게 한국과학기술한림원 정회원으로 추대됐다.     한국지방정부학회 22일 부산대서 춘계 학술대회    (부산=연합뉴스) 한국지방정부학회(회장 박재욱 신라대 교수)는 오는 22일 오전 10시 부산대 국제관에서 춘계학술대회를 연다.    학회 회원 등 150여 명이 참가해 '민선 6기 지방자치와 지역 균형발전 정책의 평가와 전망'을 주제로 발표하고 토론한다.     부산교통공사, 도시철도 양산선 건설 대행    (부산=연합뉴스) 부산교통공사는 경남 양산시와 도시철도 양산선 건설사업 대행을 위한 위·수탁 협약을 체결했다고 20일 밝혔다.     양산선은 부산도시철도 1호선 노포역에서 양산시 북정동까지 12.5㎞를 연결하는 것으로 내년 하반기에 착공, 2020년 준공을 목표로 하고 있다.     양산선 운영에 관한 것은 건설공정이 30%에 도달했을 대 부산시와 양산시가 협의할 예정이다.    부경대 기술지주회사 고형사료 연구동 착공    (부산=연합뉴스) 부경대 기술지주회사의 자회사인 JEY는 지난 19일 오후 부산시 기장군 수산과학연구원에서 '압출성형펠렛 생산, 실습 연구동' 기공식을 하고 본격 공사에 들어갔다고 20일 밝혔다.     연구동은 수산양식에 쓰는 고형사료를 연구, 개발하는 자동화 시스템을 갖춘 전체 면적 1만984㎡ 규모로 오는 10월 완공될 예정이다.     연구동에서는 또 수산양식 기자재와 생산 플랜트 개발을 추진한다.     부산대서 21일 이민정책 포럼    (부산=연합뉴스) 부산대는 21일 오후 1시 국제관에서 법무부가 주최하는 제7회 이민정책 포럼을 연다.    '이민자와 함께하는 국가 경쟁력 강화와 사회통합 과제'를 주제로 대학교수와 법무부 관계자, 학생 등 200여 명이 참석해 주제발표와 토론 형식으로 진행한다.     동서대, 산학협력 선도대학 평가 '매우 우수'    (부산=연합뉴스) 동서대는 교육부와 한국연구재단이 주관하는 산학협력 선도대학 육성사업 3차년도 평가에서 '매우 우수'를 받았다고 20일 밝혔다.     동서대는 이에 따라 올해 국비 47억9천만원을 지원받게 됐다.     부산디지털대, 내달 1일 평생교육원 개원    (부산=연합뉴스) 부산디지털대는 오는 6월 1일 평생교육원을 개원한다.     노인복지 레크리에이션 2급, 미술심리 상담사, 학교폭력 상담사, 음악심리 상담사, 푸드아트 심리 상담사, 세계문화기행, 쉽게 배우는 수화 등의 강좌를 개설한다. 문의 ☎ 051-320-2855.▶ [현장영상] 무릎 꿇은 유승준 "" 한국가고 싶다""▶ [카드뉴스] 당신이 면접에서 떨어진 이유?<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
7,2015.05.13. 오후 5:58,"부산 북구 보건소, 교통 약자를 위한 문화 체험 열어",[부산CBS 송호재 기자]부산 북구보건소는 다음 달 2일 장애인 등 교통 약자를 대상으로 한 2015 상반기 문화체험 행사를 개최한다.이번 체험 행사는 북구 지역 장애인 35명의 신청을 받아 장애인용 저상버스를 이용해 울산대공원 내 장미 축제와 미니 동물원 등을 관람할 예정이다.신청 기간은 오는 20일까지이며 북구 지역에 등록된 장애인은 누구든지 신청할 수 있다.신청 및 기타 문의 사항은 북구보건소(051-309-7086)로 하면 된다.songas@cbs.co.kr저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지 
8,2015.05.27. 오후 12:53,"생활정보 전화번호, 알아두면 유용 ‘날씨부터 교통 안내까지’","생활정보 전화번호 생활정보 전화번호[헤럴드 리뷰스타=노연주 기자] 생활정보 전화번호에는 어떤 것들이 있을까.실생활에 유용한 생활정보 전화번호는 각종 포털사이트 등에서 쉽게 확인할 수 있다.먼저 서울 120 콜센터 ‘다산콜센터’ 전화번호는 02-120이며, 인천 120 콜센터 전화번호는 032-120, 경기 120 콜센터 전화번호는 031-120이다. 부산 지역에서 역시 051-120를 누르면 120 콜센터로 연결된다.또한 전화번호 안내는 114에서 받을 수 있으며, 116번과 131번으로 전화를 걸면 각각 세계시간과 일기예보를 안내받을 수 있다.우체국민원 안내 같은 경우는 1588-1300번으로, 관광정보 안내는 1330번, 교통정보 안내는 1333번으로 전화하면 된다.‘학교·여성폭력피해자 등 긴급지원센터’에서 운영하는 학교폭력근절 관련 접수 전화번호는 117번이며, 청각·언어 장애인의 의사소통을 돕는 ‘107 손말이음센터’는 107번이다.생활정보 전화번호 소식을 접한 누리꾼들은 “생활정보 전화번호, 알아두면 정말 유용하겠다”, “생활정보 전화번호, 다산콜센터랑 전화번호 안내 번호밖에 잘 몰랐는데”, “생활정보 전화번호, 메모해뒀다가 필요할 때 써야지” 등의 반응을 보였다.idsoft3@reviewstar.net[특목고 준비생들이 브로드웨이로 떠나는 이유][헤럴드경제 뉴스스탠드] [헤럴드TV 증권방송] [제5회 코리아헤럴드 청소년 외교아카데미] [헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -		"
9,2015.05.28. 오전 7:01,[택시앱 열풍]택시영업 '배회형'→'호출형'으로 진화중,"- 국내 콜영업 비율 30~35%…택시 실차율 50% 수준 그쳐- 교통량 증대·대기오염·연료낭비 등 사회적 비용↑- 앱 택시 활성화로 영업 방식 변화 조짐- ""개인정보노출 등 앱 택시 해결과제 많아""[이데일리 유재희 기자] 서울 A택시회사에서 근무하는 엄성일씨(57·가명). 택시기사인 엄씨는 다섯 식구의 생계를 책임지고 있는 탓에 2교대(2인 1차)로 일하는 다른 동료와 달리 풀 타임(1인 1차)으로 근무한다. 하루평균 근로시간은 15~16시간. 이 중 손님 없이 빈 차로 운행하는 게 8시간 이상이다. 엄씨는 승객을 태우기 위해 도로를 배회하면서 길에 뿌리는 기름값이 항상 부담스럽다. 엄씨는 “스마트폰 사용이 익숙하진 않지만 나 홀로 운행하는 시간을 줄이기 위해 택시 앱 회원에 가입할 생각”이라고 말했다. 리모 택시·이지 택시·카카오 택시·티맵 택시·티머니 택시….춘추전국시대를 맞은 모바일 택시 앱 시장이 초고속 성장을 거듭하고 있다. 특히 다음 카카오·SK 등 대기업이 택시 앱 시장에 진입하면서 택시 탑승문화마저 바꿔나가고 있다. ◇택시 운행시간 절반은 ‘빈차’ 우리나라의 택시 영업방식은 무작정 도로 위를 달리다 손님을 맞는 배회형 영업이다. 국토교통부 및 한국교통연구원 등의 자료를 보면 선진국 택시는 콜(호출형)영업 비율이 70% 이상을 차지하지만, 우리나라는 30~35% 수준으로 선진국의 절반에도 미치지 못한다.배회형 영업방식은 낮은 택시 실차율(승객을 태우고 운행하는 비율)로 이어진다. 국토부에 따르면 주요 도시별 택시 실차율(2013. 9월~ 2014. 2월 평균)은 서울의 경우 거리 기준 64.4%, 시간 기준 39.3% 수준에 그쳤다. 인천(48.3%·31.5%), 대구(47%·40.5%)는 거리·시간 실차율이 모두 50%에도 못 미쳤다. 광주(52.8%, 38.5%), 대전(53%, 42%), 부산(56.7%, 23%) 등도 저조하기는 마찬가지다. 도로 위를 달리는 택시 두 대 중 한대는 빈차라는 얘기다. 서울시 관계자는 “택시 일일 운행거리는 자가용 차량의 10배나 된다”며 “배회형 영업은 교통량 증가로 이어져 교통체증을 유발할 뿐 아니라 대기오염, 연료낭비 등 막대한 사회적 비용 지출로 이어진다”고 말했다. 그는 이어 “호출형 영업방식 확산은 사회적 비용을 줄이는 데 긍정적일 뿐 아니라 택시회사의 수익성 개선에도 도움이 된다”며 “향후 제도적·행정적 지원도 검토하고 있다”고 덧붙였다. ◇ 택시 앱 택시시장 장악…탑승문화 변화 주도 정부와 서울시 등은 지난 2007년부터 택시 운영방식을 배회형에서 호출형으로 전환하기 위해 GPS(인공위성을 통한 위치확인시스템)를 이용한 콜서비스 시스템을 도입하고, 브랜드 콜택시를 확대하는 등 다양한 방안을 마련·시행했다. 그러나 콜 비용부담 및 콜 취소 등 고질적인 문제에 발목이 잡혀 성장이 정체돼 왔다. 현재 전국 콜택시는 6만 3000여대로 이 중 서울에서 운행하는 콜택시가 3만여대다. 택시기사들은 나비콜·한강콜 등 콜센터업체에 월 5만~7만원씩 수수료를 지급해야 하는 데다 이용자가 콜택시 도착 전 다른 택시에 탑승하는 등 콜 취소가 빈발하자 콜서비스 시스템을 외면했다. 승객들 또한 정작 필요한 시간대에는 콜택시 이용이 쉽지 않고, 건당 1000~2000원 추가비용을 부담해야 한다는 이유로 콜택시 이용에 소극적이었다. 반면 택시 앱은 △예상 주행거리와 요금 안내 △영수증 발급을 통한 투명성 강화 △간편한 조작방법과 자동호출방식을 통한 편리성 △택시 번호·기사 이름 정보 제공 및 안심메시지 기능을 통한 안전성 강화 △리뷰제도를 통한 서비스 강화 등 현재 콜택시가 가진 문제점들을 보완하면서 빠르게 택시시장을 잠식해 가고 있다. 특히, 서비스가 무료로 제공되는 데다 서비스의 우수성이 입소문을 타면서 택시 앱 시장은 엄청난 속도로 성장하고 있다. 지난 3월 말 서비스를 시작한 카카오 택시의 경우 기사 회원수만 7만 5000여명에 달한다. 많은 기사 회원수는 배차 성공 확률을 높이고, 빠른 배차로 이어진다. 이는 결국 이용 승객수 증가→기사 회원수 증가→빠른 배차라는 선순환 구조로 이어지며 국내 택시 영업방식을 변화시키고 있다. 이 같은 변화에 정부는 물론 택시 업계도 반기는 분위기다.서울시개인택시운송사업조합 관계자는 “대부분 택시가 배회형 영업을 하다 보니 운행 시간의 절반 이상이 공차 운행일만큼 비효율적”이라며 “택시 앱이 활성화되면 운송 원가도 줄이고, 영업 수익률도 높일 수 있을 것”이라고 말했다. 국토부 관계자는 “택시 앱의 경우 고령자·장애인 등이 활용하기에는 한계가 있는 만큼 택시 앱과 콜택시가 상호 보완적으로 성장할 필요가 있다”고 말했다. 실제 기존 콜택시 업계도 택시 앱과의 경쟁에서 살아남기 위해 변화하고 있다. 전화를 통해 세세한 부분까지 체크할 수 있는 만큼 여성전용 운전자 도입 등 고객 맞춤형 서비스를 강화하고 있다.◇“개인정보 유출 등 해결과제 많아”그러나 택시 앱이 콜택시의 전철을 밟지 않기 위해서는 해결해야 할 과제가 적지 않다. 개인정보 유출 가능성에 대한 우려가 가장 크다. 택시 앱은 개인정보를 활용한 서비스여서 기사와 승객이 한 번 연결되면 서로의 연락처가 휴대전화에 남는다. 따라서 기사(고객)가 범죄 의도를 갖고 고객(기사)에게 접근할 수 있다. 또한, 고객의 모든 이용 기록을 택시 앱 회사가 관리하는 것도 우려스러운 대목이다. 택시 앱을 자주 이용한다는 직장인 성모씨(28·여)는 “택시 앱을 자주 이용하는 승객의 경우 생활 반경·패턴 등이 고스란히 노출될 수밖에 없는 구조”라고 말했다. 기사들의 승차거부와 승객의 콜 취소 문제도 해결과제다. 택시 앱 회사들은 승차거부 등으로 평점이 나쁜 기사에는 배차 기회를 줄이고, 일방적인 예약 취소가 많은 승객은 업체에서 제공하는 각종 혜택 대상자에서 제외하는 등의 방법을 고민 중이다.택시기사 안모씨(46)는 “조금 기다리더라도 콜을 요청한 뒤 다른 택시를 골라 타지 않는 문화가 안착하지 않으면 택시 앱이 활성화되긴 어려울 것”이라고 말했다.유재희 (jhyoo76@edaily.co.kr)[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
