,기사요약
0,"장애인들은 지난 3월 30일부터 서울지하철 3호선 경복궁역 승강장에서 장애인권리예산 보장에 대한 확답을 대통령직인수위원회에 요구하며 한명씩 삭발을 이어가고 있다지난 3월 30일 서울 종로구 지하철 3호선 경복궁역 승강장에서 이형숙 서울시장애인자립생활센터협의회장이 장애인권리예산 보장을 요구하며 삭발하고 있다이 질문을 의제화해 정책으로 발전시킬 힘이 있고, 또 그래야 할 이 대표는 자신의 자원을 단체의 시위를 비난하는 데 썼다"
1,[앵커] 장애인 이동권을 보장하라는 출근길 지하철 시위가 22일 만에 재개됐습니다장애인 이동권 보장 등을 요구하는 단체에서 오늘 아침 서울 시청역과 경복궁역을 찾아 출근길 지하철 시위를 벌였습니다
2,"엘리베이터 없는 7호선 남구로역종로3가·청담역 등 20곳도 엘리베이터 동선 끊겨서울시, 2025년까지 모든 역 '1동선 엘리베이터' 설치신설동역 등 3곳은 사유지 문제로 공사 차질장애인, 노인, 임산부, 영유아 동반자 등 교통약자가 타인의 도움 없이 엘리베이터 등을 타고 지상부터 승강장까지 이동할 수 있게 한다는 계획이다지하철 '1역사 1동선'은 서울시가 7년 전 약속했던 목표다"
3,"30일 오전 서울 종로구 지하철3호선 경복궁역 승강장에서 열린 '장애인권리예산 인수위 답변 촉구를 위한 전국장애인차별철폐연대 삭발 투쟁 결의식'에서 전장연 회원이 이형숙 서울시장애인자립생활센터 회장의 삭발식을 지켜보며 눈물을 흘리고 있다국토부는 ""특별교통수단 운영비 지원, 저상버스 도입 의무화 등을 위한 하위법령 정비가 필요""하고 ""전동휠체어 사용 증가 등의 사회환경 변화와 외부에서 제안한 개선요청 사항을 반영하기 위함""이라며 취지를 밝혔다국토부 관계자는 ""전장연 측 요청 사항을 수렴해 법안이 정리된 것으로 안다""면서도 ""노선버스에 (저상버스)를 100% 도입할 수는 없기 때문에 이를 체계적으로 가려내기 위해 연구를 진행하는 것""이라고 설명했다"
4,"엘리베이터도 만들어놓으면 모두가 이용할 수 있고, 저상버스도 일반 버스에 비해 공간이 넓으니 편히 이용할 수 있습니다이동권 투쟁은 휠체어를 이용하는 분들이 중심이 되기에 이동권이라는 것이 지체장애의 영역으로 보여지기도 합니다그리고 대중교통을 스스로 이용하는 능력은 삶의 질을 높여주기 때문에 모두가 이용할 수 있도록 환경을 구성해줘야 합니다"
5,"전국장애인차별철폐연대가 지난해 12월부터 이어오고 있는 서울 지하철 통근길 시위 때문이다하지만, 저상버스 도입 의무대상에서 시외·고속버스는 제외됐다"
6,"전국장애인차별철폐연대(전장연) 회원들이 29일 서울 종로구 지하철 3호선 경복궁역에서 '이동권 예산 확보'를 요구하며 출근길 선전전을 벌이고 있다”   지난 27일 국민의힘 이준석 대표는 자신의 페이스북에 전국장애인차별철폐연대(전장연)가 이미 합의가 끝난 ‘장애인 이동권’ 문제가 아니라 장애인 평생교육법안, 탈 시설지원 등을 위해 지하철 타는 시민을 볼모로 잡는다며 이같이 말했다뉴스1    지난해 국민의힘과 면담에서 관련 법안 통과를 요청했던 변재원 전장연 전 정책국장은 “다른 문제를 제쳐놓고 장애인 이동 문제에 예산을 우선 배정하려는 지자체 드물다”며 “개정안이 통과됐어도, 갈 길은 멀다”고 말했다"
7,[각 의원실 제공]박홍근 원내대표를 비롯한 더불어민주당 국회의원들이 6일 오전 휠체어를 타고 대중교통을 이용해 국회 출근하는 ‘휠체어 출근 챌린지’에 대거 참여했다
8,"그걸 위해서 정부는 휠체어를 탄 채 안전하게 탈 수 있는 버스와 콜택시를 운영하고 있는데, 예전보다는 숫자가 늘었다고 하지만, 장애인들은 여전히 불편하다고 말합니다]공공과 민간이 머리를 맞대 장애인 이동권을 폭넓게 보장할 수 있는 지원대책 마련이 절실합니다"
9,이날은 장애인 단체인 ‘전국장애인차별철폐연대(전장연)’ 관계자의 삭발식이 있었다장애인 단체의 이동권 투쟁을 앞장서서 이끌고 있는 박 대표는 지난 13일 이준석 국민의힘 대표와 TV토론까지 벌이며 얼굴이 알려진 사람이 됐다2001년 오이도역 리프트 추락사고를 계기로 시작된 장애인 이동권 운동 역시 박 대표가 처음부터 함께 했다평생을 장애인 인권을 위해 싸워온 박 대표는 얼마 전부터 새로운 싸움에 나서고 있다그런데 이 대표는 지하철에 엘리베이터가 생겼으니 됐다며 장애인 이동권 운동을 협소하게 잘라내 버렸다
10,
11,[앵커] 최근 장애인 단체의 지하철 시위가 이어지면서 이들의 이동권 보장 문제가 다시 주목을 받고 있습니다[기자]장애인들이 휠체어를 탄 채 지하철 스크린도어를 오릅니다
12,
13,"김노석씨가 경기 안양시 이지무브 본사에서 장애인 보조기기를 수리하고 있다김씨는 장애인 보조기기를 다루는 기사지만, 동시에 중도장애를 앓고 있는 장애인이기도 하다김씨는 마음이 아프지만 장애인을 바라보는 주위의 시선을 극복해 내기 위해 열심히 일하는 것 말고는 할 수 있는 게 없었다고 했다그러면서 김씨는 지난해 강원 원주시 출장에서 만난 장애 아동을 떠올렸다그는 이어 ""저와 같이 장애를 가진 아이들이 제가 만든 보조기기를 사용한다고 생각하면 모든 순간이 기쁘다""며 ""특히 이처럼 아이에게 딱 맞게 제품을 만들어 줬을 때는 날아갈 듯 행복하다""고 말했다이지무브 제공김씨는 보조기기를 만들고 수리하는 업무뿐만 아니라 장애인 관련 교육 활동도 활발히 하고 했다"
14,"김훈배 공공교통네트워크 정책위원 제공""왜 엘리베이터 놔두고 에스컬레이터 탔나?"" 서울 지하철역에서 4월 7일 에스컬레이터를 타다가 한 전동휠체어 이용자가 사망했다는 기사 댓글을 보니 위험한 선택을 한 고인을 비난하는 목소리가 가득했다지하철 엘리베이터는 휠체어 이용자들에겐 괴로움의 공간이기도 하다내가 아는 대학생 휠체어 이용자는 새치기하는 어르신들과 싸우기 싫어서 항상 엘리베이터 앞에서 5~10분 기다린단다"
15,"잇단 지하철 기습시위에 시민들 불편 '가중'서울시, 장애인콜택시·역사 엘리베이터 설치전장연, 인수위에 콜택시 등 국고지원 요청답변 거부시 장애인의 날 이후 시위 나설듯서울시 관계자는 17일 “오는 20일 장애인의 날을 맞아 저상 버스 및 장애인 콜택시 확대, 보도 개선작업 등 장애인 이동권 문제를 해결하기 위한 대책을 발표할 것”이라고 말했다"
16,"[앵커]문재인 대통령의 부인, 김정숙 여사의 의전 비용 논란이 계속되고 있습니다이준석 국민의힘 대표와의 갈등도 계속되고 있습니다[정미경/국민의힘 최고위원 (지난 28일) : 김정숙 여사의 그 브로치가 진짜 2억이 넘는 거냐, 뭐 짝퉁은 2만원 정도라는데, 뭐 그다음에 진짜 옷값이 국가기밀이냐][정경희/국민의힘 의원 (어제) : 청와대가 국가 안보를 들먹이자 국민들은 김정숙 옷에 핵잠수함 조정 장치가 있느냐 아니면 사드 발사 단추가 있느냐며 분개하고 있습니다]그러면서 김정숙 여사의 옷값이 '대통령 기록물'이 돼서, 15년 뒤에 공개되는 점에 대해 비판했습니다이들이 요구하는 것은 '인수위의 장애인 이동권'과 관련한 답변 그리고 국민의힘 이준석 당대표의 사과였습니다]하지만 전장연이 '출근길 지하철 시위'를 중단하고 '삭발 시위'를 이어가는 중에도 이준석 대표는 '사과는 없다'고 선을 그었습니다[이준석/국민의힘 대표 (음성대역) : 전장연이 지하철 통행을 막아 시민들의 불편을 초래해서 목적을 달성하는 것을 포기했습니다이준석 대표와 전장연의 갈등이 계속되는 가운데 국민의힘 내부에서도 비판의 목소리가 나온 바 있었죠[이준석/국민의힘 대표 (음성대역) : 언론이 갈라치기 하려고 계속 인수위에 이런저런 질문을 하나 본데 김은혜 의원이 언급한 당선인의 저상버스 공약을 만든 게 이준석입니다"
17,
18,"장애인 단체가 이동권 보장 시위를 벌인 가운데, 서울시는 2024년까지 서울 지하철 모든 역사에 엘리베이터 등을 설치해 교통약자가 도움 없이 지상에서 역사 내부까지 이동할 수 있도록 하겠다고 밝혔습니다"
19,"삼락·화명생태공원 화장실 대부분 휠체어 접근 불가…엉터리 리프트부산서 장애인의날 앞두고 이동권 등 장애인 기본권 보장 촉구전체 9개 화장실 모두 휠체어 리프트가 설치돼 있었지만 4곳은 제대로 작동하지 않았다장애인은 이용할 수 없는 공원 화장실[손형주 기자]    이날 부산에서는 장애인 이동권 개선을 요구하는 목소리도 함께 나왔다"
20,"ⓒ 홍서윤 제공    ""이준석 대표는 장애인 다음에 또 누굴 차별할 것인가"" 홍서윤 더불어민주당 비상대책위원회 대변인은 지난주부터 이어지고 있는 이준석 국민의힘 대표의 '장애인 지하철 시위' 관련 발언을 ""혐오정치의 한 형태""라고 강조했다척수장애인인 홍 대변인은 28일 &lt;오마이뉴스&gt;와의 전화인터뷰에서 ""이전엔 여성과 남성을 성별로 갈라치기 하더니 이번엔 장애인 이슈를 가지고 왔다""라며 ""사람들의 욕망이나 자극적 포인트의 트리거(trigger, 방아쇠)가 되는 소통 방식은 정말로 경계해야 한다""라고 지적했다특히 소수자를 생각하는 발전적 정책이 없고 단순한 진단만 있다""라며 ""그 진단마저도 다양한 관점을 토대로 한 게 아니라 자신의 편의에 의한 것뿐""이라고 말했다스스로도 '욕먹을 각오'를 했다지 않나""라며 ""지하철 시위를 하면 부정적 여론도 있다는 걸 알면서도 집중하고 있는 것 아닌가이동은 기본적 사회 참여의 수단인데 그게 안 이뤄지고 있으니 장애인들이 기본권 보장을 요구하고 있는 것""이라며 ""또한 장애인 권리보장법 제정, 장애인 탈시설 지원법 제정, 장애인 평생교육법 제정, 장애인 특수교육법 개정은 쟁점이 있긴 하지만 필요한 법인들이다ⓒ 공동취재사진   - 교통약자 이동권 문제를 강조하고 있는 전장연을 향해 이준석 대표는 '엘리베이터 설치 94%'를 언급하며 무리한 요구를 하고 있다는 식으로 말한다"" - 이 대표는 '이동권 문제뿐만 아니라 장애인권리예산 요구를 왜 지하철 시위의 방식으로 요구하냐'고 말한다이 대표는 장애인 다음에 또 누굴 차별할 것인가"
21,"전용기 더불어민주당 원내대표 비서실장이 6일 오전 휠체어를 타고 지하철을 이용해 국회로 출근하는 모습/ 사진제공=전용기 의원실━""장애인 권리 위해 여야, 인수위 함께 지혜 모아야""━민주당의 '휠체어 이용 출근 챌린지'는 지난달 31일 의원총회에서 최혜영 의원(초선·비례대표)의 제안에 따라 이뤄진 것으로 파악됐다"
22,"최근까지 전국장애인차별철폐연대(전장연)가 시위를 벌였던 지하철은 비장애인에게 더할 나위 없이 매끄러운 대중교통이다하지만 장애인에겐 아니다최근 지하철 시위를 겨냥한 문건에는 “공사는 실질적 약자, 실점방지&amp;디테일 발굴 중요… 여론전 승부는 디테일이 가른다”라는 내용이 담겼다그는 페이스북에서 지하철 시위를 “불특정 다수의 일반 시민의 불편을 야기”하고 “서울시민을 볼모로 잡는 시위”라고 정의했다전장연은 최근 지하철을 타는 시위를 멈췄다"
23,국민의힘 이준석 대표가 13일 서울 상암동 JTBC 스튜디오에서 박경석 전국장애인차별철폐연대(전장연) 상임공동대표와 JTBC 프로그램 '썰전라이브' 생방송 일대일 토론을 하고 있다박경석 전국장애인차별철폐연대(전장연) 상임공동대표가 13일 서울 상암동 JTBC 스튜디오에서 국민의힘 이준석 대표와 JTBC 프로그램 '썰전라이브' 생방송 일대일 토
24,"이 대표는 7일 페이스북에 휠체어를 탄 채 지하철을 타고 출근한 고 의원의 기사를 공유한 후 ""휠체어로 지하철 타는 체험을 하기 전에 평소에 지하철을 자주 이용해 보시는 게 우선이 아닐까""라고 지적했다6일 휠체어 타고 국회로 출근한 고민정 더불어민주당 의원 ⓒ페이스북 캡처본앞서 이 대표는 출근길 지하철 시위를 한 전국장애인차별철폐연대(전장연)를 향해 ""시민을 볼모 삼은 투쟁방식""이라고 비난하며 ""장애인의 이동권 보장 시위가 시민의 불편을 야기하고 있다""고 강조해왔다"
25,이 대표는 페이스북에 고민정 더불어민주당 의원이 휠체어를 타고 출근했다는 기사를 공유하며 이같이 적었다
26,연합뉴스대통령직인수위원회가 29일 서울 지하철 출근길 시위를 벌이고 있는 전국장애인차별철폐연대(전장연)의 입장을 듣기 위해 시위 현장을 찾은 것은 잘한 일이다한편으로 곧 여당이 될 국민의힘 이준석 대표가 연일 장애인단체의 출근길 지하철 시위를 비난만 하고 있으니 도대체 무슨 심보인지 모르겠다
27,"김은혜 당선인 대변인이 “저상버스를 포함한 장애인 이동권 확보는 윤 당선인의 공약”이라며 시위를 두둔하는 듯한 발언을 하자, 이 대표는 즉각 “그 공약을 내가 만들었다”면서 불편한 심기를 감추지 않았다"
28,"하지만 그들에게 맹목적인 비난을 퍼붙기 이전에, 우리 사회는 그들이 겪고있는 어려움과 힘듦에 공감하려는 노력을 가졌어야 한다고민정 의원 등 더불어민주당 의원들이 휠체어 출근 체험을 통해 장애인들이 겪고 있는 어려움에 공감해보려는 노력을 할 때, 이준석 대표는 ""평소에 지하철부터 이용해야휠체어 체험을 위해 휠체어를 대여하고 처음으로 대로에 나간 순간입니다            ⓒ 남윤석   전장연에 시위에 불편함을 느낀 시민들이 불만을 토로하는 마음은 공감한다"
29,"2022년 3월24일 장애인 권리예산에 관한 인수위의 무성의한 답변을 보고 나서 전장연이 한 달여 중단했던 출근길 시위를 재개하자 이준석 국민의힘 대표가 다음날인 25일부터 페이스북에 연달아 글을 올렸다이 대표는 △박원순 전 서울시장 때 장애인 이동권 약속을 지키지 못했다는 이유로 오세훈 시장이 들어선 뒤에 지속적으로 시위한다 △국민의힘은 전장연의 요구를 대선 공약에 반영하고 법안을 발의해 통과시켰다고 주장했다4월4일 오후 혜화역 인근 전장연 사무실에서 박경석 대표를 만났다결국 우리는 ‘어’ 하는데 이 대표가 ‘아’ 하면 ‘아’가 돼버리는 거예요탈시설, 유엔 장애인권리협약과 싸워야죠전장연을 저격하던 이준석 대표는 비장애인과 장애인, 나아가 장애인과 장애인까지 갈라칠 기세다-이준석 대표가 장애인 이동권 의제를 공론화하는 데 기여한 것 아니냐는 의견도 있는데요지하철 타는 건 엄두도 못 내던 장애인들이 리프트를 타고 지하철을 이용하기 시작했다그러다 2001년 설날 아들을 만나러 이동하던 장애인 노부부가 오이도역에서 리프트를 타다 추락해 숨지는 사건이 일어났다2001년 2월6일 장애인 단체들은 지하철 1호선 서울역 선로를 점거했다2022년 4월4일 서울 경복궁역에서 진행된 장애인 권리예산 대통령직인수위원회 답변 촉구를 위한 전장연 삭발 투쟁 현장에서 박경석 상임공동대표가 발언하고 있다아저씨 이름이 이동권이에요?“몇 날 며칠을 서울역 1호선 앞에서 물끄러미 지하철 들어오는 것을 바라봤어요오이도 참사 해결, 저상버스 도입, 지하철 엘리베이터 설치, 특별교통수단 도입 등으로 장애인 단체들의 요구 사항이 확대됐다모두 박경석 대표가 꼽는 장애인권 운동사의 결정적 장면들이다같은 날 경복궁역에서 박경석 전장연 상임공동대표가 지하철에 탑승하고 있다저는 거기에 희망의 물리적 근거가 있다고 생각합니다”이준석 대표를 이겨서 뭐 하겠습니까박 대표는 2001년 장애인 이동권 투쟁을 시작할 때 “욕 한 트럭을 먹어도 상관없으니 장애인 인권 문제가 &lt;100분 토론&gt;에 나오면 소원이 없겠다”고 말한 적 있다이준석 대표는 “사상 처음으로 정당 대표가 당의 장애인 정책을 바탕으로 방송 토론에 나서는 상황이 되지 않을까 생각한다”고 의미를 부여한다박경석 대표를 잘 아는 이들은 &lt;한겨레21&gt;과의 인터뷰에서 이 대표가 상대를 잘못 골랐다면서도 이렇게 말했다“정치공동체가 장애인 인권 문제를 그들이 아닌 우리의 문제로 받아들이는 토론이 아니라 갈라치기 정치 속에 무엇이 잘못됐는지 설명해야 하는 토론이 돼버렸잖아요”(홍은전 인권·동물권 기록활동가)박경석 대표는 오히려 “우리가 잃을 게 뭐가 있겠냐”며 주변을 다독였다고 한다"
30,지난해 12월부터 출퇴근길 지하철 시위를 주도한 박경석 상임공동대표 등 관계자들도 전차교통방해와 업무방해 혐의 등으로 고소를 당해 서울 혜화경찰서에 입건됐다
31,"[경향신문] 엄마는 세 살쯤 소아마비를 앓은 뒤 장애를 가졌다엄마는 컴퓨터를 배우러 장애인복지관에 갔다가 장애인자립생활센터를 알게 됐다마흔이 된 엄마는 그렇게 장애인 운동에 발을 들였다엄마는 휠체어를 타기 시작했다15년이 지난 지금 엄마는 알아주는 장애인 운동가가 됐다엄마는 자신의 장애와 관련된 말은 잘 꺼내지 않았다상처받은 엄마는 2006년 컴퓨터를 배우기 위해 경기 의정부 동네 장애인복지관에 다녔다조씨는 엄마가 걷다가 넘어지는 모습을 숱하게 봤다엄마는 휠체어를 타지 않았다중학교 3학년이던 조씨는 학교가 끝난 후 종종 엄마를 찾아 농성장으로 향했다엄마는 이 농성 이후 휠체어를 본격적으로 타기 시작했다기자회견 한달 전 조씨의 할머니, 즉 엄마의 엄마가 심근경색으로 세상을 떠났다엄마는 장애인 남매 추모제에서 이렇게 말했다지하철에 엘리베이터가 설치돼 있지만 계단보다 동선이 멀다엘리베이터 설치는 최소한의 요구라고 조씨는 말했다엄마가 엘리베이터를 타려고 줄을 서 있으면 비장애인들이 휠체어 앞으로 끼어들어 탑승한다비장애인들은 모두 앞을 보고 있지만 장애인은 혼자서만 뒤를 보고 있다조씨는 말했다정희완 기자엄마는 지난해 12월 3일 시작한 ‘출근길 지하철 타기’ 시위에 한번도 빠짐없이 나갔다조씨는 지난해 12월 지하철 시위에 엄마와 함께 몇차례 참여했다"
32,"출근은 9시 30분 까지지만 나드리콜 배차가 오래 걸리고 들쭉날쭉하다 보니, 이 씨는 집에서 출근 준비를 일찍 합니다◀이민호(장애인) 다릿돌장애인자립생활센터 권익옹호팀장▶""같이 살자고 함께 살고 싶다고 이렇게 목소리 내는 것입니다"
33,박경석 전장연 상임공동대표는 15일 서울지하철 3호선 경복궁역에서 대통령직인수위원회 답변 촉구 결의식을 열고 “20일 저녁 서울 시청역과 경복궁역사 등에서 약 500명이 1박 2일 투쟁을 진행한다”고 말했다
34,
35,"박경석 전장연 상임공동대표는 15일 오전 서울지하철 3호선 경복궁역 승강장에서 진행한 전국장애인차별철폐연대의 인수위 답변 촉구 결의식에서 ""20일 저녁 서울 시청역과 경복궁역사 등에서 약 500명이 1박2일 투쟁을 진행한다""며 ""인수위 답변에 따라 다음 날(21일) 오전 7시부터 9시까지 서울 지하철 2·3·5호선에서 출근길 지하철 타기를 이어갈 지 결정할 것""이라고 밝혔다"
