,기사요약
0,"【 양평=장충식 기자】 경기도 양평군은 장애인과 노약자 등 교통약자들을 위한 이동지원센터가 문을 열고 'YP 행복콜'을 본격적으로 운영한다고 30일 밝혔다
이 날 문을 연 교통약자 이동지원센터는 교통약자의 이동권 보장을 위해 휠체어 탑승 시설이 장착된 특수차량을 운행, 대중교통 이용이 어려운 장애인과 노약자 등이 편리하고 안전하게 이용할 수 있는 특별교통수단 서비스를 제공한다
특별교통수단은 1~2급 장애인을 비롯해 65세 이상으로 요양등급 1~3등급 판정을 받은 사람이나 대중교통의 이용이 어렵다는 진단서를 제출한 노인, 임산부 및 사고나 질병으로 인한 일시적 장애자와 그 가족 및 보호자 등이 이용할 수 있다
운영시간은 평일 오전 8시부터 오후 9시까지 차량운행과 예약 및 상담이 진행되며, 그 외 시간은 사전예약으로 한정된다
운행지역은 양평군 관내 운행을 원칙으로 하되, 병원진료에 한해 인접지역인 서울시, 경기도 구리시, 가평군, 남양주시, 하남시, 광주시, 이천시, 여주시, 강원도 홍천군, 횡성군, 원주시 지역까지 이용이 가능하다
이용요금은 양평군 관내 5km이내는 1000원이며, 5km마다 500원씩 요금이 추가 돼 최대 3000원이다
양평군 관외는 편도일 경우 기본료 1만원에 Km당 400원이며 왕복일 경우 5시간이내는 기본료 1만원에 km당 300원으로, 반일 및 하루예약도 가능하다
김선교 군수는 ""그동안 자유롭게 대중교통을 이용하지 못하고 있는 교통약자를 위해 특별교통수단 마련을 우선 정책과제로 추진하게 됐다""며 ""신체적 불편함이 사회적 불이익으로 이어지지 않도록 보다 수준 높은 서비스 제공에 최선을 다하겠다""고 말했다
기타 이용에 대한 자세한 안내와 상담은 'YP행복콜'(1899-8268)을 이용하면 된다
jjang@fnnews
"
1,"장애인의 이동편의를 위해 지방자치단체에서 의무적으로 확보해야 하는 특별교통수단(장애인 콜택시)의 시·군별 보유비율이 큰 편차를 보이는 것으로 나타났다
지난해 말 기준 전국 76개 시(기초)의 특별교통수단 평균 도입율은 77
0%를 기록한 반면 77개 군의 도입율은 39
0%에 그쳤다
특별교통수단이 한 대도 운영되지 않는 시는 총 6곳이었으며 군의 경우 법정도입대수가 0대인 울릉군을 제외한 27개 군에서 단 한 대도 운영되지 않고 있었다
새정치민주연합 인재근 의원은 8일 '교통약자의 이동편의 증진법'에 의해 시장이나 군수는 관내 1·2급 장애인 200명당 1대 이상의 특별교통수단을 의무적으로 운행해야 하지만 제대로 지켜지지 않고 있다고 밝혔다
특히 경기도 남양주시, 광주시, 안성시 등은 법정도입대수가 각각 27대, 14대, 11대인데도 불구하고 특별교통수단의 운행이 전무했다
지난해 말 기준으로 전국 특별교통수단의 운행대수는 2026대로 법정기준대수인 2,48대의 73
7%에 불과했다
시도별로는 경상남도가 법정도입대수 198대의 156
