,날짜,기사제목,기사내용
0,2022.10.21. 오후 3:55,[휴먼n스토리] 장애인 통일염원 행사 24년 봉사한 기업인 이경욱씨,"장애인 복지, 자립, 사회참여 후원…""삶의 용기 주는 역할 다할 것""이경욱 제28회 통일염원 국토순례 명예회장[촬영 조정호]    (부산=연합뉴스) 조정호 기자 = ""장애인과 비장애인이 함께 통일염원 국토순례를 하면서 충무공 이순신 장군의 나라 사랑과 희생정신, 창의·개척정신을 배우고 건강한 모습으로 돌아오겠습니다."" 21일 오전 부산시청 대강당에서 부산국제장애인협의회 주최로 '제28회 통일염원 국토순례 및 충무공 이순신 전라우수영 유적지 탐방' 발대식이 열렸다. 1991년부터 부산지역 장애인들이 한라산과 백두산, 금강산, 설악산, 이순신 장군 유적지 등을 찾아 통일을 기원한 이 행사는 올해로 30년 넘게 이어지고 있다.    이경욱 대광커뮤니케이션·참콤 회장은 이번 행사 명예회장을 맡았다. 1998년 부산국제장애인협의회 자원봉사자로 인연을 맺은 이 회장은 2009년 설악산 통일염원 대행진 대회장을 맡는 등 매년 장애인 행사에 참여해왔다. 통일염원 국토순례 충무공 전라우수영 유적지 탐방 발대식[촬영 조정호]    그는 장애인 복지와 자립, 사회 참여 기회 제공에 관심을 두고 장애인 후원에도 앞장섰다.    장애인 이동권 확보와 취업 지원을 위해 장애인운전재활센터에 운전 장비와 가상체험(VR) 장비를 전달했고 장애인 정보화 교육, 장애인 도서관, 가족사랑 행복 나눔대회 등을 후원했다.    이러한 공로를 인정받아 부산시장 표창(2006년), 국무총리 표창(2014년), 보건복지부 장관 표창(2018년)을 받았다.    이 회장은 ""올해는 코로나19로 3년 만에 통일염원 국토순례 행사가 마련됐다""며 ""장애인·비장애인이 함께 조국의 한결같은 염원인 평화통일을 기원하고 나라사랑의 마음을 키우는 좋은 기회가 될 것""이라고 말했다.    그는 ""경제가 어려운 상황에서 기업인이 우리 사회에 소외된 이웃을 돕는데 앞장서야 한다""며 ""특히 장애인에게 자립의 의지를 심어주고 삶의 용기를 주는데 주어진 역할을 다할 것""이라고 말했다. ccho@yna.co.kr"
1,2022.10.27. 오후 2:06,이유있는 장애인 이동권 시위…저상버스 없는 노선 수두룩,"감사원, 교통약자 등의 이동편의제도 운영실태 공개저상버스 배차 않거나 편중…연석 탓 승하차 어려워교통약자 콜택시, 운전원 부족으로 실제 운행률 저조[이데일리 이유림 기자] 정부가 저상버스 보급량 관리에만 치중해 정작 배차가 일부 노선 및 시간에 편중되고 있다는 사실이 27일 감사원 감사 결과 드러났다. 또 저상버스 바닥과 인도의 높이차가 커서 휠체어 승하차가 힘든 사례 등도 감사원 감사를 통해 확인됐다. 저상버스는 장애인 등이 탑승할 수 있도록 바닥이 낮으며 승하차 계단이 없고 경사판을 장착한 버스다. 이번 감사 결과는 최근 장애인 단체의 이동권 보장 시위가 벌어지는 와중 발표돼 더욱 주목된다. 서울 중랑구 중랑공영차고지에 시내버스들이 주차돼 있다. (사진=뉴시스)국토부·지자체, 저상버스 배차 관리 안해감사원은 이날 ‘교통약자 등의 이동편의제도 운영실태’ 전문을 공개했다. 교통약자법 등에 따르면 노선버스 운송사업자는 일반버스와 저상버스 배차간격을 적절하게 편성해야 하고, 국토부는 이에 대한 실태조사를 해야 하며 지자체는 운송사업자에게 필요한 조치를 명할 수 있다. 감사원이 특·광역시 중 버스 수가 많은 상위 4개(서울, 부산, 인천, 대구)를 대상(409개 노선, 138개 사업자)으로 배차노선 및 배차간격을 분석한 결과 국토부 및 지자체는 저상버스의 보급에만 중점을 두고 실제 저상버스의 배차나 운행 간격 등 운영사항은 관리하지 않고 있었다. 또한 저상버스 운행가능 노선(급경사 등으로 저상버스 운행이 어려운 노선 제외)을 2개 이상 운영하는 100개 운송사업자의 305개 노선을 분석한 결과 운송사업자가 노선에 저상버스를 배차하지 않거나(55개) 편중 배차(53개)하는 등 총 97개 노선(중복 제외, 전체 305개의 32%)에서 저상버스를 균등 배차하지 않고 있었다. 4개의 특·광역시(서울, 부산, 인천, 대구)에서 운행 중인 290개 저상버스 노선에 대해 배차 간격을 분석한 결과, 115개(39.7%) 노선에서 저상버스를 균등 배차했을 때보다 배차간격이 2배 이상(최대 4.58배) 차이가 나고 있음을 확인했다. 정류장 연석 낮아 휠체어 승하차 어려움 감사원은 버스정류장의 연석 높이가 낮아 휠체어 승하차가 힘든 사례도 다수 적발했다. 연석 높이별 안전성과 편의성을 시험(교통안전공단)한 결과 연석 높이가 20cm일 때 가장 안전하고 편리했으며, 연석 높이가 낮아져 경사도가 클수록 휠체어 승하차가 곤란하다는 사실을 파악했다. 이에 감사원은 국토부 장관에게 휠체어 사용자 등을 포함한 교통약자가 저상버스에 안전하고 편리하게 승하차할 수 있도록 버스정류장의 연석 높이에 대한 종합적인 설치기준을 마련하도록 통보했다. 나아가 감사원은  정부가 보급률만을 기준으로 특별교통수단을 보급하다 보니 운전원 부족 등으로 실제 운행률은 저조하다는 점도 지적했다. 교통약자법 등에 따르면 국토부는 교통약자의 이동 편의를 위해 지자체가 특별교통수단(교통약자 콜택시)을 도입하도록 하고, 지자체는 법정기준대수(중증장애인 150명당 1대) 이상 운행해야 한다. 국토부 및 지자체는 매년 특별교통수단을 보급하고 있으나 12개 특·광역시의 보급률은 목표치인 84%에 미달한 반면(56.4~81.0%), 이용건수는 증가(2016년 대비 2020년 118.5% 증가)했다. 감사원은 특별교통수단 보급계획을 수립할 때 지자체의 특별교통수단 운행상황 및 운전원 확보 등 구체적인 운영계획을 반영하는 방안을 마련하도록 국토부 장관에게 통보했다. 감사원(사진=연합뉴스)복지부, BF 인증 대상 공공건축물 관리 소홀 복지부가 ‘장애물 없는 생활환경 인증’(BF) 신청을 하지 않는 공공건축물에 대해 실태 파악 등 관리를 소홀히 하는 점도 드러났다. 복지부는 장애인 등 편의법에 따라 2015년부터 국가·지자체의 신축 공공건축물에 대해 공사 완료 후 의무적으로 BF 인증을 받도록 관리해야 한다. 그러나 BF 인증 대상 공공건축물(6094개)에 대해 인증 현황을 점검한 결과, 1527개(25.1%)가 인증을 신청하지 않고 있는데도 복지부는 관리를 소홀히 하고 있었다. 예비인증을 받았거나 신청한 BF 인증 대상 공공건축물 769개 중 110개(14.3%)는 공사 완료 후 1년이 지나도록 본인증을 신청하지 않았다. 또한 복지부가 인증취득 마감기한 등을 마련하지 않아 본인증을 신청한 667개 시설 중 191개는 장기간(공사 완료 후 1년 경과) 보완 요구를 이행하지 않고 있는데도 과태료 부과 등을 강제하지 못하고 있었다. 이에 감사원은 복지부 장관에게 국가·지자체 등이 ‘장애물 없는 생활환경’(BF) 의무인증 대상시설을 건축하면서 BF 인증을 받지 않는 일이 없도록 지도·감독할 것을 통보했다."
2,2022.10.24. 오후 3:22,"부산시민단체, 행정사무감사 관련 34개 의제 제시","기사내용 요약11월1일~12월13일…부산시의회 제310회 정례회 개회부산시 난개발 및 시정공약 관련 시의회 철저한 검토 요청[부산=뉴시스] 부산공공성연대와 부산참여연대 등 6개 지역 시민단체들은 24일 오전 부산시의회 브리핑룸에서 '2022년 행정사무감사 의제 제안' 기자회견을 열고 6개분야 34개 의제를 발표하고 있다. (사진=부산시의회 제공) *재판매 및 DB 금지[부산=뉴시스]권태완 기자 = 부산참여연대와 부산공공성연대 등 6개 부산지역 시민단체들은 24일 부산시의회에서 기자회견을 열고 올해 행정사무 감사에서 검토해야 할 6개 분야 34개 의제를 제시했다.부산시의회는 다음달 1일부터 12월13일까지 총 43일간의 일정으로 제310회 정례회 개최한다. 이번 정례회에서 부산시의회는 2022년 행정사무감사 및 2023년 부산시, 부산시교육청 본예산을 심의·의결한다.이들 단체는 '부산시 난개발' 관련 ▲한국유리부지 공공기여협상 ▲황령산 유원지 개발 ▲대저대교 건설 ▲이진베이시티 ▲롯데타워 개발 등의 의제들을 제시했다.이어 시정공약 및 시책 사업 점검 사안들로 15분 도시 정책, 어린이 복합문화공간 조성, 영어상용도시, 공공기관 통폐합 등을 철저히 검토할 것으로 주문했다.또 교육 분야와 관련해서 부산시 교육청 이전 문제와 부산청년센터, 아시아창업 엑스포 등을 점검해야 한다고 주장했다.환경 관련 분야에서 고리2호기 수명연장, 방사선 폐기물 건식저장시설 건립, 오염된 식수원 문제 등을 제시했다.복지 분야에서 보행약자 이동권 개선사업과 부산시립장애인치과병원 설립, 공영장례제도 활성화, 침례병원 공공병원화 방안, 형제복지원 사건 피해자 명예회복 등의 의제들을 제시했다.이외에도 노동 관련 '공공기관 노사정협의회 미이행' 문제와 여성 관련 '성매매 집결지 완월동 폐쇄 및 공익적 개발' 등을 의제로 내놨다.이들 단체는 ""부산시회는 당면한 문제를 직시하고, 시민의 눈높이에 맞는 진정성 있는 행정사무감사를 진행함으로써 부산시를 제대로 견제하고 감시해야 한다""고 강조했다."
3,2022.10.05. 오전 11:39,"장애인주차구역 위반, 광주가 전국에서 최고 높아","이 사진은 기사와 관계없음[헤럴드경제(광주)=황성철 기자] 광주의 자동차 등록 대수 대비 장애인주차구역 위반율이 전국 시도 중 가장 높은 것으로 나타났다. 5일 국회 행정안전위원회 소속 더불어민주당 전혜숙(서울 광진갑) 의원의 국정감사 자료에 따르면, 광역시·도 자동차 등록 대수 대비 지난해 장애인주차구역 위반율은 광주가 2.07%로 전국 시도 가운데 가장 높았다. 다른 시도는 서울 1.83%, 경기 1.76%, 인천 1.65%, 충남 1.59%, 부산 1.57% 등 순이며, 전남은 0.9%로 드러났다.70만9195대(2022년 기준)의 차량이 등록된 광주는 2021년 1만4674건의 장애인주차구역 위반 과태료가 부과됐다. 광주에서는 최근 5년간 9만6270건이 장애인주차구역 위반으로 단속됐다. 약 79억7000만원의 과태료가 부과됐다. 전남은 6만4023건 단속돼, 57억3000여만원의 과태료가 부과됐다.전 의원은 “장애인 이동권을 보장하기 위한 법 취지와는 무색하게 장애인주차구역 불법주차가 빈번하게 발생하고 있다”며 “장애인 기본권에 대한 사회적 인식이 뿌리내리지 못했다는 것을 시사한다”고 밝혔다."
4,2022.10.09. 오전 7:41,"장애인주차구역 위반 車, 기다린 장애인에 ""신고 안 할 거죠?"" [이슈+]","5년간 장애인주차구역 위반 건수 203만건일평균 1100건 달해…상습 적발 약 4만건사진=게티이미지뱅크빈번한 장애인전용주차구역(이하 장애인주차구역) 불법주차로 인한 장애인의 불편함이 점차 가중되고 있는 것으로 나타났다. 장애인 인권을 증진할 수 있는 실질적인 변화가 필요하다는 지적이 제기된다.장애인 인권 증진과 장애 인식 개선에 기여하고 있는 유튜버 '위라클 WERACLE'(본명 박위·35, 이하 위라클)은 최근 자신의 유튜브 채널에 '장애인주차구역에서 불법 주차한 차주와 마주쳤다'는 제목의 영상을 올렸다.이 영상을 보면 위라클은 최근 한 동주민센터에서 장애인주차구역에 버젓이 주차한 한 트럭을 목격했다. 그에 따르면 해당 장애인주차구역은 이 주차장 내 유일한 장애인주차구역이다. 위라클은 ""진짜 이런 상황이 한두 번이 아니다""라고 하소연했다.그때 트럭 차주가 나타났다. 차주는 ""금방 빼 드리겠다. 차 대려고 그러는 것이냐""고 물었고, 위라클은 차주에게 ""어떤 용무로 (차를) 대셨냐""고 되물었다. 이에 차주는 ""전기차 충전하러 왔다가 사무실에 들러서 환경부 전화번호 좀 알아보고 왔다""고 대답했다. 이어 ""미안하다""고 사과했다.사진=유튜브 위라클 WERACLE 캡처사진=유튜브 위라클 WERACLE 캡처이후 차에 탄 위라클에게 다시 찾아온 차주는 ""미안하다""고 재차 사과했다. 하지만 이내 ""뭐 신고되고 그러는 건 아니죠? 제가 벌금 내야 하나요?""라고 다시 찾아온 목적을 드러냈다. 영상을 본 네티즌들은 ""다시 와서 사과하길래 근본은 바르다고 생각했지만, 벌금을 걱정했던 것"", ""저러면 기분이 더 나빠지는데"" 등의 반응을 보였다.서울역 야외 주차장도 상황이 별반 다르지 않았다. 위라클이 '서울역 주차장의 충격적인 현실'이라는 제목으로 최근 올린 영상을 보면 서울역 야외 주차장의 4개의 장애인주차구역 가운데 2대가 차량용 장애인 스티커가 부착돼 있지 않았다.주차장 관리인은 ""신고했고 (평소에도) 신고 많이 한다""며 ""(불법주차를) 막는 게 더 위험하다""고 설명했다. 위라클은 ""이게 진짜 우리나라 현실""이라고 씁쓸해했다.현재 우리나라는 '장애인·노인·임산부 등의 편의 증진 보장에 관한 법률' 제17조와 27조에 따라 전국 지자체는 장애인주차구역을 설치하고, 불법주차 및 주차방해행위 등 위반에 대한 과태료를 부과하고 있다. 그러나 장애인 이동권을 보장하기 위한 법 취지와는 무색하게 장애인주차구역 불법주차가 빈번하게 발생하고 있다.심지어는 장애인주차구역 불법주차를 신고했더니 주차장에 '협박성 현수막'이 걸린 일도 있었다. 지난 8월 20대 회사원 A 씨는 자신이 사는 빌라의 장애인주차구역에 불법 주차한 차량을 신고했고, 과태료 부과까지 정상적으로 이뤄진 것을 확인했다.문제는 그 뒤에 발생했다. 신고한 지 일주일 정도가 흘렀을 무렵 빌라 주차장 벽면에 국민신문고에 사진 찍어 올린 XXX 벼락 맞아 죽어라""는 내용의 현수막이 걸린 것.사진=보배드림더욱이 빌라 주인은 빌라 엘리베이터 옆에 ""휴대폰으로 사진 찍어 올리는 모습은 CCTV로 지켜보고 있다. 불편하면 전화해서 차량을 이동해달라 요청하면 된다. 당신의 마음은 곧 당신의 인간성""이라며 신고 행위를 비난하는 공지를 올리기도 했다.보건복지부가 전혜숙 더불어민주당 의원실에 제출한 자료에 따르면 최근 5년(2017~2021년) 전국 장애인주차구역 주차 위반 건수는 총 203만여 건이다. 이는 일평균 약 1100건에 달하는 것으로 추산된다. 특히 5회 이상 상습적으로 적발된 경우가 총 3만3902건으로 장애인주차구역의 필요성을 절감하지 못하는 상황이 지속되고 있다는 지적이 나온다.광역시·도별 위반 누적 건수는 경기가 64만 건으로 가장 많았다. 이어 서울 32만 건, 부산 12만 건 순으로 나타났다. 객관적인 비교를 위해 광역시·도 자동차 등록 수 대비 2021년 장애인주차구역 위반율을 분석한 결과 ▲광주 2.07%, ▲서울 1.83%, ▲경기 1.76%, ▲인천 1.65%, ▲충남 1.59%, ▲부산 1.57% ▲강원 0.95%, ▲전남 0.9% ▲경북 0.83% 등으로 나타났다.전 의원은 ""평균 40만 건의 장애인주차구역 법 위반과 5회 이상의 상습 불법주차는 장애인 기본권에 대한 사회적 인식이 뿌리내리지 못했다는 것을 시사한다""며 ""장애인 인권을 증진할 수 있는 실질적인 변화와 법안 통과를 위해 앞장서겠다""고 밝혔다."
5,2022.10.06. 오전 6:06,대도시는 지하철이라도 있지만…‘장애인 이동권 지역 격차’[투명장벽의 도시①],"2001년 장애인이동권연대의 이동권 시위. 영화 <버스를 타자>의 한 장면. 박종필추모사업회 제공지난 4월 방영한 드라마 <나의 해방일지>는 서울로 장거리 통근을 하는 경기도민의 애환을 그려내 공감을 받았다. 드라마 속 삼남매는 버스와 지하철을 타고 산 넘고 물 건너 서울로 출근했다. 출근 버스를 타느라 전력질주를 하고 회식 자리에서 먼저 일어나야 하는 모습이 남 일처럼 느껴지지 않았다는 시청자들이 적지 않았다.하지만 그런 출퇴근의 애환조차 누리지 못하는 것이 장애인들의 현실이다. 전국장애인차별철폐연대(전장연)의 출근길 지하철 시위의 핵심 요구는 ‘장애인권리예산’ 보장이다. 지하철, 저상버스, 특별교통수단 등 장애인들 교통수단의 확충 요구도 포함돼 있다. 지방 소도시에서는 장애인 교통사정이 더욱 열악해 비용이 비싼 교통수단을 이용하거나 이동 자체를 포기하게 된다. 지난 4월 국회에서 열린 ‘장애인 이동권 지역 간 차별 철폐를 위한 정책토론회’에선 장애인 이동권의 도시와 농촌간 격차에 주목했다. “대도시권 역시 장애인 이동권 보장을 위한 과제가 산적해 있지만, 지역은 더 열악하다”는 것이다.지켜지지 않는 저상버스 도입률국토교통부 2020년 교통약자이동편의실태조사에 따르면 전국 시내버스 3만5445대 중 저상버스는 9840대로 도입률이 27.8%에 불과했다. 서울만 57.8%로 절반을 넘겼을 뿐 광역시는 20~30% 수준이었다. 경기(14.1%)를 비롯해 강원, 충남, 전남, 경북 등은 10%대에 머물고 있다.저상버스가 아예 다니지 않는 기초자치단체도 많다. 경기 군포·의왕·안성·연천, 강원 태백·삼척·동해, 충북 제천, 충남 공주·계룡, 전남 남원, 경북 영주·상주·문경 등 14곳은 저상버스가 한 대도 없었다.저상버스는 출입구에 계단이 없고 차체 바닥이 낮으며, 휠체어 승강장비와 교통약자용 좌석을 갖춘 버스다. 휠체어와 유아차가 오르내릴 수 있을 뿐 아니라 노약자들도 쉽게 이용할 수 있다.정부는 2005년 제정된 교통약자 이동편의 증진법에 따라 5년마다 관련 계획을 세운다. 저상버스 도입률 1차 목표는 31.5%, 2차는 41.5%, 3차는 42%였다. 하지만 실제 도입률은 1차 12%, 2차 22.3%, 3차 27.8%에 그쳤다. 지난달 발표된 4차 계획에선 목표를 62%로 세웠다. 이런 추세라면 앞으로 10년 안에 저상버스 도입률 100% 달성도 불투명해 보인다.버스도 지하철도 없으면저상버스가 부족하고, 지하철도 없는 지역에서는 특별교통수단(장애인콜택시)에 의존할 수 밖에 없다. 특별교통수단은 휠체어 탑승 설비를 장착한 차량이다. 국토교통부는 보행불편 장애인 150인당 1대로 기준을 정하고 있다. 하지만 법정대수를 넘긴 지역은 경기(112.8%)·경남(105.9%) 두 곳뿐이었으며, 서울은 85.1%에 그쳤다. 부산(56.4%)과 인천(57.3%)은 법정대수의 절반을 겨우 넘겼다.보급률 못지 않게 중요한 것은 운영 방식이다. 서울의 장애인콜택시는 622대인데 야간(밤 11시~오전 7시)에 운행하는 차량은 단 20대이다. 부산은 장애인콜택시 181대 중 야간 운행 차량이 4대에 불과했다. 늦은 밤 아프거나 큰일이 생겼을 때 장애인은 이동할 수 없는 것이다.지자체마다 운행시간, 운행범위, 이용방법이 제각각인 것도 문제다. 지역에 따라선 야간 운행을 하지 않는 곳도 있었다. 경기의 한 지역에선 하루 전 예약해야만 장애인 콜택시를 이용할 수 있고, 병원 등 의료서비스 이용 목적이 아니면 인근 지자체로 이동할 수도 없었다.이재민 전국장애인이동권연대 사무국장은 “지난해 12월 교통약자법 개정으로 교체·폐차시 저상버스 의무도입 규정이 시행되었지만, ‘저상버스 도입이 어려운 노선에 대한 예외 조항’이 있어 사실상 의무라고 보기도 어렵다”며 “저상버스 도입이 가능하도록 예산과 패널티를 마련하고, 저상버스 보급을 심사하는 민관협의체 구성이 필요하다”고 말했다. 이어 “중앙정부 책임성 강화가 필요하다. 장애인 이동수단에 국비를 투입해 실제 법이나 계획이 이행되도록 해야 한다”고 덧붙였다.고속버스는 여전히 ‘그림의 떡’고속·시외버스는 저상버스가 전무하다. 1만여대의 고속·시외버스는 저상버스 도입 의무화 대상에서 빠져있기 때문이다. 윤석열 대통령은 대선 후보 시절인 지난 1월 저상버스를 시외·고속·광역버스로 확대하겠다고 밝혔지만, 도입 시기나 비율 등을 구체적으로 언급하지 않았다. 국토교통부는 지난달 발표한 4차 교통약자이동편의증진계획에서 고속·시외버스 노선 중 철도 이용이 어려워 버스 외 대체수단이 없는 노선을 중심으로 휠체어 탑승 가능 버스 도입을 확대한다고만 했다.전국장애인차별철폐연대 회원들이 지난 1월 서울 지하철 5호선 광화문역에서 ‘기획재정부 장애인권리예산 반영 촉구에 대한 입장발표 기자회견’을 열고 있다. 이들은 노후 시내버스, 마을버스 등을 교체할 때 저상버스 도입을 의무화한 내용 등을 담은 교통약자법에 여러 한계점이 있다고 지적했다.  이준헌 기자👉   [투명장벽의 도시] 관련기사 더보기 https://www.khan.co.kr/series/articles/as347이어지는 <투명장벽도시> 인터랙티브 기사를 보시려면 아래 배너를 눌러주세요. 배너가 작동하지 않으면 아래 링크를 입력해주세요.https://www.khan.co.kr/kh_storytelling/2022/no_wall/"
6,2022.10.07. 오후 9:47,‘행정사무감사·본예산 심의’ 날카로운 검증 예고,"[KBS 부산] [앵커] 부산시의회가 15일간 일정을 마치고 임시회를 폐회했는데요, 특히 이번 임시회에서는 시의원들의 꼼꼼한 정책 검증과 제안이 좋은 평가를 받았습니다. '일하는 의회'를 내세운 9대 부산시의회, 다음은 행정사무감사와 2023년도 본예산 심의입니다. 노준철 기자가 보도합니다. [리포트] 부산시의회 제309회 임시회 마지막 날. 9대 시의원들의 시정 견제와 정책 제안 열기가 이어집니다. 이번 임시회 기간 시정 질문에  시의원 16명이 나선 데 이어, 5분 자유발언에도 19명이 목소리를 냈습니다. 장애인·취약계층을 위한  세심한 정책 제안은 물론, 2030부산엑스포·메가시티 같은 굵직한 현안 촉구까지, 주제도, 내용도 알찼다는 평가입니다. [정채숙/부산시의원 : ""(두리발) 법정 대수와 운전자 부족, 운영 예산 부족, 관리 운영 문제 등 교통약자의 이동권 보장을 위해 여전히 넘어야 할 산이 많습니다.""] [강철호/부산시의원 : ""16개 구·군 중 동구청을 제외한 나머지 구·군에서는 2030부산월드엑스포 유치와 홍보를 위한 전담 부서가 없어 지역밀착형 홍보 노력이 부족한 실정입니다.""] 중앙 정부를 향한 하나 된 목소리도 나왔습니다. 부산시의회는 국가 균형발전 차원에서 '산업은행의 부산시 이전 촉구' 결의문을 채택했습니다. 시정 견제 칼날을 다듬기 위한 준비도 하고 있습니다. 부산시의회는 이번 임시회 기간 부산시 산하 공공기관장 후보자 인사검증 특위를 출범했습니다. 특위 위원 11명은 출범과 동시에 첫 회의를 열기도 했습니다. 이에 앞서 부산시의회는 48명의 의정자문위와  7명의 윤리심사자문위도 꾸렸습니다. 다음 제310회 정례회는 다음 달 1일부터 43일 동안 열립니다. 9대 시의원들은 이 기간, 부산시와 시교육청을 상대로 한 첫 행정사무감사와 2023년도 본예산 심의에서도 날카로운 검증을 예고했습니다. KBS 뉴스 노준철입니다. 촬영기자:한석규/영상편집:김종수"
7,2022.10.26. 오후 5:40,대전~세종 오가는 2층버스 도입…교통약자도 편하게,"			<앵커>높이가 4m에 달하는 2층 전기저상버스가 지방 대도시권에서는 처음으로 대전과 세종을 오가는 광역 BRT 노선에 투입됩니다. 기존 버스보다 서른 명 이상 많이 탈 수 있어서 출퇴근 시간 혼잡도가 크게 줄어들고, 교통약자들도 편하게 BRT를 이용할 수 있을 전망입니다.양정진 기자의 보도입니다.<기자>영국 런던의 상징인 2층 버스를 연상시키는 빨간색 2층 버스 2대가 대전 시내 도로를 누빕니다.다음 달 14일부터 대전역을 출발해 세종시를 지나 충북 오송역까지 운행하는 BRT B1노선에 투입되는 2층 전기저상버스입니다.1, 2층 좌석이 71석으로 40석 안팎인 기존 버스에 비해 30명을 더 태울 수 있어 BRT 버스의 출퇴근 시간 만차 문제가 크게 줄어들 것으로 기대됩니다.[이장우/대전시장 : (BRT 노선에) 많은 수요가 있다 보니까 굉장히 어려움이 많았습니다. 이번 저상 2층 버스를 도입함으로써 교통 수요에 상당히 획기적으로 개선될 것 같고.]일부 구간이 '자동차전용도로'인 BRT B1 노선은 안전장치가 미흡한 기존 저상버스 투입이 어려워 관광버스형 차량을 운행해 왔습니다.하지만 2층 전기저상버스 2대가 추가 투입되고 하루 20차례 더 운행되면서 장애인들도 편하게 BRT를 이용할 수 있게 됐습니다.휠체어 탑승장치와 고정 장치를 비롯해 자동차전용도로에서 주행할 수 있는 다양한 안전장치가 완비돼 교통약자들의 이동편의에 큰 보탬이 될 전망입니다.[최명진/대전장애인차별연대 공동대표 : 11분마다 한 대씩 오는 버스에 저상버스가 없었다는 건 교통약자들에 대한 이동권을 완전히 배제하고 있었던 상황인데 그것을 늦게라도 시작했다는 것에 큰 의미를 두고.]대전시는 높이가 4m에 달하는 2층 전기버스 운행을 위해 표지판과 나무 등 지상 시설물을 정비하고, 기점지인 대전역과 차고지인 금고동에 전용 충전시설도 설치했습니다.국토교통부 대도시권광역교통위원회는 대전권을 시작으로 부산과 광주 등 지방대도시권의 광역교통 개선을 위해 2층 전기저상버스를 추가로 도입해나갈 계획입니다.		"
8,2022.10.05. 오전 10:19,"장애인 주차 어려운 장애인주차구역, 위반 하루 1100건","5회 이상 상습불법주차 적발 3만3000여 건2017~2021년 5년간 위반 건수 총 203만 건 장애인전용주차구역 불법주차가 성행해 정작 장애인이 주차하는 것은 여전히 어려운 것으로 나타났다.5일 전혜숙 더불어민주당 의원실이 보건복지부로부터 제출받은 자료에 따르면 2017~2021년까지 최근 5년간 전국 장애인주차구역 주차 위반 건수는 총 203만여 건으로 이는 일 평균 약 1100건에 달하는 것으로 추산됐다. 특히 5회 이상 상습적으로 주차 위반이 적발된 경우가 총 3만3902건에 달했다. ‘장애인ㆍ노인ㆍ임산부 등의 편의 증진 보장에 관한 법률’ 제 17조와 27조에 따라 전국 지방자치단체는 장애인전용주차구역을 설치하고, 불법주차 및 주차방해행위 등 위반에 대한 과태료를 부과하고 있다. 하지만 장애인 이동권을 보장하기 위한 법 취지와는 무색하게 장애인주차구역 불법 주차가 빈번하게 발생하고 있는 것이다.광역시·도별 위반 누적 건수는 경기도가 64만 건으로 가장 많았으며, 서울 32만 건, 부산 12만 건 순이다.객관적 비교를 위해 광역시·도 자동차 등록 수 대비 2021년 장애인주차구역 위반율을 분석한 결과 △광주 2.07% △서울 1.83% △경기 1.76% △인천 1.65% △충남 1.59% △부산 1.57% △강원 0.95% △전남 0.9% 등이다. 경북은 0.83%로 전국에서 장애인주차구역 위반율이 가장 낮게 나타났다.전 의원은 “평균 40만 건의 장애인주차공간 법 위반과 5회 이상의 상습 불법주차는 장애인 기본권에 대한 사회적 인식이 뿌리내리지 못하고 있다는 것을 시사한다”고 말했다."
9,2022.10.24. 오전 11:01,대전권에도 2층 전기버스 달린다,"대전~세종~오송 B1 노선 투입[이데일리 박종화 기자] 비수도권에선 처음으로 대전권에서 2층 전기버스 운행이 시작된다.국토교통부 대도시권광역교통위원회는 다음 달 14일부터 B1 노선에 2층 전기버스 두 대를 투입한다고 24일 밝혔다. B1 노선은 대전역과 세종, 오송역을 오가는 광역버스 노선이다.2층 전기버스(71석)는 기존 버스(40석)보다 좌석 수가 많아 출·퇴근 혼잡 해소에 효과적이다. 유해물질과 미세먼지 원인 물질도 배출하지 않아 친환경적이다. 또한 저상버스로 제작해 장애인 등 이동권을 보장했다.대광위는 다른 비수도권 대도시권에도 순차적으로 2층 전기버스를 도입할 예정이다.김영국 대광위 광역교통정책국장은 “대전·세종 지역에도 2층 전기버스가 도입됨에 따라 해당 지역의 광역교통 편의가 크게 개선될 것”이라며 “대광위는 앞으로도 수도권뿐만 아니라 부산·울산권, 대구권, 광주권, 대전권 등 지방대도시권의 광역교통 개선을 위하여 지속 노력하겠다”고 말했다.(자료=국토교통부)"
